,features,value
37,$|\theta|_{std}$,0.020112872519535186
1,$wSMI\gamma_{std}$,0.019954965322255
36,$|\theta|_{mean}$,0.01985293707194381
49,$P1_{std}$,0.019723222738012636
15,$PE\theta_{std}$,0.019569962524947936
9,$PE\gamma_{std}$,0.01941036042177594
12,$PE\alpha_{mean}$,0.01937528406662032
28,$|\beta|_{mean}$,0.019365800485155404
46,$CNV_{mean}$,0.019305547830133434
11,$PE\beta_{std}$,0.01918202794335254
17,$K_{std}$,0.01914359991595117
19,$SE_{std}$,0.01911816780712635
18,$SE_{mean}$,0.01911261344544878
6,$wSMI\theta_{mean}$,0.019075390796341057
52,$P3b_{mean}$,0.01901801015421283
47,$CNV_{std}$,0.019007240890384233
21,$MSF_{std}$,0.018928156100042906
39,$\delta_{std}$,0.018835464389720287
26,$\beta_{mean}$,0.018772428774816517
4,$wSMI\alpha_{mean}$,0.018767639718878747
43,$|\alpha|_{std}$,0.018727821939858495
10,$PE\beta_{mean}$,0.018632923265834163
34,$\theta_{mean}$,0.018612281405405804
44,$\alpha_{mean}$,0.018589467842529416
53,$P3b_{std}$,0.018575603062163205
30,$\gamma_{mean}$,0.01850363379448597
2,$wSMI\beta_{mean}$,0.01848682581107067
22,$SEF90_{mean}$,0.018485794626904976
0,$wSMI\gamma_{mean}$,0.01848299425182962
23,$SEF90_{std}$,0.018459339268997954
40,$|\delta|_{mean}$,0.01843483719053853
20,$MSF_{mean}$,0.01828776852077209
31,$\gamma_{std}$,0.018244070376425045
5,$wSMI\alpha_{std}$,0.0182301792290561
33,$|\gamma|_{std}$,0.01822155599145251
24,$SEF95_{mean}$,0.01819633161824686
27,$\beta_{std}$,0.018175478265353942
8,$PE\gamma_{mean}$,0.01811145174829752
14,$PE\theta_{mean}$,0.01810550232754318
51,$P3a_{std}$,0.018090410676312223
7,$wSMI\theta_{std}$,0.017998092350418788
32,$|\gamma|_{mean}$,0.01795270950174838
42,$|\alpha|_{mean}$,0.01789980011259905
25,$SEF95_{std}$,0.017845787227851684
48,$P1_{mean}$,0.017824377177717718
45,$\alpha_{std}$,0.01779933614043654
35,$\theta_{std}$,0.017648761828146276
3,$wSMI\beta_{std}$,0.01763429558362853
29,$|\beta|_{std}$,0.017624761576752322
38,$\delta_{mean}$,0.017610405013721554
16,$K_{mean}$,0.01746354265498741
13,$PE\alpha_{std}$,0.017337109224816863
41,$|\delta|_{std}$,0.01715508501205979
50,$P3a_{mean}$,0.016919972465381787
