,markers,AUC,p_value,p_corrected,significant
0,wSMI_1_mean,0.5252350321622958,0.3188985513851298,0.4802369376653626,p > 0.05
1,wSMI_1_std,0.553438891637803,0.1587665742788767,0.434022444678065,p > 0.05
2,wSMI_2_mean,0.5106382978723405,0.421864833587674,0.4802369376653626,p > 0.05
3,wSMI_2_std,0.5917862444334488,0.04285575566476096,0.434022444678065,p < 0.05 uncorrected
4,wSMI_4_mean,0.5089064819396338,0.4346068208389082,0.4802369376653626,p > 0.05
5,wSMI_4_std,0.5524492825333993,0.16329955123464107,0.434022444678065,p > 0.05
6,wSMI_8_mean,0.48762988619495296,0.4092041299336823,0.4802369376653626,p > 0.05
7,wSMI_8_std,0.48317664522513604,0.3771095657997728,0.4802369376653626,p > 0.05
8,p_e_1_mean,0.5014844136566057,0.4898239653316803,0.4898239653316803,p > 0.05
9,p_e_1_std,0.5148441365660563,0.39128359762850196,0.4802369376653626,p > 0.05
10,p_e_2_mean,0.5215239980207818,0.34413368315969806,0.4802369376653626,p > 0.05
11,p_e_2_std,0.4903513112320633,0.42913684377038075,0.4802369376653626,p > 0.05
12,p_e_4_mean,0.44309747649678377,0.1435567042488487,0.434022444678065,p > 0.05
13,p_e_4_std,0.5279564571994063,0.3009042205252901,0.4802369376653626,p > 0.05
14,p_e_8_mean,0.4121721919841662,0.050061772686833345,0.434022444678065,p > 0.05
15,p_e_8_std,0.5173181593270658,0.37359095243126134,0.4802369376653626,p > 0.05
16,k_mean,0.4503958436417615,0.17679469516153373,0.434022444678065,p > 0.05
17,k_std,0.549480455220188,0.1773975919285764,0.434022444678065,p > 0.05
18,se_mean,0.5047006432459178,0.4658097689220557,0.4802369376653626,p > 0.05
19,se_std,0.4611578426521524,0.23395492072358715,0.434022444678065,p > 0.05
20,msf_mean,0.3980702622464126,0.02815463048127647,0.434022444678065,p < 0.05 uncorrected
21,msf_std,0.5620979713013359,0.12264244333644986,0.434022444678065,p > 0.05
22,sef90_mean,0.44804552201880254,0.16559726414106507,0.434022444678065,p > 0.05
23,sef90_std,0.5185551707075705,0.3648409720380591,0.4802369376653626,p > 0.05
24,sef95_mean,0.4604156358238496,0.2297110487500404,0.434022444678065,p > 0.05
25,sef95_std,0.5136071251855517,0.40021760088817604,0.4802369376653626,p > 0.05
26,b_mean,0.4495299356754082,0.1726151784886349,0.434022444678065,p > 0.05
27,b_std,0.5039584364176151,0.47134366104192993,0.4802369376653626,p > 0.05
28,b_n_mean,0.42330529440870857,0.07556744845813264,0.434022444678065,p > 0.05
29,b_n_std,0.5215239980207818,0.34413368315969806,0.4802369376653626,p > 0.05
30,g_mean,0.45225136071251854,0.1859659143548653,0.434022444678065,p > 0.05
31,g_std,0.553686293913904,0.1576463433090946,0.434022444678065,p > 0.05
32,g_n_mean,0.45522018802572983,0.2012395848203281,0.434022444678065,p > 0.05
33,g_n_std,0.5351311232063335,0.25581217532804434,0.4456083054101418,p > 0.05
34,t_mean,0.5670460168233548,0.1048041791014993,0.434022444678065,p > 0.05
35,t_std,0.4950519544779812,0.46396655314770613,0.4802369376653626,p > 0.05
36,t_n_mean,0.6566056407718951,0.00167482075439543,0.09044032073735322,p < 0.05 uncorrected
37,t_n_std,0.5754576942107869,0.0789244761747403,0.434022444678065,p > 0.05
38,d_mean,0.5103908955962395,0.42368044129714283,0.4802369376653626,p > 0.05
39,d_std,0.48515586343394357,0.39128359762850196,0.4802369376653626,p > 0.05
40,d_n_mean,0.5420583869371598,0.21588068328830834,0.434022444678065,p > 0.05
41,d_n_std,0.5066798614547253,0.45108788573513614,0.4802369376653626,p > 0.05
42,a_n_mean,0.4045027214250371,0.036884751559793455,0.434022444678065,p < 0.05 uncorrected
43,a_n_std,0.46783770410687775,0.27403600554155716,0.4624357593513777,p > 0.05
44,a_mean,0.462394854032657,0.24112358037670278,0.434022444678065,p > 0.05
45,a_std,0.4190994557149926,0.06496419399454352,0.434022444678065,p > 0.05
46,CNV_mean,0.49381494309747653,0.45476285559665397,0.4802369376653626,p > 0.05
47,CNV_std,0.520534388916378,0.35098796155302503,0.4802369376653626,p > 0.05
48,P1_mean,0.5395843641761504,0.2297110487500404,0.434022444678065,p > 0.05
49,P1_std,0.5655616031667492,0.1099463184760352,0.434022444678065,p > 0.05
50,P3a_mean,0.5450272142503712,0.1999387608802779,0.434022444678065,p > 0.05
51,P3a_std,0.44977733795150915,0.17380300609150157,0.434022444678065,p > 0.05
52,P3b_mean,0.545274616526472,0.19864300629417236,0.434022444678065,p > 0.05
53,P3b_std,0.5457694210786739,0.1960667369802106,0.434022444678065,p > 0.05
