,markers,AUC,p_value,p_corrected,significant
0,wSMI_1_mean,0.47189173111243304,0.2676495983110728,0.49139318122745157,p > 0.05
1,wSMI_1_std,0.4943486020226056,0.4509230264052002,0.49139318122745157,p > 0.05
2,wSMI_2_mean,0.5020820939916716,0.4822933075010173,0.49139318122745157,p > 0.05
3,wSMI_2_std,0.4946460440214158,0.45352825906930644,0.49139318122745157,p > 0.05
4,wSMI_4_mean,0.47486615110053537,0.2897342360653302,0.49139318122745157,p > 0.05
5,wSMI_4_std,0.457614515169542,0.1747238680295331,0.49139318122745157,p > 0.05
6,wSMI_8_mean,0.5148720999405116,0.37174518701694526,0.49139318122745157,p > 0.05
7,wSMI_8_std,0.44333729922665077,0.10539702799138623,0.49139318122745157,p > 0.05
8,p_e_1_mean,0.4867638310529447,0.38550347915724836,0.49139318122745157,p > 0.05
9,p_e_1_std,0.49345627602617487,0.44312044656127586,0.49139318122745157,p > 0.05
10,p_e_2_mean,0.5160618679357525,0.3618399372440914,0.49139318122745157,p > 0.05
11,p_e_2_std,0.5220107079119573,0.31380388609266974,0.49139318122745157,p > 0.05
12,p_e_4_mean,0.4886972040452112,0.40194971025712506,0.49139318122745157,p > 0.05
13,p_e_4_std,0.5044616299821535,0.46135552006992336,0.49139318122745157,p > 0.05
14,p_e_8_mean,0.49895895300416415,0.4914724039163446,0.4914724039163446,p > 0.05
15,p_e_8_std,0.5508625817965497,0.13069281492249135,0.49139318122745157,p > 0.05
16,k_mean,0.4453450327186199,0.11371728779572948,0.49139318122745157,p > 0.05
17,k_std,0.5074360499702558,0.4353396437759423,0.49139318122745157,p > 0.05
18,se_mean,0.5359904818560381,0.21352698221226107,0.49139318122745157,p > 0.05
19,se_std,0.4543426531826294,0.1567237645802671,0.49139318122745157,p > 0.05
20,msf_mean,0.46936347412254614,0.2495690379241911,0.49139318122745157,p > 0.05
21,msf_std,0.46460440214158233,0.21737540994883503,0.49139318122745157,p > 0.05
22,sef90_mean,0.4884741225461035,0.40004250746401543,0.49139318122745157,p > 0.05
23,sef90_std,0.45226055919095776,0.1459282926048443,0.49139318122745157,p > 0.05
24,sef95_mean,0.4842355740630577,0.3643078860652226,0.49139318122745157,p > 0.05
25,sef95_std,0.470553242117787,0.25799592061053256,0.49139318122745157,p > 0.05
26,b_mean,0.5132361689470553,0.38550347915724836,0.49139318122745157,p > 0.05
27,b_std,0.4950922070196312,0.4574398259795531,0.49139318122745157,p > 0.05
28,b_n_mean,0.4629684711481261,0.20688862648749834,0.49139318122745157,p > 0.05
29,b_n_std,0.46460440214158244,0.21737540994883503,0.49139318122745157,p > 0.05
30,g_mean,0.4863176680547293,0.3817360807601977,0.49139318122745157,p > 0.05
31,g_std,0.49256395002974424,0.43533986173637385,0.49139318122745157,p > 0.05
32,g_n_mean,0.48557406305770373,0.3754820668981866,0.49139318122745157,p > 0.05
33,g_n_std,0.4821534800713861,0.34715585401234317,0.49139318122745157,p > 0.05
34,t_mean,0.5325698988697204,0.2361934497559497,0.49139318122745157,p > 0.05
35,t_std,0.49717430101130283,0.47574226827599847,0.49139318122745157,p > 0.05
36,t_n_mean,0.579417013682332,0.039666443411912854,0.49139318122745157,p < 0.05 uncorrected
37,t_n_std,0.6067816775728734,0.00914467359347957,0.49139318122745157,p < 0.05 uncorrected
38,d_mean,0.565288518738846,0.07463216710256705,0.49139318122745157,p > 0.05
39,d_std,0.4582093991671624,0.17813238341622567,0.49139318122745157,p > 0.05
40,d_n_mean,0.5148720999405116,0.37174518701694526,0.49139318122745157,p > 0.05
41,d_n_std,0.5022308149910768,0.48098266030866677,0.49139318122745157,p > 0.05
42,a_n_mean,0.45582986317668056,0.1647487496393562,0.49139318122745157,p > 0.05
43,a_n_std,0.5148720999405115,0.37174518701694526,0.49139318122745157,p > 0.05
44,a_mean,0.5127900059488399,0.38928171180360815,0.49139318122745157,p > 0.05
45,a_std,0.5148720999405116,0.37174518701694526,0.49139318122745157,p > 0.05
46,CNV_mean,0.47903033908387865,0.32201372007567514,0.49139318122745157,p > 0.05
47,CNV_std,0.5281082688875669,0.2676495983110728,0.49139318122745157,p > 0.05
48,P1_mean,0.4718917311124331,0.2676495983110728,0.49139318122745157,p > 0.05
49,P1_std,0.5516061867935752,0.1272335614297963,0.49139318122745157,p > 0.05
50,P3a_mean,0.5101130279595478,0.41215951348177343,0.49139318122745157,p > 0.05
51,P3a_std,0.49479476502082087,0.45483163289473183,0.49139318122745157,p > 0.05
52,P3b_mean,0.5916121356335515,0.02147217339020544,0.49139318122745157,p < 0.05 uncorrected
53,P3b_std,0.5728732897085069,0.05371386269566118,0.49139318122745157,p > 0.05
