,markers,AUC,p_value,p_corrected,significant
0,wSMI_1,0.5012820512820513,0.35664335664335667,0.6136363636363635,p > 0.05
1,wSMI_1,0.5782051282051283,0.35664335664335667,0.6136363636363635,p > 0.05
2,wSMI_1,0.5166666666666667,0.35664335664335667,0.6136363636363635,p > 0.05
3,wSMI_1,0.5013333333333334,0.35664335664335667,0.6136363636363635,p > 0.05
4,wSMI_1,0.5813333333333333,0.35664335664335667,0.6136363636363635,p > 0.05
5,wSMI_1,0.45466666666666666,0.35664335664335667,0.6136363636363635,p > 0.05
6,wSMI_1,0.4213333333333333,0.35664335664335667,0.6136363636363635,p > 0.05
7,wSMI_1,0.468,0.35664335664335667,0.6136363636363635,p > 0.05
8,wSMI_1,0.5613333333333335,0.35664335664335667,0.6136363636363635,p > 0.05
9,wSMI_1,0.5092838196286472,0.35664335664335667,0.6136363636363635,p > 0.05
10,wSMI_2,0.4666666666666667,0.6083916083916084,0.9018759018759018,p > 0.05
11,wSMI_2,0.47948717948717956,0.6083916083916084,0.9018759018759018,p > 0.05
12,wSMI_2,0.5846153846153846,0.6083916083916084,0.9018759018759018,p > 0.05
13,wSMI_2,0.5373333333333333,0.6083916083916084,0.9018759018759018,p > 0.05
14,wSMI_2,0.3933333333333333,0.6083916083916084,0.9018759018759018,p > 0.05
15,wSMI_2,0.4626666666666667,0.6083916083916084,0.9018759018759018,p > 0.05
16,wSMI_2,0.5426666666666666,0.6083916083916084,0.9018759018759018,p > 0.05
17,wSMI_2,0.5413333333333333,0.6083916083916084,0.9018759018759018,p > 0.05
18,wSMI_2,0.46933333333333327,0.6083916083916084,0.9018759018759018,p > 0.05
19,wSMI_2,0.45755968169761274,0.6083916083916084,0.9018759018759018,p > 0.05
20,wSMI_4,0.4987179487179488,0.8521478521478522,0.9329004329004329,p > 0.05
21,wSMI_4,0.5987179487179487,0.8521478521478522,0.9329004329004329,p > 0.05
22,wSMI_4,0.34871794871794876,0.8521478521478522,0.9329004329004329,p > 0.05
23,wSMI_4,0.46933333333333327,0.8521478521478522,0.9329004329004329,p > 0.05
24,wSMI_4,0.5626666666666666,0.8521478521478522,0.9329004329004329,p > 0.05
25,wSMI_4,0.49333333333333335,0.8521478521478522,0.9329004329004329,p > 0.05
26,wSMI_4,0.44666666666666666,0.8521478521478522,0.9329004329004329,p > 0.05
