,markers,AUC,p_value,significant
0,wSMI_1,0.4294871794871795,0.6313686313686314,Not significant
1,wSMI_1,0.40897435897435896,0.6313686313686314,Not significant
2,wSMI_1,0.35256410256410253,0.6313686313686314,Not significant
3,wSMI_1,0.5413333333333333,0.6313686313686314,Not significant
4,wSMI_1,0.6346666666666667,0.6313686313686314,Not significant
5,wSMI_1,0.41866666666666663,0.6313686313686314,Not significant
6,wSMI_1,0.5760000000000001,0.6313686313686314,Not significant
7,wSMI_1,0.5013333333333334,0.6313686313686314,Not significant
8,wSMI_1,0.6173333333333334,0.6313686313686314,Not significant
9,wSMI_1,0.4244031830238727,0.6313686313686314,Not significant
10,wSMI_2,0.5756410256410256,0.3516483516483517,Not significant
11,wSMI_2,0.38846153846153847,0.3516483516483517,Not significant
12,wSMI_2,0.3653846153846154,0.3516483516483517,Not significant
13,wSMI_2,0.584,0.3516483516483517,Not significant
14,wSMI_2,0.6053333333333333,0.3516483516483517,Not significant
15,wSMI_2,0.5573333333333333,0.3516483516483517,Not significant
16,wSMI_2,0.4426666666666667,0.3516483516483517,Not significant
17,wSMI_2,0.43600000000000005,0.3516483516483517,Not significant
18,wSMI_2,0.544,0.3516483516483517,Not significant
19,wSMI_2,0.5941644562334217,0.3516483516483517,Not significant
20,wSMI_4,0.4756410256410256,0.5194805194805194,Not significant
21,wSMI_4,0.5089743589743589,0.5194805194805194,Not significant
22,wSMI_4,0.441025641025641,0.5194805194805194,Not significant
23,wSMI_4,0.388,0.5194805194805194,Not significant
24,wSMI_4,0.572,0.5194805194805194,Not significant
25,wSMI_4,0.5053333333333333,0.5194805194805194,Not significant
26,wSMI_4,0.6040000000000001,0.5194805194805194,Not significant
27,wSMI_4,0.5760000000000001,0.5194805194805194,Not significant
28,wSMI_4,0.5013333333333334,0.5194805194805194,Not significant
29,wSMI_4,0.4204244031830238,0.5194805194805194,Not significant
30,wSMI_8,0.5076923076923077,0.5694305694305695,Not significant
31,wSMI_8,0.4358974358974359,0.5694305694305695,Not significant
32,wSMI_8,0.5525641025641026,0.5694305694305695,Not significant
33,wSMI_8,0.4133333333333334,0.5694305694305695,Not significant
34,wSMI_8,0.5586666666666666,0.5694305694305695,Not significant
35,wSMI_8,0.5733333333333334,0.5694305694305695,Not significant
36,wSMI_8,0.3573333333333334,0.5694305694305695,Not significant
37,wSMI_8,0.5306666666666666,0.5694305694305695,Not significant
38,wSMI_8,0.5573333333333333,0.5694305694305695,Not significant
39,wSMI_8,0.47214854111405835,0.5694305694305695,Not significant
40,p_e_1,0.44487179487179485,0.35764235764235763,Not significant
41,p_e_1,0.5974358974358974,0.35764235764235763,Not significant
42,p_e_1,0.6525641025641026,0.35764235764235763,Not significant
43,p_e_1,0.5186666666666666,0.35764235764235763,Not significant
44,p_e_1,0.41466666666666663,0.35764235764235763,Not significant
45,p_e_1,0.5946666666666667,0.35764235764235763,Not significant
46,p_e_1,0.4133333333333334,0.35764235764235763,Not significant
47,p_e_1,0.504,0.35764235764235763,Not significant
48,p_e_1,0.4693333333333333,0.35764235764235763,Not significant
49,p_e_1,0.4615384615384615,0.35764235764235763,Not significant
50,p_e_2,0.41666666666666674,0.46853146853146854,Not significant
51,p_e_2,0.5230769230769231,0.46853146853146854,Not significant
52,p_e_2,0.6294871794871795,0.46853146853146854,Not significant
53,p_e_2,0.5093333333333333,0.46853146853146854,Not significant
54,p_e_2,0.35200000000000004,0.46853146853146854,Not significant
55,p_e_2,0.5920000000000001,0.46853146853146854,Not significant
56,p_e_2,0.5186666666666666,0.46853146853146854,Not significant
57,p_e_2,0.5426666666666666,0.46853146853146854,Not significant
58,p_e_2,0.42,0.46853146853146854,Not significant
59,p_e_2,0.5225464190981431,0.46853146853146854,Not significant
60,p_e_4,0.5153846153846154,0.07892107892107893,Not significant
61,p_e_4,0.5153846153846154,0.07892107892107893,Not significant
62,p_e_4,0.5897435897435898,0.07892107892107893,Not significant
63,p_e_4,0.516,0.07892107892107893,Not significant
64,p_e_4,0.6093333333333333,0.07892107892107893,Not significant
65,p_e_4,0.564,0.07892107892107893,Not significant
66,p_e_4,0.5386666666666667,0.07892107892107893,Not significant
67,p_e_4,0.5426666666666666,0.07892107892107893,Not significant
68,p_e_4,0.492,0.07892107892107893,Not significant
69,p_e_4,0.5238726790450929,0.07892107892107893,Not significant
70,p_e_8,0.5192307692307693,0.6093906093906094,Not significant
71,p_e_8,0.5538461538461539,0.6093906093906094,Not significant
72,p_e_8,0.6,0.6093906093906094,Not significant
73,p_e_8,0.404,0.6093906093906094,Not significant
74,p_e_8,0.49066666666666675,0.6093906093906094,Not significant
75,p_e_8,0.47333333333333333,0.6093906093906094,Not significant
76,p_e_8,0.5026666666666666,0.6093906093906094,Not significant
77,p_e_8,0.42933333333333334,0.6093906093906094,Not significant
78,p_e_8,0.45333333333333337,0.6093906093906094,Not significant
79,p_e_8,0.4748010610079576,0.6093906093906094,Not significant
80,k,0.3878205128205129,0.4275724275724276,Not significant
81,k,0.657051282051282,0.4275724275724276,Not significant
82,k,0.3897435897435898,0.4275724275724276,Not significant
83,k,0.544,0.4275724275724276,Not significant
84,k,0.526,0.4275724275724276,Not significant
85,k,0.62,0.4275724275724276,Not significant
86,k,0.44266666666666665,0.4275724275724276,Not significant
87,k,0.426,0.4275724275724276,Not significant
88,k,0.5800000000000001,0.4275724275724276,Not significant
89,k,0.4787798408488064,0.4275724275724276,Not significant
90,b,0.44615384615384623,0.016983016983016984,Signficant
91,b,0.4974358974358974,0.016983016983016984,Signficant
92,b,0.6717948717948719,0.016983016983016984,Signficant
93,b,0.7146666666666667,0.016983016983016984,Signficant
94,b,0.536,0.016983016983016984,Signficant
95,b,0.4613333333333333,0.016983016983016984,Signficant
96,b,0.4786666666666667,0.016983016983016984,Signficant
97,b,0.5866666666666667,0.016983016983016984,Signficant
98,b,0.6306666666666667,0.016983016983016984,Signficant
99,b,0.553050397877984,0.016983016983016984,Signficant
100,b_n,0.6064102564102565,0.013986013986013986,Signficant
101,b_n,0.467948717948718,0.013986013986013986,Signficant
102,b_n,0.6487179487179487,0.013986013986013986,Signficant
103,b_n,0.5546666666666666,0.013986013986013986,Signficant
104,b_n,0.5453333333333333,0.013986013986013986,Signficant
105,b_n,0.45466666666666666,0.013986013986013986,Signficant
106,b_n,0.5880000000000001,0.013986013986013986,Signficant
107,b_n,0.504,0.013986013986013986,Signficant
108,b_n,0.6773333333333333,0.013986013986013986,Signficant
109,b_n,0.5437665782493369,0.013986013986013986,Signficant
110,g,0.43333333333333335,0.945054945054945,Not significant
111,g,0.3423076923076923,0.945054945054945,Not significant
112,g,0.6371794871794871,0.945054945054945,Not significant
113,g,0.2946666666666667,0.945054945054945,Not significant
114,g,0.4,0.945054945054945,Not significant
115,g,0.412,0.945054945054945,Not significant
116,g,0.49733333333333335,0.945054945054945,Not significant
117,g,0.5386666666666666,0.945054945054945,Not significant
118,g,0.5746666666666667,0.945054945054945,Not significant
119,g,0.4416445623342175,0.945054945054945,Not significant
120,g_n,0.3602564102564102,0.8831168831168831,Not significant
121,g_n,0.5333333333333333,0.8831168831168831,Not significant
122,g_n,0.45769230769230773,0.8831168831168831,Not significant
123,g_n,0.4866666666666667,0.8831168831168831,Not significant
124,g_n,0.5493333333333333,0.8831168831168831,Not significant
125,g_n,0.38266666666666665,0.8831168831168831,Not significant
126,g_n,0.3426666666666667,0.8831168831168831,Not significant
127,g_n,0.4093333333333333,0.8831168831168831,Not significant
128,g_n,0.5960000000000001,0.8831168831168831,Not significant
129,g_n,0.5159151193633952,0.8831168831168831,Not significant
130,t,0.6025641025641025,0.936063936063936,Not significant
131,t,0.4897435897435897,0.936063936063936,Not significant
132,t,0.45,0.936063936063936,Not significant
133,t,0.3426666666666667,0.936063936063936,Not significant
134,t,0.396,0.936063936063936,Not significant
135,t,0.5,0.936063936063936,Not significant
136,t,0.576,0.936063936063936,Not significant
137,t,0.33466666666666667,0.936063936063936,Not significant
138,t,0.4666666666666667,0.936063936063936,Not significant
139,t,0.4509283819628648,0.936063936063936,Not significant
140,t_n,0.5743589743589744,0.6973026973026973,Not significant
141,t_n,0.5,0.6973026973026973,Not significant
142,t_n,0.5564102564102564,0.6973026973026973,Not significant
143,t_n,0.4946666666666667,0.6973026973026973,Not significant
144,t_n,0.36,0.6973026973026973,Not significant
145,t_n,0.436,0.6973026973026973,Not significant
146,t_n,0.5466666666666667,0.6973026973026973,Not significant
147,t_n,0.4853333333333333,0.6973026973026973,Not significant
148,t_n,0.48266666666666663,0.6973026973026973,Not significant
149,t_n,0.39124668435013266,0.6973026973026973,Not significant
150,d,0.3884615384615384,0.3866133866133866,Not significant
151,d,0.5743589743589743,0.3866133866133866,Not significant
152,d,0.5307692307692308,0.3866133866133866,Not significant
153,d,0.48933333333333334,0.3866133866133866,Not significant
154,d,0.4973333333333333,0.3866133866133866,Not significant
155,d,0.5586666666666666,0.3866133866133866,Not significant
156,d,0.44533333333333336,0.3866133866133866,Not significant
157,d,0.5346666666666666,0.3866133866133866,Not significant
158,d,0.4893333333333333,0.3866133866133866,Not significant
159,d,0.5583554376657824,0.3866133866133866,Not significant
160,d_n,0.5615384615384615,0.17882117882117882,Not significant
161,d_n,0.6243589743589744,0.17882117882117882,Not significant
162,d_n,0.5897435897435898,0.17882117882117882,Not significant
163,d_n,0.3613333333333333,0.17882117882117882,Not significant
164,d_n,0.5693333333333334,0.17882117882117882,Not significant
165,d_n,0.45066666666666666,0.17882117882117882,Not significant
166,d_n,0.5800000000000001,0.17882117882117882,Not significant
167,d_n,0.48266666666666663,0.17882117882117882,Not significant
168,d_n,0.5373333333333332,0.17882117882117882,Not significant
169,d_n,0.5185676392572944,0.17882117882117882,Not significant
170,a_n,0.46666666666666673,0.36863136863136864,Not significant
171,a_n,0.5525641025641026,0.36863136863136864,Not significant
172,a_n,0.6705128205128205,0.36863136863136864,Not significant
173,a_n,0.5333333333333333,0.36863136863136864,Not significant
174,a_n,0.444,0.36863136863136864,Not significant
175,a_n,0.512,0.36863136863136864,Not significant
176,a_n,0.4866666666666667,0.36863136863136864,Not significant
177,a_n,0.5173333333333333,0.36863136863136864,Not significant
178,a_n,0.4693333333333334,0.36863136863136864,Not significant
179,a_n,0.44297082228116713,0.36863136863136864,Not significant
180,a,0.3576923076923077,0.5114885114885115,Not significant
181,a,0.5371794871794873,0.5114885114885115,Not significant
182,a,0.6461538461538461,0.5114885114885115,Not significant
183,a,0.48933333333333323,0.5114885114885115,Not significant
184,a,0.42533333333333334,0.5114885114885115,Not significant
185,a,0.5373333333333333,0.5114885114885115,Not significant
186,a,0.49733333333333335,0.5114885114885115,Not significant
187,a,0.4986666666666667,0.5114885114885115,Not significant
188,a,0.452,0.5114885114885115,Not significant
189,a,0.5172413793103448,0.5114885114885115,Not significant
190,CNV,0.48846153846153845,0.4245754245754246,Not significant
191,CNV,0.5025641025641026,0.4245754245754246,Not significant
192,CNV,0.4205128205128205,0.4245754245754246,Not significant
193,CNV,0.45733333333333337,0.4245754245754246,Not significant
194,CNV,0.5506666666666666,0.4245754245754246,Not significant
195,CNV,0.5186666666666666,0.4245754245754246,Not significant
196,CNV,0.6200000000000001,0.4245754245754246,Not significant
197,CNV,0.45066666666666666,0.4245754245754246,Not significant
198,CNV,0.4613333333333334,0.4245754245754246,Not significant
199,CNV,0.5755968169761273,0.4245754245754246,Not significant
200,P1,0.6230769230769231,0.2917082917082917,Not significant
201,P1,0.46923076923076923,0.2917082917082917,Not significant
202,P1,0.5076923076923077,0.2917082917082917,Not significant
