,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
288,288,0.6836212894248609,2024-02-18 02:25:34.574648,2024-02-18 02:25:42.358648,0 days 00:00:07.784000,True,absolute_error,0.01268267318648555,25,0.03294928789259753,49,0.05934951626096119,3,14,RandomForest,39,False,False,COMPLETE,"[0.8265306122448979, 0.8454545454545455, 0.7788461538461539, 0.28365384615384615]","[0.00485863 0.0173365  0.01666667 0.         0.         0.
 0.00366761 0.00664021 0.01444779 0.04107767 0.03854836 0.
 0.         0.00580009 0.         0.0495091  0.0795376  0.00615553
 0.         0.01786864 0.06310896 0.0352784  0.         0.00346335
 0.         0.0222332  0.         0.         0.01086957 0.03431626
 0.05181681 0.         0.01136364 0.         0.11174121 0.
 0.05518107 0.01563345 0.01086957 0.         0.         0.
 0.07410129 0.01100472 0.02558516 0.03161972 0.06315396 0.0089203
 0.03889987 0.01449576 0.         0.         0.         0.00422935]"
318,318,0.6835307549593264,2024-02-18 02:28:11.800172,2024-02-18 02:28:15.888664,0 days 00:00:04.088492,True,absolute_error,0.09119763259404695,33,0.032283321669566684,70,0.04183267399331505,8,17,RandomForest,62,False,False,COMPLETE,"[0.7551020408163265, 0.8636363636363636, 0.7884615384615384, 0.326923076923077]","[0.00434512 0.01267366 0.         0.01759259 0.         0.
 0.00464442 0.         0.0222939  0.02234541 0.05074092 0.00310629
 0.         0.02707458 0.         0.01179443 0.05466433 0.02176835
 0.00429617 0.03628669 0.04470899 0.04793028 0.00833333 0.01343172
 0.         0.02592593 0.         0.03129252 0.04089636 0.0172619
 0.02652116 0.01401171 0.04351852 0.         0.05015562 0.00348951
 0.07972866 0.00459677 0.02363445 0.         0.         0.00723148
 0.03598951 0.03196779 0.00551418 0.0475996  0.03558959 0.02341488
 0.02767162 0.01215796 0.         0.         0.00379912 0.        ]"
434,434,0.6767955259026688,2024-02-18 02:41:51.378688,2024-02-18 02:41:57.988070,0 days 00:00:06.609382,True,absolute_error,0.03179419176497424,48,0.03446317177162454,42,0.04109656341211958,8,20,RandomForest,55,False,False,COMPLETE,"[0.7244897959183674, 0.8, 0.7884615384615384, 0.3942307692307693]","[0.         0.02026188 0.0124914  0.02056891 0.00232979 0.
 0.00261382 0.00840261 0.01631425 0.01961493 0.03691629 0.
 0.         0.03029949 0.01923077 0.02201086 0.05962326 0.0213463
 0.00274964 0.0098253  0.04529363 0.05560486 0.02377009 0.01934079
 0.         0.03134585 0.         0.02580972 0.00657895 0.0214403
 0.02377009 0.         0.06118881 0.         0.04957981 0.00275441
 0.07731196 0.00404495 0.01619433 0.         0.         0.00764114
 0.03635318 0.03400472 0.02271638 0.0131805  0.0449272  0.03276623
 0.02102045 0.00677137 0.00290612 0.00657895 0.         0.00250574]"
396,396,0.6759624304267161,2024-02-18 02:36:50.524279,2024-02-18 02:36:58.940860,0 days 00:00:08.416581,True,absolute_error,0.023914654561229733,13,0.06267374885884229,77,0.042635890079009364,4,4,RandomForest,75,False,False,COMPLETE,"[0.8061224489795917, 0.7727272727272727, 0.75, 0.375]","[0.00788598 0.01453429 0.00190106 0.00572352 0.00252841 0.00617874
 0.0093348  0.0070509  0.00663013 0.02586051 0.02068011 0.00868574
 0.03007408 0.01549874 0.03814431 0.00823993 0.05287648 0.02321902
 0.03103088 0.02770669 0.05177402 0.02010053 0.01794582 0.03722314
 0.01136501 0.01228349 0.01643315 0.02045584 0.01062353 0.00963677
 0.01733269 0.02400946 0.0183417  0.02040403 0.017801   0.01336887
 0.0558564  0.0046611  0.01843598 0.01186371 0.00536896 0.00843358
 0.05345049 0.04932251 0.00838134 0.03721605 0.01973805 0.01637375
 0.01616897 0.0058559  0.01038572 0.00871471 0.00112621 0.0057632 ]"
175,175,0.6668028400171258,2024-02-18 02:14:38.419296,2024-02-18 02:14:43.930612,0 days 00:00:05.511316,True,absolute_error,0.09329421504886391,40,0.027894519469697704,61,0.03452687029134002,1,9,RandomForest,100,False,False,COMPLETE,"[0.7346938775510203, 0.8363636363636364, 0.7596153846153846, 0.33653846153846156]","[0.02445295 0.02410087 0.01622109 0.01948337 0.00584428 0.0103736
 0.01352604 0.00595739 0.01788563 0.01244058 0.02262631 0.00374255
 0.0094155  0.01992473 0.00344387 0.01487749 0.0543797  0.01712427
 0.01748311 0.01929921 0.02712269 0.03891582 0.02342753 0.01861036
 0.0008854  0.03308671 0.00097671 0.02736692 0.03459672 0.01912517
 0.01653107 0.00458377 0.02338849 0.00457751 0.02441581 0.01978824
 0.04668613 0.0104276  0.02676182 0.00511576 0.00546768 0.00882
 0.04247842 0.02683991 0.01787017 0.03265071 0.0286466  0.02767567
 0.01796332 0.00735134 0.00597023 0.01273109 0.01151694 0.01502515]"
330,330,0.6655603325246182,2024-02-18 02:29:11.324974,2024-02-18 02:29:19.412615,0 days 00:00:08.087641,True,absolute_error,0.007614637353506114,22,0.021801423451844444,48,0.05572857159687121,6,16,RandomForest,37,False,False,COMPLETE,"[0.8061224489795918, 0.8272727272727273, 0.7307692307692308, 0.298076923076923]","[0.         0.00629487 0.00973622 0.         0.         0.
 0.         0.00683893 0.01355104 0.04886364 0.04634093 0.
 0.         0.0093654  0.         0.02942569 0.07519793 0.
 0.         0.01666667 0.08947374 0.03628383 0.         0.
 0.         0.03219697 0.         0.         0.01136364 0.04469697
 0.04886364 0.         0.0375     0.         0.09356061 0.00628256
 0.07147698 0.0150227  0.01136364 0.         0.         0.
 0.07243593 0.01239175 0.02589639 0.02047849 0.01234741 0.0284991
 0.04469697 0.01836268 0.         0.         0.         0.00452471]"
357,357,0.6646255530184102,2024-02-18 02:32:23.194494,2024-02-18 02:32:29.070879,0 days 00:00:05.876385,True,absolute_error,0.014453310485329074,23,0.026222803320875412,18,0.04600488621983079,9,8,RandomForest,30,False,False,COMPLETE,"[0.7397959183673469, 0.9090909090909091, 0.6826923076923077, 0.3269230769230769]","[0.         0.00750336 0.02083333 0.         0.         0.
 0.         0.00981715 0.03170229 0.         0.06188055 0.
 0.         0.00868759 0.         0.         0.08595005 0.
 0.         0.01666667 0.10327455 0.09075409 0.         0.0111797
 0.         0.04444444 0.         0.         0.         0.053125
 0.         0.         0.04444444 0.         0.11736111 0.00579771
 0.015625   0.00791111 0.015625   0.         0.         0.
 0.07221519 0.02112814 0.01519023 0.02938974 0.         0.02748297
 0.053125   0.02307772 0.         0.         0.         0.00580785]"
333,333,0.6636809618952476,2024-02-18 02:29:31.369620,2024-02-18 02:29:38.496026,0 days 00:00:07.126406,True,absolute_error,0.008991142003996805,24,0.014556516861915902,37,0.02462907417320062,5,14,RandomForest,35,False,False,COMPLETE,"[0.8061224489795918, 0.7909090909090909, 0.778846153846154, 0.27884615384615385]","[0.00780121 0.03466007 0.02486512 0.         0.00399636 0.
 0.01263337 0.01814525 0.03442811 0.00760088 0.04305235 0.
 0.01351108 0.00739135 0.         0.02599311 0.05270503 0.01090058
 0.00438386 0.02502109 0.04618956 0.04520322 0.01355628 0.01168113
 0.         0.0328985  0.00922088 0.         0.02822639 0.0306652
 0.00753659 0.         0.02317117 0.01612693 0.05209167 0.02428862
 0.06301969 0.01584561 0.02378628 0.         0.         0.00929928
 0.0561228  0.01497918 0.02154669 0.01946266 0.00617262 0.02400469
 0.02416009 0.01821206 0.         0.0110127  0.01540965 0.00902104]"
58,58,0.6611647281290138,2024-02-18 02:01:55.423077,2024-02-18 02:02:01.190838,0 days 00:00:05.767761,True,absolute_error,0.07769373288668383,29,0.0482033765348614,58,0.05126727662259092,3,16,RandomForest,107,False,False,COMPLETE,"[0.7346938775510204, 0.7272727272727273, 0.8269230769230769, 0.3557692307692308]","[0.01985834 0.02255504 0.00580405 0.00624431 0.         0.00719435
 0.01543305 0.00702257 0.01251671 0.01438483 0.02050193 0.01568953
 0.00787569 0.01380521 0.01917132 0.01342216 0.05304492 0.02238925
 0.02042098 0.03050361 0.04663344 0.0561616  0.0053519  0.02057996
 0.00485809 0.02372315 0.01994211 0.00712898 0.01771631 0.01504968
 0.01365824 0.00710162 0.01240079 0.01149139 0.02177201 0.0102814
 0.06223214 0.00757241 0.01942641 0.01702742 0.01924416 0.00649357
 0.03684912 0.05045032 0.01569328 0.02667063 0.02055447 0.02199118
 0.03032584 0.00446429 0.01552728 0.01477921 0.00454545 0.00446429]"
471,471,0.6582364064506921,2024-02-18 02:46:30.228959,2024-02-18 02:46:34.068008,0 days 00:00:03.839049,True,absolute_error,0.09215156615001135,22,0.053228694902877655,41,0.05032084159090594,7,9,RandomForest,53,False,False,COMPLETE,"[0.7346938775510204, 0.7636363636363637, 0.7307692307692307, 0.40384615384615385]","[0.         0.00245047 0.         0.00694444 0.         0.
 0.00914754 0.00411783 0.01315789 0.02241723 0.03881105 0.
 0.         0.02264749 0.00325664 0.01664367 0.07142702 0.01220942
 0.00938884 0.03035624 0.07492636 0.057757   0.00735294 0.04659417
 0.00735294 0.00735294 0.01377016 0.00694444 0.         0.
 0.01830808 0.03121389 0.03008021 0.         0.03240169 0.
 0.10957304 0.         0.00694444 0.0093222  0.         0.
 0.06082813 0.04913394 0.00445896 0.02124183 0.02967172 0.0295591
 0.03439972 0.01429739 0.03353888 0.         0.         0.        ]"
