,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
0,183.0,183,0.6817468989343989,2024-01-26 14:42:37.911937,2024-01-26 14:42:47.773636,0 days 00:00:09.861699,True,absolute_error,0.0101672805249377,14,0.5861173356330689,30,0.0999249825304049,3,4,RandomForest,56,False,False,COMPLETE,"[0.6272727272727273, 0.6545454545454545, 0.6979166666666666, 0.7472527472527473]","[0.         0.01004306 0.01136364 0.01934103 0.01876491 0.
 0.         0.         0.         0.09103323 0.00543478 0.08724648
 0.01061382 0.         0.05996617 0.00961538 0.02270615 0.
 0.00510675 0.02466555 0.04027891 0.01136364 0.00543478 0.
 0.01630435 0.0031113  0.         0.01136364 0.02014066 0.
 0.01040202 0.         0.03791161 0.00450164 0.01470588 0.01470588
 0.         0.         0.02097902 0.01136364 0.03646063 0.00543478
 0.05944056 0.00737995 0.         0.17616811 0.0365257  0.00543478
 0.02097902 0.01805016 0.00543478 0.         0.0302236  0.        ]"
483,,183,0.6817468989343989,2024-01-26 14:42:37.911937,2024-01-26 14:42:47.773636,0 days 00:00:09.861699,True,absolute_error,0.010167280524937787,14,0.5861173356330689,30,0.09992498253040491,3,4,RandomForest,56,False,False,COMPLETE,,
1,266.0,266,0.6724686771561772,2024-01-26 14:57:12.056717,2024-01-26 14:57:20.647542,0 days 00:00:08.590825,True,absolute_error,0.0084570959856561,16,0.6261654445775282,40,0.0980923938765625,3,11,RandomForest,48,False,False,COMPLETE,"[0.5727272727272728, 0.65, 0.6979166666666667, 0.7692307692307693]","[0.         0.00657895 0.01470588 0.01777918 0.0263733  0.
 0.         0.         0.00368467 0.08399928 0.00657895 0.09126957
 0.         0.         0.03093152 0.01086957 0.03827958 0.
 0.00847531 0.02831808 0.05397048 0.00760432 0.00657895 0.01388889
 0.01315789 0.         0.         0.01470588 0.02704678 0.
 0.00991368 0.         0.03624726 0.         0.01388889 0.01388889
 0.00393196 0.         0.02557545 0.01470588 0.05334358 0.
 0.07194798 0.00920498 0.         0.17300609 0.01470588 0.
 0.01797113 0.01434609 0.         0.         0.02252525 0.        ]"
566,,266,0.6724686771561772,2024-01-26 14:57:12.056717,2024-01-26 14:57:20.647542,0 days 00:00:08.590825,True,absolute_error,0.008457095985656147,16,0.6261654445775282,40,0.09809239387656259,3,11,RandomForest,48,False,False,COMPLETE,,
665,,365,0.6689607267732268,2024-01-27 20:20:13.819814,2024-01-27 20:20:21.604126,0 days 00:00:07.784312,True,absolute_error,0.009959638545007882,19,0.40633220478485094,21,0.09324325216940564,2,5,RandomForest,49,False,False,COMPLETE,"[0.6136363636363638, 0.6181818181818182, 0.71875, 0.7252747252747254]","[0.00641026 0.00641026 0.00641026 0.03125    0.00922698 0.
 0.         0.         0.01282051 0.05128205 0.00641026 0.07985247
 0.00641026 0.00641026 0.10128205 0.00641026 0.03205128 0.00641026
 0.         0.00861114 0.0228243  0.03766026 0.01267015 0.00323065
 0.01282051 0.00710959 0.         0.         0.03141026 0.
 0.00922215 0.         0.06241375 0.         0.         0.0281796
 0.01282051 0.         0.         0.03125    0.07532051 0.00331205
 0.07751621 0.00641026 0.         0.14835769 0.00641026 0.
 0.00641026 0.01779968 0.00281497 0.         0.00637787 0.        ]"
386,,86,0.6656494547119547,2024-01-26 14:25:53.277153,2024-01-26 14:26:03.663968,0 days 00:00:10.386815,True,absolute_error,0.01207972510309965,16,0.6237714768623588,49,0.09545144678727782,2,8,RandomForest,52,False,False,COMPLETE,,
2,86.0,86,0.6656494547119547,2024-01-26 14:25:53.277153,2024-01-26 14:26:03.663968,0 days 00:00:10.386815,True,absolute_error,0.0120797251030996,16,0.6237714768623588,49,0.0954514467872778,2,8,RandomForest,52,False,False,COMPLETE,"[0.5909090909090909, 0.6363636363636362, 0.6770833333333334, 0.7582417582417581]","[0.00595238 0.01236264 0.         0.00278303 0.01850052 0.
 0.         0.         0.00334454 0.06054993 0.00595238 0.08099817
 0.         0.         0.05263176 0.         0.03463076 0.02851777
 0.00580144 0.01236264 0.02797951 0.04212454 0.00595238 0.02825231
 0.01190476 0.         0.         0.         0.02440476 0.00231637
 0.003012   0.         0.03266056 0.         0.0125     0.01565795
 0.01197927 0.         0.00311532 0.03571429 0.07974588 0.
 0.08317691 0.01184787 0.         0.14617423 0.00916529 0.03459271
 0.00641026 0.01690083 0.00642727 0.         0.02359677 0.        ]"
898,,598,0.6610483266733266,2024-01-27 20:51:45.649814,2024-01-27 20:51:51.218971,0 days 00:00:05.569157,True,absolute_error,0.023936520999258578,10,0.5326661116053297,27,0.08960807141401318,5,10,RandomForest,55,False,False,COMPLETE,"[0.6045454545454545, 0.6818181818181818, 0.6875, 0.6703296703296703]","[0.         0.00555556 0.         0.00257656 0.01481481 0.
 0.         0.         0.00306648 0.06292419 0.00555556 0.10584046
 0.00351353 0.         0.03197021 0.         0.03446047 0.
 0.00182092 0.02351571 0.03240028 0.         0.01001028 0.
 0.01315314 0.         0.00798096 0.02272727 0.02478632 0.
 0.00810978 0.00501928 0.05140014 0.         0.01923077 0.02598191
 0.01666667 0.00555556 0.         0.02272727 0.08299663 0.00555556
 0.09599082 0.00555556 0.         0.12600438 0.01111111 0.01921579
 0.         0.00533967 0.02828283 0.         0.05858357 0.        ]"
878,,578,0.6598997356809857,2024-01-27 20:49:36.562714,2024-01-27 20:49:42.030765,0 days 00:00:05.468051,True,absolute_error,0.022389341173612968,11,0.5822993594222478,36,0.09440572535634315,2,11,RandomForest,50,False,False,COMPLETE,"[0.5909090909090909, 0.6272727272727272, 0.6302083333333334, 0.7912087912087912]","[0.         0.00609756 0.         0.03060656 0.00318513 0.
 0.         0.         0.0033873  0.05609756 0.00609756 0.09344512
 0.00609756 0.         0.08149443 0.         0.03146911 0.
 0.00221069 0.03109756 0.06688519 0.02777778 0.00609756 0.03125
 0.01219512 0.00348009 0.00287907 0.         0.03734756 0.
 0.01139523 0.         0.03734756 0.         0.         0.03125
 0.00321849 0.         0.         0.02777778 0.0578544  0.
 0.08048804 0.00833234 0.         0.14528137 0.0390968  0.01243433
 0.         0.00323777 0.         0.         0.00308737 0.        ]"
522,,222,0.6598471840659341,2024-01-26 14:49:22.407907,2024-01-26 14:49:28.669412,0 days 00:00:06.261505,True,absolute_error,0.009018178980494116,14,0.6119671347390869,32,0.0910207997500709,2,5,RandomForest,49,False,False,COMPLETE,,
3,222.0,222,0.6598471840659341,2024-01-26 14:49:22.407907,2024-01-26 14:49:28.669412,0 days 00:00:06.261505,True,absolute_error,0.0090181789804941,14,0.6119671347390869,32,0.0910207997500709,2,5,RandomForest,49,False,False,COMPLETE,"[0.5681818181818181, 0.6318181818181818, 0.703125, 0.7362637362637363]","[0.00675676 0.00675676 0.         0.02586302 0.         0.
 0.01086957 0.         0.00378285 0.03939409 0.00675676 0.08183649
 0.01086957 0.00315862 0.04230882 0.00675676 0.03928026 0.00561022
 0.00619386 0.01785714 0.02621113 0.02272727 0.         0.02173913
 0.01351351 0.         0.         0.02272727 0.02212813 0.01785714
 0.00675676 0.00917943 0.03330375 0.         0.01086957 0.01086957
 0.01085873 0.         0.         0.02272727 0.0954505  0.
 0.08096275 0.02725203 0.         0.16619704 0.02911029 0.01547154
 0.         0.00601851 0.         0.         0.01401716 0.        ]"
4,171.0,171,0.6576959498834498,2024-01-26 14:40:30.853798,2024-01-26 14:40:41.796945,0 days 00:00:10.943147,True,absolute_error,0.0082217436540345,13,0.6077925409511511,38,0.0949082773633687,3,5,RandomForest,50,False,False,COMPLETE,"[0.5545454545454546, 0.6090909090909091, 0.6979166666666666, 0.7692307692307692]","[0.         0.01057252 0.01       0.01300038 0.02867045 0.
 0.         0.         0.00358315 0.07418803 0.00641026 0.08032492
 0.00641026 0.00232266 0.05331212 0.         0.03290075 0.
 0.01258011 0.02357538 0.03491263 0.00525888 0.00641026 0.01914679
 0.01282051 0.01       0.         0.01       0.0267094  0.0147421
 0.01216713 0.00583313 0.03606063 0.         0.01388889 0.02388889
 0.00394554 0.         0.01       0.01       0.03246471 0.
 0.07699398 0.01641026 0.         0.16826446 0.03533084 0.
 0.01474112 0.01612653 0.         0.         0.02603233 0.        ]"
471,,171,0.6576959498834498,2024-01-26 14:40:30.853798,2024-01-26 14:40:41.796945,0 days 00:00:10.943147,True,absolute_error,0.008221743654034533,13,0.6077925409511511,38,0.09490827736336879,3,5,RandomForest,50,False,False,COMPLETE,,
879,,579,0.6562702922077922,2024-01-27 20:49:42.049106,2024-01-27 20:49:48.259362,0 days 00:00:06.210256,True,absolute_error,0.03195111397651711,11,0.5340887742209354,26,0.09385324097525556,2,11,RandomForest,58,False,False,COMPLETE,"[0.5727272727272728, 0.6818181818181818, 0.65625, 0.7142857142857144]","[0.         0.00555556 0.         0.02343787 0.00555556 0.
 0.         0.         0.         0.06667564 0.00555556 0.08290598
 0.         0.0021756  0.0623975  0.         0.02517324 0.
 0.01037072 0.03507339 0.03196143 0.02083333 0.00555556 0.
 0.01111111 0.         0.00247102 0.02338846 0.02478632 0.01125288
 0.00843367 0.00396631 0.05736135 0.         0.         0.02307146
 0.01111111 0.         0.00833333 0.02638889 0.07186404 0.02638889
 0.05853369 0.01388889 0.         0.15027775 0.02346934 0.
 0.01388889 0.00528397 0.00555556 0.         0.03594614 0.        ]"
5,249.0,249,0.6539111929736929,2024-01-26 14:53:54.514957,2024-01-26 14:54:05.914661,0 days 00:00:11.399704,True,absolute_error,0.0067998206300142,25,0.6138156185276356,35,0.092749360354842,2,11,RandomForest,46,False,False,COMPLETE,"[0.5090909090909091, 0.6272727272727272, 0.6770833333333334, 0.8021978021978021]","[0.00641026 0.00641026 0.01190476 0.01811303 0.02786936 0.
 0.         0.         0.00359098 0.0632416  0.00641026 0.0722942
 0.         0.         0.05325334 0.         0.03741373 0.00667181
 0.00775907 0.0233927  0.03900643 0.02819498 0.00641026 0.0315069
 0.01282051 0.         0.00308785 0.02380952 0.02383239 0.02475857
 0.00320963 0.         0.01315789 0.         0.01315789 0.01796678
 0.00384043 0.         0.02380952 0.01190476 0.03828411 0.
 0.06472403 0.01869437 0.         0.15001089 0.02601445 0.00648609
 0.01561454 0.015667   0.         0.00273681 0.03429807 0.00225997]"
549,,249,0.6539111929736929,2024-01-26 14:53:54.514957,2024-01-26 14:54:05.914661,0 days 00:00:11.399704,True,absolute_error,0.0067998206300142385,25,0.6138156185276356,35,0.09274936035484205,2,11,RandomForest,46,False,False,COMPLETE,,
777,,477,0.6535456730769231,2024-01-27 20:37:55.950714,2024-01-27 20:38:01.720630,0 days 00:00:05.769916,True,absolute_error,0.037913678024605726,17,0.5278400844397803,37,0.09790557801464003,2,6,RandomForest,57,False,False,COMPLETE,"[0.6227272727272728, 0.6272727272727272, 0.671875, 0.6923076923076923]","[0.         0.005      0.         0.         0.005      0.
 0.         0.         0.005      0.05104201 0.005      0.09273459
 0.         0.0016957  0.07073898 0.         0.025      0.
 0.00189264 0.02439938 0.02416094 0.02777778 0.01       0.
 0.01       0.00264144 0.01217193 0.         0.03277778 0.
 0.00729822 0.         0.04468534 0.         0.         0.02777778
 0.01       0.         0.         0.02777778 0.07478632 0.02777778
 0.09047009 0.02423077 0.         0.20332366 0.02777778 0.
 0.         0.00465648 0.005      0.00249592 0.01490891 0.        ]"
6,254.0,254,0.6531710477022977,2024-01-26 14:55:03.751219,2024-01-26 14:55:10.943510,0 days 00:00:07.192291,True,absolute_error,0.0067004567357641,24,0.6246246585686404,36,0.0911658672400749,2,10,RandomForest,48,False,False,COMPLETE,"[0.5681818181818181, 0.6363636363636364, 0.671875, 0.7362637362637363]","[0.00625    0.00625    0.         0.0279006  0.00625    0.01
 0.01       0.         0.00349838 0.0575     0.00625    0.07375
 0.01       0.         0.03875    0.01       0.036257   0.00549089
 0.         0.015625   0.0396367  0.025      0.         0.0186707
 0.0125     0.00346817 0.         0.025      0.02041225 0.015625
 0.00624062 0.00786603 0.03432703 0.         0.01       0.0169543
 0.01010315 0.         0.015625   0.025      0.09302185 0.
 0.07676059 0.02424311 0.         0.15035245 0.0023791  0.01573626
 0.         0.00558929 0.         0.003317   0.01590844 0.00249109]"
554,,254,0.6531710477022977,2024-01-26 14:55:03.751219,2024-01-26 14:55:10.943510,0 days 00:00:07.192291,True,absolute_error,0.006700456735764132,24,0.6246246585686404,36,0.09116586724007492,2,10,RandomForest,48,False,False,COMPLETE,,
808,,508,0.6530815538628039,2024-01-27 20:41:15.608583,2024-01-27 20:41:20.177116,0 days 00:00:04.568533,True,absolute_error,0.04059721962682863,25,0.5561469151208023,33,0.09987189442292603,2,5,RandomForest,47,False,False,COMPLETE,"[0.5454545454545454, 0.6454545454545455, 0.6302083333333334, 0.7912087912087911]","[0.         0.00625    0.         0.00286164 0.00625    0.
 0.         0.         0.         0.05096154 0.00625    0.10144231
 0.00625    0.         0.10048077 0.         0.0324212  0.
 0.         0.03511082 0.02720335 0.04166667 0.00625    0.03125
 0.0125     0.00625    0.00271807 0.         0.0375     0.
 0.00846716 0.         0.0375     0.         0.         0.03125
 0.00625    0.         0.         0.04166667 0.10523937 0.
 0.08012821 0.00864518 0.         0.13299815 0.         0.01923077
 0.         0.00321877 0.         0.         0.01178936 0.        ]"
660,,360,0.6529621420246421,2024-01-27 20:19:24.774188,2024-01-27 20:19:35.086751,0 days 00:00:10.312563,True,absolute_error,0.010370707021374636,19,0.5728490042175318,30,0.08836611192395182,3,5,RandomForest,50,False,False,COMPLETE,"[0.5272727272727273, 0.6272727272727273, 0.6770833333333334, 0.7802197802197801]","[0.         0.00925582 0.00833333 0.01685887 0.02453972 0.
 0.         0.00833333 0.00326205 0.08627681 0.00581395 0.07076708
 0.02248062 0.         0.07577519 0.00581395 0.03016011 0.
 0.00466275 0.01140988 0.04508486 0.01276966 0.00581395 0.02524108
 0.01162791 0.         0.0024237  0.00833333 0.02248062 0.01792982
 0.00839205 0.         0.04323292 0.01452195 0.         0.02076439
 0.00581395 0.         0.00980154 0.00833333 0.02935176 0.
 0.0787137  0.01613836 0.         0.10289162 0.03914729 0.
 0.01804429 0.02817863 0.         0.         0.03289247 0.00833333]"
534,,234,0.652819055944056,2024-01-26 14:51:27.380327,2024-01-26 14:51:35.547188,0 days 00:00:08.166861,True,absolute_error,0.00684927136331461,19,0.6243222297310901,37,0.09623925943395348,2,9,RandomForest,47,False,False,COMPLETE,,
7,234.0,234,0.652819055944056,2024-01-26 14:51:27.380327,2024-01-26 14:51:35.547188,0 days 00:00:08.166861,True,absolute_error,0.0068492713633146,19,0.6243222297310901,37,0.0962392594339534,2,9,RandomForest,47,False,False,COMPLETE,"[0.5181818181818182, 0.6363636363636364, 0.6875, 0.7692307692307693]","[0.         0.00609756 0.0125     0.01535171 0.0125     0.
 0.         0.         0.00609756 0.07029973 0.00609756 0.12666881
 0.         0.         0.02921345 0.         0.03557546 0.01315789
 0.00223713 0.02772704 0.02305469 0.01905704 0.00609756 0.02631579
 0.01219512 0.         0.         0.025      0.02535302 0.0125
 0.00927704 0.0104102  0.03415104 0.00281752 0.01315789 0.01315789
 0.00971362 0.         0.025      0.0125     0.06081483 0.
 0.0645898  0.00853876 0.         0.1540939  0.0125     0.00609756
 0.00837841 0.00538224 0.         0.         0.03133026 0.00499191]"
482,,182,0.649672462953713,2024-01-26 14:42:29.837701,2024-01-26 14:42:37.893458,0 days 00:00:08.055757,True,absolute_error,0.009334162852103018,14,0.5864991557221498,35,0.0999893857852025,3,5,RandomForest,50,False,False,COMPLETE,,
8,182.0,182,0.649672462953713,2024-01-26 14:42:29.837701,2024-01-26 14:42:37.893458,0 days 00:00:08.055757,True,absolute_error,0.009334162852103,14,0.5864991557221498,35,0.0999893857852025,3,5,RandomForest,50,False,False,COMPLETE,"[0.5636363636363637, 0.6136363636363635, 0.6302083333333334, 0.7912087912087913]","[0.         0.01174534 0.01315789 0.02244989 0.026151   0.
 0.         0.         0.0035197  0.05956815 0.00641026 0.07830358
 0.00641026 0.         0.10781711 0.01       0.02916955 0.01
 0.01187523 0.01       0.04846154 0.01315789 0.         0.03444118
 0.01282051 0.         0.         0.01315789 0.03766026 0.
 0.01283622 0.         0.04407051 0.00525559 0.01       0.03125
 0.01       0.         0.02315789 0.01315789 0.03947368 0.
 0.06604845 0.00641026 0.         0.12294168 0.0322009  0.
 0.01       0.00345001 0.         0.         0.00346969 0.        ]"
9,112.0,112,0.6493326985514486,2024-01-26 14:30:36.478189,2024-01-26 14:30:46.815456,0 days 00:00:10.337267,True,absolute_error,0.0074398592189561,13,0.5559604547557415,67,0.0905817398073254,2,3,RandomForest,51,False,False,COMPLETE,"[0.5727272727272728, 0.6181818181818182, 0.703125, 0.7032967032967034]","[0.00595238 0.00595238 0.         0.02544877 0.0087725  0.
 0.00892857 0.         0.00335094 0.0670935  0.00595238 0.06917828
 0.01805013 0.00315189 0.06411105 0.01731345 0.0309248  0.02106287
 0.00342263 0.01662425 0.03915535 0.02882483 0.00595238 0.01202049
 0.01452003 0.         0.0101403  0.02272727 0.01488095 0.00220695
 0.00206799 0.00332278 0.02380952 0.00598231 0.01195664 0.01419837
 0.00952866 0.         0.00440242 0.02272727 0.07876412 0.00310701
 0.08123963 0.0170649  0.         0.12620802 0.02544442 0.
 0.00609756 0.01232335 0.00267158 0.         0.02105932 0.00230479]"
412,,112,0.6493326985514486,2024-01-26 14:30:36.478189,2024-01-26 14:30:46.815456,0 days 00:00:10.337267,True,absolute_error,0.007439859218956139,13,0.5559604547557415,67,0.09058173980732545,2,3,RandomForest,51,False,False,COMPLETE,,
