,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
173,173,0.6657142857142857,2024-01-25 01:57:07.915446,2024-01-25 01:57:27.241245,0 days 00:00:19.325799,True,absolute_error,0.02609049509799728,23,0.08124366261974925,68,0.007351457862781761,2,18,RandomForest,179,False,False,COMPLETE,"[0.7833333333333334, 0.6, 0.6285714285714286, 0.7000000000000001, 0.6166666666666667]","[0.01978154 0.00842442 0.01013267 0.02004329 0.02148783 0.01641166
 0.02612742 0.01115692 0.00704333 0.01885116 0.01300904 0.02344787
 0.01730649 0.00937547 0.02416472 0.01262918 0.04001019 0.03424126
 0.01184669 0.01456973 0.03281129 0.02824641 0.01676002 0.02474912
 0.00952022 0.01999841 0.0168438  0.00988922 0.01383939 0.01787877
 0.0190718  0.01162908 0.02341898 0.01400667 0.01160854 0.0127127
 0.0325723  0.01687108 0.01565018 0.025248   0.01773419 0.0118763
 0.02485829 0.033923   0.0179781  0.04853742 0.02637884 0.01986726
 0.01729056 0.01200484 0.01132984 0.01030593 0.00694916 0.00757939]"
247,247,0.6638095238095238,2024-01-25 02:22:13.608612,2024-01-25 02:22:31.267916,0 days 00:00:17.659304,True,absolute_error,0.033806229656866436,33,0.07853574979441683,62,0.005589921283044749,4,17,RandomForest,193,False,False,COMPLETE,"[0.85, 0.5285714285714285, 0.6285714285714286, 0.7285714285714286, 0.5833333333333334]","[0.01828423 0.00947391 0.01139499 0.01921505 0.02467868 0.01624342
 0.02111065 0.00867617 0.00832451 0.01983966 0.01268164 0.024964
 0.01672163 0.00978248 0.0224161  0.01150216 0.03762513 0.0287901
 0.01588828 0.01490328 0.02932688 0.02618047 0.01911491 0.02461725
 0.01035663 0.01560008 0.0186946  0.0146696  0.01440737 0.01797788
 0.02436591 0.01209983 0.02488361 0.01224389 0.01220644 0.01217493
 0.03539117 0.01493201 0.01536453 0.03037502 0.01777883 0.01369531
 0.02474799 0.03223439 0.01701948 0.05136364 0.01849103 0.02264002
 0.01611842 0.01273629 0.01308347 0.00935985 0.00480085 0.00843136]"
153,153,0.659047619047619,2024-01-25 01:50:50.394154,2024-01-25 01:51:09.852209,0 days 00:00:19.458055,True,absolute_error,0.02735197774507174,27,0.08248190693764398,70,0.009050501614986842,3,19,RandomForest,193,False,False,COMPLETE,"[0.8666666666666667, 0.5857142857142856, 0.6142857142857143, 0.6285714285714286, 0.6000000000000001]","[0.01839245 0.00853607 0.00932986 0.01911366 0.02579425 0.01648094
 0.02455512 0.00958148 0.0065438  0.02325684 0.01357489 0.02293206
 0.01660714 0.00936623 0.02438125 0.01338275 0.03507204 0.03416989
 0.01556284 0.01586888 0.03043004 0.02537363 0.01832894 0.02318305
 0.00986991 0.01824484 0.0181666  0.01357695 0.01494449 0.01830863
 0.022979   0.01105142 0.02407459 0.01185908 0.01121834 0.01207437
 0.03659248 0.01625306 0.01390982 0.03152325 0.01719123 0.01448777
 0.0259884  0.03235606 0.01889258 0.04839787 0.01863784 0.01954199
 0.01523902 0.01238396 0.01053925 0.00833043 0.0058719  0.00767678]"
184,184,0.6576190476190475,2024-01-25 02:00:54.189570,2024-01-25 02:01:15.364077,0 days 00:00:21.174507,True,absolute_error,0.021865744014739393,27,0.08915055215009965,68,0.005903086428691647,6,18,RandomForest,170,False,False,COMPLETE,"[0.8333333333333333, 0.5285714285714285, 0.7142857142857143, 0.6285714285714286, 0.5833333333333333]","[0.01886202 0.00718962 0.00629085 0.02051704 0.02475661 0.01725757
 0.02284659 0.00816132 0.00586244 0.0225148  0.01244801 0.02176502
 0.016234   0.00753172 0.02465084 0.01322676 0.03959381 0.03652555
 0.01469011 0.01722767 0.02978001 0.0286497  0.0180404  0.0225376
 0.01114382 0.01872768 0.01630567 0.01546168 0.01377077 0.01436574
 0.02113049 0.00917148 0.02413396 0.01085183 0.01099591 0.01565673
 0.04606542 0.01664159 0.01579532 0.03172462 0.02078733 0.01468102
 0.02717998 0.02612436 0.02166879 0.04660361 0.01300627 0.02077045
 0.01824164 0.01124378 0.00965734 0.00895248 0.00504761 0.00693259]"
233,233,0.6552380952380952,2024-01-25 02:17:14.816764,2024-01-25 02:17:35.021850,0 days 00:00:20.205086,True,absolute_error,0.02563246799068525,29,0.07509523134662001,70,0.010723204335156156,5,19,RandomForest,181,False,False,COMPLETE,"[0.8166666666666668, 0.5571428571428572, 0.6857142857142857, 0.6000000000000001, 0.6166666666666667]","[0.01813847 0.00805274 0.00808418 0.01913271 0.02472895 0.0139703
 0.02186223 0.00965457 0.00700131 0.02286124 0.01250016 0.02364337
 0.01732185 0.00664157 0.02535558 0.01126845 0.03628929 0.03917449
 0.0132363  0.01535661 0.03153148 0.02884191 0.01716905 0.02383392
 0.01024704 0.01685112 0.01777381 0.01283155 0.01541538 0.02058507
 0.02231831 0.0106685  0.02485693 0.01225148 0.01016747 0.01170357
 0.03711327 0.01393607 0.01610757 0.03089728 0.020052   0.01607269
 0.02840521 0.03454367 0.01909331 0.04423595 0.01812385 0.02081503
 0.01694659 0.00895283 0.01083834 0.01005603 0.00552462 0.00696477]"
242,242,0.6533333333333333,2024-01-25 02:20:44.068328,2024-01-25 02:21:02.003817,0 days 00:00:17.935489,True,absolute_error,0.029634409409716563,31,0.08500244946598462,67,0.008839016107367172,3,19,RandomForest,183,False,False,COMPLETE,"[0.85, 0.5714285714285714, 0.6285714285714286, 0.6, 0.6166666666666667]","[0.01816804 0.00833079 0.0105683  0.02045282 0.02222663 0.01406323
 0.02497805 0.01067423 0.00732171 0.02125272 0.01491327 0.02259223
 0.01817087 0.00927979 0.0235416  0.01212674 0.03564985 0.03550742
 0.01531986 0.01572713 0.03096865 0.02458312 0.01759163 0.02269087
 0.01223736 0.01900567 0.01760931 0.00997218 0.01482795 0.01900712
 0.02157592 0.011437   0.02300182 0.01120492 0.01142259 0.01357762
 0.03684065 0.01557436 0.01525269 0.02881081 0.01973709 0.0148428
 0.02314952 0.03408669 0.02034038 0.04741695 0.02024067 0.02012441
 0.01506309 0.01206596 0.00929334 0.01067298 0.00669169 0.00821688]"
182,182,0.6523809523809524,2024-01-25 02:00:16.950693,2024-01-25 02:00:38.947344,0 days 00:00:21.996651,True,absolute_error,0.02270047754431082,27,0.03847545691634439,71,0.006720663387557063,3,18,RandomForest,171,False,False,COMPLETE,"[0.85, 0.5714285714285714, 0.6571428571428571, 0.6, 0.5833333333333335]","[0.01647121 0.01155897 0.01244594 0.01151655 0.01425926 0.01220529
 0.02243306 0.02505407 0.01372966 0.02162819 0.01808645 0.01800404
 0.0180611  0.00711206 0.02221477 0.01552146 0.03588116 0.03264093
 0.01983141 0.01807886 0.03237281 0.02527526 0.01402746 0.01716399
 0.00939571 0.02022799 0.02211564 0.01258357 0.02221599 0.01635626
 0.0258432  0.01585093 0.01622168 0.01045759 0.01227881 0.0191555
 0.03646062 0.01346107 0.01501255 0.02302725 0.01629657 0.01092579
 0.02754781 0.03483312 0.02202652 0.03114666 0.01783798 0.02710801
 0.01653392 0.01533073 0.00740197 0.00861432 0.00910236 0.00905589]"
137,137,0.6523809523809524,2024-01-25 01:46:23.310378,2024-01-25 01:46:39.143100,0 days 00:00:15.832722,True,absolute_error,0.028210511530230895,11,0.07905516996011391,75,0.004621714682934439,2,19,RandomForest,154,False,False,COMPLETE,"[0.8, 0.5428571428571429, 0.6714285714285714, 0.6142857142857142, 0.6333333333333333]","[0.0206689  0.01014269 0.01030822 0.02193373 0.02476075 0.01533459
 0.02696725 0.0105194  0.00674844 0.01522453 0.01237518 0.02500576
 0.01874019 0.01053436 0.01989139 0.0121817  0.04390517 0.03601853
 0.01764301 0.01447897 0.0333813  0.02382375 0.01754551 0.02299227
 0.01019715 0.01653185 0.01924568 0.00848701 0.01183035 0.01465492
 0.01726859 0.01235417 0.02419921 0.01240688 0.0127188  0.01554402
 0.03497263 0.01572026 0.01766809 0.02660009 0.0173362  0.0140588
 0.02368188 0.03162851 0.0231027  0.04884095 0.02139135 0.0203106
 0.01673239 0.0121661  0.00684888 0.00757004 0.00555965 0.00924665]"
243,243,0.650952380952381,2024-01-25 02:21:02.021575,2024-01-25 02:21:18.774149,0 days 00:00:16.752574,True,absolute_error,0.03128284900023601,31,0.05072844562759854,66,0.009381393103567243,3,12,RandomForest,186,False,False,COMPLETE,"[0.8166666666666667, 0.5285714285714286, 0.6285714285714286, 0.7142857142857143, 0.5666666666666667]","[0.01289132 0.01202236 0.01391678 0.01493701 0.01407422 0.0202173
 0.01854885 0.02256019 0.01359896 0.02030906 0.01452337 0.01691712
 0.01392861 0.01463694 0.02375556 0.01508916 0.03550148 0.03079505
 0.02181701 0.01589339 0.02912984 0.02240592 0.01517529 0.01775374
 0.0083954  0.01860462 0.02133235 0.01379477 0.02196497 0.02115542
 0.02478178 0.01443353 0.01804987 0.01394843 0.01753692 0.01995483
 0.03243481 0.01384877 0.01639683 0.02220792 0.01515782 0.01123015
 0.02472093 0.03013844 0.01948177 0.03230477 0.01823712 0.02530533
 0.0132903  0.01528461 0.01109289 0.01044787 0.01219971 0.01186852]"
80,80,0.6504761904761904,2024-01-25 01:35:29.128329,2024-01-25 01:35:41.816285,0 days 00:00:12.687956,True,absolute_error,0.07882116101039079,21,0.08355845430716642,51,0.00741608688927264,3,18,RandomForest,178,False,False,COMPLETE,"[0.8333333333333334, 0.5571428571428572, 0.6142857142857143, 0.6142857142857143, 0.6333333333333333]","[0.02004796 0.0091053  0.0105169  0.0222421  0.02230313 0.01401579
 0.02499125 0.00969682 0.00783093 0.0205754  0.01334713 0.01874884
 0.01866722 0.01100943 0.02152139 0.01109229 0.0374161  0.03239048
 0.01605859 0.01566027 0.02976764 0.02471706 0.01795047 0.02299083
 0.01261727 0.01869635 0.01888465 0.01212858 0.015329   0.01948706
 0.02533948 0.0105224  0.02295268 0.01117415 0.01240517 0.01432921
 0.03509372 0.0154849  0.01639229 0.02604273 0.0180364  0.01396546
 0.0208286  0.032885   0.02022315 0.04641606 0.02365366 0.02344816
 0.01496827 0.01284331 0.0112287  0.00806326 0.00509159 0.00880542]"
