,features,importances
0,wSMI_1_mean,0.0
1,wSMI_1_std,0.027785139129154538
2,wSMI_2_mean,0.03279055290061972
3,wSMI_2_std,0.0
4,wSMI_4_mean,0.010187918313111619
5,wSMI_4_std,0.006671631011373008
6,wSMI_8_mean,0.04178565549882263
7,wSMI_8_std,0.006522774404182407
8,p_e_1_mean,0.0
9,p_e_1_std,0.037442263104071664
10,p_e_2_mean,0.0
11,p_e_2_std,0.0
12,p_e_4_mean,0.0
13,p_e_4_std,0.0
14,p_e_8_mean,0.0
15,p_e_8_std,0.03832485273605205
16,k_mean,0.019569637672476208
17,k_std,0.011072423488525688
18,se_mean,0.029523343434137855
19,se_std,0.0
20,msf_mean,0.10539727435346524
21,msf_std,0.058241182301648826
22,sef90_mean,0.012098628516181405
23,sef90_std,0.015566940998537957
24,sef95_mean,0.0
25,sef95_std,0.05518654499058246
26,b_mean,0.003950381393257329
27,b_std,0.0
28,b_n_mean,0.023589487103218825
29,b_n_std,0.036034106762443174
30,g_mean,0.040225300896809715
31,g_std,0.002097601229177259
32,g_n_mean,0.040501595159617904
33,g_n_std,0.0
34,t_mean,0.02052802712206929
35,t_std,0.01052998132304501
36,t_n_mean,0.0578061431277104
37,t_n_std,0.03258930714998768
38,d_mean,0.023890989221289
39,d_std,0.0
40,d_n_mean,0.0
41,d_n_std,0.02843624153439907
42,a_n_mean,0.0077351037388179444
43,a_n_std,0.0
44,a_mean,0.022353110785828714
45,a_std,0.0
46,CNV_mean,0.02158644811795102
47,CNV_std,0.026521049725923715
48,P1_mean,0.01795484269213002
49,P1_std,0.0
50,P3a_mean,0.0
51,P3a_std,0.04042806445908237
52,P3b_mean,0.014296656574203594
53,P3b_std,0.020778799030094865
