,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
272,272,0.5137254901960784,2024-01-25 20:15:49.485983,2024-01-25 20:16:21.081899,0 days 00:00:31.595916,True,absolute_error,0.01306716657521852,15,0.13648504946505924,64,0.061563006196847986,18,20,RandomForest,110,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
231,231,0.5137254901960784,2024-01-25 19:53:44.175080,2024-01-25 19:54:16.898962,0 days 00:00:32.723882,True,absolute_error,0.011705382851075889,15,0.13842910524443508,68,0.06343684850598388,16,20,RandomForest,108,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
230,230,0.5137254901960784,2024-01-25 19:53:12.326929,2024-01-25 19:53:44.157106,0 days 00:00:31.830177,True,absolute_error,0.012805232886447124,17,0.1582676571736977,68,0.06549017979286723,16,19,RandomForest,103,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
228,228,0.5137254901960784,2024-01-25 19:52:02.933458,2024-01-25 19:52:36.069306,0 days 00:00:33.135848,True,absolute_error,0.015336200476488019,17,0.13984774207720976,68,0.06478747975092312,16,20,RandomForest,109,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
227,227,0.5137254901960784,2024-01-25 19:51:29.407410,2024-01-25 19:52:02.915039,0 days 00:00:33.507629,True,absolute_error,0.015204014101378432,36,0.12988565099548638,70,0.0668231055956053,16,20,RandomForest,108,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
255,255,0.5137254901960784,2024-01-25 20:06:37.597410,2024-01-25 20:07:09.527282,0 days 00:00:31.929872,True,absolute_error,0.012721522210027446,17,0.13773027135979687,68,0.06378946674447293,17,20,RandomForest,103,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
254,254,0.5137254901960784,2024-01-25 20:06:05.862589,2024-01-25 20:06:37.579238,0 days 00:00:31.716649,True,absolute_error,0.012375602152985018,16,0.14747291435311025,66,0.06629660823681516,18,20,RandomForest,106,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
243,243,0.5137254901960784,2024-01-25 20:00:13.450803,2024-01-25 20:00:46.204667,0 days 00:00:32.753864,True,absolute_error,0.01315911025427881,17,0.1352309575862892,68,0.06528186022511237,17,20,RandomForest,108,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
252,252,0.5137254901960784,2024-01-25 20:05:01.750999,2024-01-25 20:05:33.807164,0 days 00:00:32.056165,True,absolute_error,0.012437797811460774,17,0.14443043741920195,67,0.06674823806939495,18,20,RandomForest,106,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
251,251,0.5137254901960784,2024-01-25 20:04:30.396859,2024-01-25 20:05:01.731838,0 days 00:00:31.334979,True,absolute_error,0.012191766600071118,18,0.1497845620328569,66,0.06631074280227871,18,20,RandomForest,105,False,False,COMPLETE,"[0.5, 0.5, 0.5, 0.5, 0.5686274509803921]","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
