,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
420,420,0.6343779178338003,2024-02-17 22:45:39.700338,2024-02-17 22:45:45.530921,0 days 00:00:05.830583,True,absolute_error,0.010293913795454763,21,0.5252794760844426,62,0.01569132833005786,11,17,RandomForest,12,False,False,COMPLETE,"[0.6359126984126984, 0.5619047619047619, 0.6680672268907564, 0.6716269841269842]","[0.0075328  0.         0.04389937 0.00789688 0.06140301 0.01978003
 0.01021993 0.         0.         0.03207737 0.00332542 0.
 0.01772648 0.         0.00924284 0.03292392 0.01271647 0.02617823
 0.01702824 0.01067126 0.0101374  0.         0.         0.01196723
 0.0101028  0.00642635 0.         0.         0.02557796 0.00807391
 0.         0.02891812 0.01008449 0.00621208 0.02740028 0.
 0.14506543 0.09125783 0.00571649 0.00681751 0.01385659 0.01456425
 0.01599596 0.         0.         0.00821987 0.02317764 0.02470483
 0.1364149  0.00236262 0.02505174 0.00407241 0.02519904 0.        ]"
285,285,0.6261420401493931,2024-02-17 22:34:28.468222,2024-02-17 22:34:31.218626,0 days 00:00:02.750404,True,absolute_error,0.01507762141348437,10,0.33903190197387767,48,0.003615270605059471,19,13,RandomForest,11,False,False,COMPLETE,"[0.5843253968253969, 0.5514285714285715, 0.7279411764705882, 0.640873015873016]","[0.0049829  0.00650959 0.02832526 0.         0.10904695 0.012956
 0.01354401 0.00141744 0.00616265 0.04025255 0.         0.00429516
 0.03110474 0.01326447 0.         0.00548657 0.00884154 0.02994217
 0.         0.         0.         0.00864614 0.         0.
 0.         0.         0.01615846 0.         0.02097176 0.
 0.         0.01547069 0.         0.02639823 0.01043524 0.
 0.10051804 0.13163099 0.         0.         0.0063215  0.
 0.         0.00832268 0.01790169 0.00815944 0.01488133 0.
 0.23592593 0.01986844 0.03043707 0.00312952 0.00869085 0.        ]"
93,93,0.6165166900093371,2024-02-17 22:18:27.502331,2024-02-17 22:18:30.932667,0 days 00:00:03.430336,True,absolute_error,0.015735481150693537,19,0.3898805829025915,70,0.014983244080447097,19,14,RandomForest,12,False,False,COMPLETE,"[0.7410714285714285, 0.5104761904761905, 0.6827731092436975, 0.5317460317460317]","[0.         0.00466387 0.04678321 0.         0.08288791 0.00788397
 0.00783766 0.         0.02334514 0.01539971 0.         0.01313243
 0.         0.         0.01233935 0.03047766 0.         0.
 0.00378838 0.02777778 0.         0.         0.         0.00825472
 0.         0.         0.0050911  0.         0.02131943 0.0561752
 0.00702047 0.00916732 0.01142757 0.00695764 0.03832836 0.
 0.18257297 0.08627177 0.02083333 0.00897777 0.         0.
 0.         0.         0.         0.         0.         0.0096884
 0.20640982 0.01522547 0.00940576 0.00566623 0.01488961 0.        ]"
251,251,0.615794817927171,2024-02-17 22:31:35.810150,2024-02-17 22:31:39.637029,0 days 00:00:03.826879,True,absolute_error,0.00859178526765502,6,0.04617749076528729,64,0.009767887465887852,20,14,RandomForest,16,False,False,COMPLETE,"[0.6587301587301588, 0.5923809523809523, 0.5672268907563025, 0.6448412698412699]","[0.         0.02286104 0.06651363 0.         0.         0.
 0.00814059 0.02253505 0.         0.00725065 0.0439384  0.00716385
 0.         0.         0.         0.01627908 0.04140491 0.01324665
 0.00963167 0.         0.07097485 0.05900342 0.01466731 0.02422009
 0.         0.02219462 0.         0.00959336 0.         0.03424048
 0.         0.01666667 0.0045174  0.         0.04536106 0.02491919
 0.19049309 0.01009705 0.04405085 0.         0.         0.
 0.         0.         0.0119379  0.00714688 0.         0.01574654
 0.05433112 0.00503259 0.00963626 0.0240862  0.00660425 0.03551332]"
457,457,0.6083841036414566,2024-02-17 22:49:24.046787,2024-02-17 22:49:29.240241,0 days 00:00:05.193454,True,absolute_error,0.007117184995439103,25,0.6534254744504104,66,0.01432931944147306,12,15,RandomForest,12,False,False,COMPLETE,"[0.5863095238095238, 0.4228571428571428, 0.745798319327731, 0.6785714285714286]","[0.00281606 0.         0.06779114 0.0055338  0.08614923 0.00327493
 0.         0.         0.         0.046003   0.         0.0053431
 0.         0.00939122 0.01920941 0.00964126 0.         0.0450075
 0.         0.01902215 0.025      0.         0.0069364  0.00554452
 0.00881635 0.01268122 0.00520042 0.00504843 0.04138747 0.01406223
 0.         0.01439355 0.         0.0072269  0.05073324 0.0071554
 0.07652192 0.07475006 0.0050859  0.         0.0085586  0.00264466
 0.00878753 0.         0.01047311 0.01211672 0.01734848 0.02682508
 0.17732247 0.01308907 0.01238569 0.00385774 0.02686404 0.        ]"
360,360,0.6009249533146592,2024-02-17 22:40:41.609803,2024-02-17 22:40:45.383916,0 days 00:00:03.774113,True,absolute_error,0.00811372291196596,26,0.3211905434637004,57,0.02954428550774363,15,18,RandomForest,11,False,False,COMPLETE,"[0.5158730158730159, 0.5142857142857142, 0.7237394957983193, 0.6498015873015873]","[0.         0.         0.04281164 0.         0.09030071 0.
 0.         0.0158125  0.         0.04702308 0.         0.
 0.         0.         0.         0.03291411 0.00920308 0.02469779
 0.         0.02047984 0.         0.04279258 0.01971378 0.
 0.         0.         0.01311445 0.         0.00797825 0.
 0.         0.02777778 0.         0.         0.04730193 0.
 0.10208345 0.1017746  0.01805348 0.         0.01274004 0.
 0.01077016 0.         0.         0.         0.00831083 0.02777778
 0.20839278 0.01001498 0.03125    0.         0.02691039 0.        ]"
197,197,0.5993644957983193,2024-02-17 22:26:52.891146,2024-02-17 22:26:59.394620,0 days 00:00:06.503474,True,absolute_error,0.005471002982442581,25,0.33929453627312783,47,0.026691963620269037,16,19,RandomForest,11,False,False,COMPLETE,"[0.5833333333333334, 0.46380952380952384, 0.6628151260504203, 0.6875]","[0.         0.         0.04147602 0.         0.07625027 0.0110221
 0.00636683 0.         0.         0.04180787 0.         0.
 0.         0.         0.         0.03702688 0.02724814 0.
 0.         0.01773432 0.00686791 0.         0.02777778 0.
 0.         0.         0.00517864 0.         0.00484979 0.
 0.00756357 0.025      0.         0.01614787 0.02992819 0.
 0.1135374  0.08807866 0.         0.         0.         0.01751429
 0.00810247 0.0127388  0.         0.         0.0503804  0.0474099
 0.21041347 0.         0.0350565  0.         0.03452195 0.        ]"
106,106,0.5989787581699347,2024-02-17 22:19:23.056975,2024-02-17 22:19:28.256296,0 days 00:00:05.199321,True,absolute_error,0.01715881613944539,9,0.3871543831195634,56,0.04052183396217836,13,10,RandomForest,10,False,False,COMPLETE,"[0.6517857142857143, 0.4476190476190477, 0.6586134453781513, 0.6378968253968255]","[0.         0.         0.04101188 0.         0.11171578 0.01448674
 0.01454492 0.         0.         0.03138246 0.         0.
 0.02777778 0.         0.02749283 0.03619155 0.         0.
 0.         0.02777778 0.         0.01171876 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.01577728 0.         0.00971581 0.         0.00839581
 0.14690932 0.1399935  0.         0.         0.0098988  0.
 0.         0.         0.01323286 0.         0.         0.06454367
 0.19213991 0.         0.03778834 0.         0.01750423 0.        ]"
471,471,0.5939122315592904,2024-02-17 22:50:43.128041,2024-02-17 22:50:47.819380,0 days 00:00:04.691339,True,absolute_error,0.00801388479911617,14,0.5379528834547396,74,0.006509904434637859,8,13,RandomForest,11,False,False,COMPLETE,"[0.44047619047619047, 0.5390476190476191, 0.7373949579831933, 0.6587301587301587]","[0.00861995 0.00270816 0.03995247 0.01818298 0.06379773 0.03441971
 0.03472318 0.         0.01097711 0.02143149 0.         0.
 0.01828561 0.01229716 0.00552652 0.01582878 0.00277576 0.02011162
 0.02544315 0.         0.02818273 0.00618157 0.0048817  0.00562986
 0.00559288 0.00573133 0.009968   0.02068249 0.01940982 0.00249142
 0.00149013 0.01193897 0.00693081 0.00463149 0.0524079  0.00419366
 0.11840826 0.06205156 0.         0.00890331 0.01682674 0.00157074
 0.00738588 0.01343967 0.01310812 0.         0.02731174 0.00914092
 0.12741964 0.01757276 0.03003076 0.         0.01836441 0.00303937]"
421,421,0.5927766106442577,2024-02-17 22:45:45.549905,2024-02-17 22:45:50.927401,0 days 00:00:05.377496,True,absolute_error,0.007192483836237588,31,0.8226398112579852,55,0.040836209469284235,13,18,RandomForest,11,False,False,COMPLETE,"[0.5327380952380952, 0.5038095238095238, 0.736344537815126, 0.5982142857142857]","[0.         0.         0.06843034 0.         0.10658878 0.
 0.         0.         0.         0.02272727 0.         0.
 0.         0.         0.0267815  0.05555556 0.         0.06059439
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04135067 0.
 0.         0.02777778 0.         0.         0.03125    0.
 0.10028139 0.12564213 0.         0.         0.01855749 0.
 0.02777778 0.02777778 0.         0.         0.00905209 0.03125
 0.1690365  0.02777778 0.01255855 0.00923223 0.         0.        ]"
