,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
291,291,0.6075801915341655,2024-02-15 17:42:34.323458,2024-02-15 17:42:36.929702,0 days 00:00:02.606244,True,absolute_error,0.038322898553661326,41,0.3363872192033008,73,0.05829506158303373,20,2,RandomForest,23,False,False,COMPLETE,"[0.5253411306042886, 0.5142857142857142, 0.7190669371196754, 0.6716269841269841]","[0.         0.         0.         0.         0.08125    0.
 0.         0.         0.         0.05625    0.         0.
 0.         0.08333333 0.03125    0.         0.         0.08333333
 0.         0.         0.         0.         0.         0.
 0.         0.03125    0.         0.         0.         0.
 0.03125    0.         0.         0.         0.         0.
 0.03125    0.19791667 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10625    0.025      0.         0.         0.24166667 0.        ]"
263,263,0.593246730684611,2024-02-15 17:41:03.911687,2024-02-15 17:41:07.384957,0 days 00:00:03.473270,True,absolute_error,0.050451648547787574,44,0.1985532842664517,36,0.058136332228108344,13,2,RandomForest,45,False,False,COMPLETE,"[0.5925925925925926, 0.4771428571428571, 0.6217038539553753, 0.681547619047619]","[0.         0.         0.02083333 0.         0.0625     0.
 0.         0.         0.         0.02083333 0.         0.
 0.         0.         0.04166667 0.         0.04166667 0.02083333
 0.         0.         0.         0.         0.         0.
 0.02083333 0.         0.02083333 0.         0.         0.
 0.02083333 0.         0.         0.         0.08333333 0.
 0.02083333 0.02083333 0.         0.         0.         0.
 0.02083333 0.         0.02083333 0.         0.         0.
 0.16666667 0.0625     0.         0.         0.33333333 0.        ]"
131,131,0.5908556377279688,2024-02-15 17:33:49.257011,2024-02-15 17:33:53.370385,0 days 00:00:04.113374,True,absolute_error,0.06858407158747837,14,0.6209379482117592,80,0.061153738190914,18,2,RandomForest,77,False,False,COMPLETE,"[0.5623781676413254, 0.4904761904761905, 0.5933062880324543, 0.7172619047619048]","[0.01388889 0.         0.00862069 0.         0.02250958 0.
 0.04545455 0.00862069 0.         0.02250958 0.02272727 0.
 0.         0.02272727 0.02777778 0.00862069 0.01388889 0.07272727
 0.         0.         0.01998616 0.         0.         0.
 0.         0.01388889 0.0363618  0.         0.00862069 0.00862069
 0.         0.         0.         0.         0.03888889 0.
 0.05555556 0.06439394 0.         0.         0.         0.
 0.01388889 0.         0.         0.         0.01388889 0.
 0.22368513 0.04858934 0.01724138 0.         0.14631661 0.        ]"
184,184,0.5898592078997359,2024-02-15 17:36:51.627339,2024-02-15 17:36:54.797461,0 days 00:00:03.170122,True,absolute_error,0.05317756590028079,44,0.2971306720574349,43,0.06397911083362967,15,3,RandomForest,43,False,False,COMPLETE,"[0.5409356725146199, 0.48380952380952386, 0.6531440162271805, 0.681547619047619]","[0.         0.         0.         0.         0.04545455 0.
 0.         0.         0.         0.02272727 0.         0.
 0.         0.         0.         0.         0.02272727 0.125
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.02272727 0.         0.         0.
 0.02272727 0.         0.         0.         0.         0.
 0.06818182 0.04545455 0.         0.         0.         0.
 0.02272727 0.         0.         0.         0.         0.
 0.23863636 0.04545455 0.04545455 0.         0.25       0.        ]"
169,169,0.587247793602216,2024-02-15 17:36:02.350570,2024-02-15 17:36:05.301793,0 days 00:00:02.951223,True,absolute_error,0.05231744612227599,41,0.28438187500955153,53,0.05391473700061901,17,2,RandomForest,24,False,False,COMPLETE,"[0.5779727095516569, 0.5, 0.5993914807302231, 0.6716269841269841]","[0.         0.         0.         0.         0.06944444 0.
 0.         0.         0.         0.04166667 0.         0.02777778
 0.         0.08333333 0.         0.         0.         0.08333333
 0.         0.         0.         0.         0.         0.
 0.         0.02777778 0.04166667 0.         0.         0.
 0.02777778 0.         0.         0.         0.         0.
 0.11111111 0.11111111 0.         0.         0.         0.
 0.         0.         0.05555556 0.         0.         0.
 0.11111111 0.04166667 0.         0.         0.16666667 0.        ]"
53,53,0.5852869796335554,2024-02-15 17:29:27.160550,2024-02-15 17:29:30.919905,0 days 00:00:03.759355,True,absolute_error,0.039018441918006935,8,0.6838314820327628,86,0.05325839046199084,15,2,RandomForest,49,False,False,COMPLETE,"[0.5458089668615984, 0.48952380952380947, 0.6937119675456389, 0.6121031746031746]","[0.         0.         0.         0.         0.03113553 0.01190476
 0.         0.01923077 0.         0.03113553 0.         0.04166667
 0.         0.         0.         0.01923077 0.         0.025
 0.01190476 0.04166667 0.02380952 0.         0.         0.
 0.01190476 0.01190476 0.01923077 0.         0.         0.
 0.         0.         0.         0.         0.         0.025
 0.07261905 0.08571429 0.         0.         0.         0.
 0.03113553 0.         0.         0.         0.04166667 0.
 0.18644689 0.08012821 0.01923077 0.         0.15833333 0.        ]"
190,190,0.5848396935402514,2024-02-15 17:37:09.418307,2024-02-15 17:37:12.301589,0 days 00:00:02.883282,True,absolute_error,0.061865134065591916,45,0.28665140151237695,36,0.06547181516154472,14,5,RandomForest,41,False,False,COMPLETE,"[0.40740740740740744, 0.5123809523809524, 0.678498985801217, 0.7410714285714287]","[0.         0.         0.         0.         0.06666667 0.
 0.         0.         0.         0.025      0.         0.05
 0.         0.         0.04166667 0.         0.         0.07083333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.         0.         0.         0.         0.14583333 0.
 0.125      0.09166667 0.02083333 0.         0.         0.
 0.         0.         0.02083333 0.         0.         0.
 0.17083333 0.05       0.025      0.         0.07083333 0.        ]"
189,189,0.5848011707203551,2024-02-15 17:37:06.507168,2024-02-15 17:37:09.399711,0 days 00:00:02.892543,True,absolute_error,0.06016290082277592,44,0.27745660292006724,35,0.06421870596526418,15,5,RandomForest,49,False,False,COMPLETE,"[0.41325536062378165, 0.5542857142857143, 0.665314401622718, 0.7063492063492064]","[0.         0.         0.         0.         0.02083333 0.
 0.         0.02272727 0.         0.02272727 0.         0.
 0.         0.         0.         0.         0.04166667 0.02777778
 0.         0.         0.         0.         0.         0.
 0.02777778 0.02083333 0.02272727 0.         0.         0.
 0.         0.         0.         0.         0.13888889 0.
 0.10606061 0.         0.02777778 0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.30808081 0.02272727 0.02272727 0.         0.125      0.        ]"
235,235,0.5797501878851964,2024-02-15 17:39:30.234130,2024-02-15 17:39:33.760957,0 days 00:00:03.526827,True,absolute_error,0.047763672663150715,40,0.3074435413908403,47,0.06920484259227352,10,2,RandomForest,41,False,False,COMPLETE,"[0.48830409356725146, 0.4990476190476191, 0.6501014198782961, 0.681547619047619]","[0.         0.         0.         0.         0.09821429 0.
 0.         0.         0.         0.03571429 0.         0.
 0.         0.         0.         0.         0.         0.25
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.1875     0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07142857 0.03571429 0.03571429 0.         0.25       0.        ]"
282,282,0.5775546889959856,2024-02-15 17:42:03.424140,2024-02-15 17:42:06.985205,0 days 00:00:03.561065,True,absolute_error,0.0343226149982035,12,0.2774851498143041,67,0.0679185978292035,19,3,RandomForest,42,False,False,COMPLETE,"[0.48830409356725146, 0.47809523809523813, 0.6622718052738337, 0.681547619047619]","[0.      0.      0.      0.      0.08125 0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.05    0.      0.      0.25
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.15    0.03125 0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.125   0.03125 0.03125 0.      0.25    0.     ]"
233,233,0.5764865521223613,2024-02-15 17:39:21.406741,2024-02-15 17:39:24.632695,0 days 00:00:03.225954,True,absolute_error,0.05288449881293104,41,0.23440411569635045,39,0.06883190042062706,10,2,RandomForest,45,False,False,COMPLETE,"[0.39181286549707606, 0.5104761904761905, 0.7221095334685598, 0.681547619047619]","[0.         0.         0.         0.         0.1547619  0.
 0.         0.         0.         0.03571429 0.         0.
 0.         0.         0.         0.         0.         0.05
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.2        0.
 0.16666667 0.03571429 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07142857 0.03571429 0.         0.         0.25       0.        ]"
204,204,0.5735956026391198,2024-02-15 17:37:51.543749,2024-02-15 17:37:54.242476,0 days 00:00:02.698727,True,absolute_error,0.06315679566652269,43,0.24404005195292539,38,0.0674847325484613,13,5,RandomForest,41,False,False,COMPLETE,"[0.39181286549707606, 0.5323809523809524, 0.6886409736308317, 0.681547619047619]","[0.         0.         0.03571429 0.         0.08177448 0.
 0.         0.         0.         0.03125    0.         0.
 0.         0.         0.         0.         0.03571429 0.05
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03125    0.         0.         0.
 0.         0.         0.         0.         0.2        0.
 0.07142857 0.03125    0.         0.         0.         0.
 0.         0.         0.         0.03571429 0.         0.
 0.11465409 0.         0.03125    0.         0.25       0.        ]"
23,23,0.5730438912810537,2024-02-15 17:27:39.079092,2024-02-15 17:27:43.089714,0 days 00:00:04.010622,True,absolute_error,0.05089563553146399,10,0.3733684354340415,72,0.062244290002211974,18,12,RandomForest,55,False,False,COMPLETE,"[0.40448343079922033, 0.5247619047619048, 0.6288032454361056, 0.7341269841269842]","[0.         0.         0.         0.         0.0485977  0.
 0.         0.01666667 0.         0.03939394 0.         0.
 0.         0.         0.02272727 0.         0.         0.175
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.05       0.         0.         0.
 0.         0.         0.         0.         0.05       0.
 0.10757576 0.06212121 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07412957 0.10606061 0.03333333 0.         0.19166667 0.        ]"
103,103,0.5720664271960044,2024-02-15 17:32:19.905462,2024-02-15 17:32:23.520282,0 days 00:00:03.614820,True,absolute_error,0.07133545032227434,19,0.6367943155364166,86,0.056276722263114906,16,18,RandomForest,65,False,False,COMPLETE,"[0.5604288499025342, 0.44952380952380955, 0.5699797160243407, 0.7083333333333334]","[0.0078125  0.0078125  0.015625   0.0078125  0.015625   0.0078125
 0.03125    0.0078125  0.         0.015625   0.03125    0.
 0.         0.015625   0.03125    0.0078125  0.00446581 0.04340278
 0.0078125  0.         0.0509723  0.         0.0078125  0.
 0.0078125  0.03559028 0.01586798 0.         0.0078125  0.015625
 0.         0.         0.         0.         0.         0.
 0.046875   0.04661486 0.         0.         0.         0.
 0.015625   0.015625   0.015625   0.01897169 0.015625   0.0078125
 0.09401014 0.13368056 0.0234375  0.         0.16579861 0.        ]"
76,76,0.5699129952444781,2024-02-15 17:30:49.711558,2024-02-15 17:30:52.303552,0 days 00:00:02.591994,True,absolute_error,0.044299327988311925,11,0.6319755148753599,84,0.05362110276930975,18,19,RandomForest,10,False,False,COMPLETE,"[0.571150097465887, 0.42095238095238097, 0.8113590263691685, 0.47619047619047616]","[0.         0.         0.05       0.         0.08571429 0.
 0.25       0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.03571429 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11904762 0.11904762 0.         0.         0.02160698 0.
 0.         0.         0.03571429 0.         0.         0.
 0.14982159 0.         0.         0.         0.08333333 0.        ]"
221,221,0.5684999781824406,2024-02-15 17:38:45.515265,2024-02-15 17:38:48.499231,0 days 00:00:02.983966,True,absolute_error,0.05721030197937068,45,0.2448247973159773,36,0.06695343838408853,13,5,RandomForest,44,False,False,COMPLETE,"[0.39181286549707606, 0.5495238095238095, 0.6511156186612576, 0.681547619047619]","[0.         0.         0.         0.         0.08571429 0.
 0.         0.         0.         0.03571429 0.         0.
 0.         0.         0.05       0.         0.         0.05
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.         0.         0.         0.2        0.
 0.15       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10714286 0.         0.03571429 0.         0.25       0.        ]"
174,174,0.5680607900046488,2024-02-15 17:36:17.442042,2024-02-15 17:36:20.320956,0 days 00:00:02.878914,True,absolute_error,0.05671288271476482,44,0.2849174320322203,56,0.05772187130329515,18,2,RandomForest,22,False,False,COMPLETE,"[0.5165692007797271, 0.44095238095238104, 0.6926977687626775, 0.6220238095238095]","[0.         0.         0.         0.         0.09821429 0.
 0.         0.         0.         0.0625     0.         0.
 0.         0.         0.         0.         0.         0.25
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03571429 0.         0.         0.         0.         0.
 0.03571429 0.03571429 0.         0.         0.         0.
 0.         0.         0.07142857 0.         0.         0.
 0.09821429 0.0625     0.         0.         0.25       0.        ]"
45,45,0.5677939856119902,2024-02-15 17:28:57.917719,2024-02-15 17:29:02.287799,0 days 00:00:04.370080,True,absolute_error,0.05373551012677489,12,0.23575699886853968,82,0.058232188525523094,19,6,RandomForest,74,False,False,COMPLETE,"[0.5194931773879142, 0.38857142857142857, 0.6825557809330629, 0.6805555555555556]","[0.01666667 0.         0.         0.         0.06904762 0.
 0.         0.01666667 0.         0.01666667 0.125      0.
 0.         0.         0.01666667 0.         0.06904762 0.03571429
 0.         0.         0.         0.         0.         0.
 0.01666667 0.         0.01666667 0.01666667 0.         0.
 0.         0.         0.         0.         0.05238095 0.
 0.05       0.03333333 0.         0.         0.         0.
 0.         0.         0.         0.         0.02513573 0.
 0.13571429 0.05       0.01666667 0.         0.22129284 0.        ]"
66,66,0.5670963020719479,2024-02-15 17:30:19.244443,2024-02-15 17:30:21.888173,0 days 00:00:02.643730,True,absolute_error,0.05057335972313401,14,0.7286096175618666,71,0.05931830868579827,5,7,RandomForest,26,False,False,COMPLETE,"[0.5877192982456141, 0.4790476190476191, 0.6014198782961461, 0.6001984126984127]","[0.         0.         0.05277778 0.         0.07777778 0.
 0.025      0.         0.         0.05277778 0.         0.
 0.         0.025      0.02777778 0.05       0.         0.
 0.02777778 0.025      0.01234709 0.         0.         0.
 0.         0.         0.01265291 0.         0.         0.
 0.         0.         0.         0.         0.025      0.
 0.05555556 0.075      0.         0.         0.         0.
 0.         0.         0.02777778 0.         0.         0.
 0.15       0.075      0.         0.         0.20277778 0.        ]"
203,203,0.5658128343593941,2024-02-15 17:37:48.051176,2024-02-15 17:37:51.524156,0 days 00:00:03.472980,True,absolute_error,0.02650332390912041,43,0.2455368133184666,38,0.06758931658292588,13,5,RandomForest,46,False,False,COMPLETE,"[0.39181286549707606, 0.5276190476190475, 0.6622718052738337, 0.681547619047619]","[0.      0.      0.      0.      0.1125  0.      0.      0.      0.
 0.03125 0.      0.      0.      0.      0.05    0.      0.      0.05
 0.      0.      0.      0.      0.      0.      0.      0.      0.03125
 0.      0.      0.      0.      0.      0.      0.      0.2     0.
 0.15    0.03125 0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.0625  0.      0.03125 0.      0.25    0.     ]"
