,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
253,253,0.5455975327113771,2024-01-25 16:59:45.945611,2024-01-25 16:59:54.645925,0 days 00:00:08.700314,True,absolute_error,0.024736315570822592,4,0.8542056052353937,98,0.09029114372302394,15,12,RandomForest,168,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.49498327759197325, 0.649671052631579]","[0.         0.         0.         0.         0.01818182 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.51515152 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03333333
 0.         0.         0.         0.         0.         0.        ]"
149,149,0.5400054274482191,2024-01-25 16:46:37.816127,2024-01-25 16:46:46.212375,0 days 00:00:08.396248,True,absolute_error,0.02884022993763352,2,0.9338217605351511,91,0.08942325274751778,15,15,RandomForest,161,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.49498327759197325, 0.6217105263157895]","[0.         0.         0.         0.         0.04166667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.48333333 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.05
 0.         0.         0.         0.         0.         0.        ]"
109,109,0.5382616763480608,2024-01-25 16:42:07.549682,2024-01-25 16:42:14.254011,0 days 00:00:06.704329,True,absolute_error,0.03065792324540753,3,0.7853373540436854,91,0.09047437288359152,13,8,RandomForest,112,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4648829431438127, 0.643092105263158]","[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.04 0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.52 0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.04 0.   0.   0.   0.   0.   0.  ]"
168,168,0.5370394003403157,2024-01-25 16:49:24.015802,2024-01-25 16:49:33.670879,0 days 00:00:09.655077,True,absolute_error,0.01915325648154784,2,0.9476247598376683,80,0.09117378315266826,13,15,RandomForest,176,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4933110367892977, 0.6085526315789473]","[0.         0.         0.         0.         0.04318182 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01818182
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.46363636 0.         0.025      0.         0.
 0.         0.         0.         0.         0.         0.025
 0.         0.         0.         0.         0.         0.        ]"
167,167,0.5370394003403157,2024-01-25 16:49:14.782634,2024-01-25 16:49:23.998503,0 days 00:00:09.215869,True,absolute_error,0.02405211115200053,2,0.9449764012677411,83,0.0902092143174918,13,15,RandomForest,176,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4933110367892977, 0.6085526315789473]","[0.         0.         0.         0.         0.04166667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01666667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.46666667 0.         0.025      0.         0.
 0.         0.         0.         0.         0.         0.025
 0.         0.         0.         0.         0.         0.        ]"
273,273,0.5366681230668644,2024-01-25 17:02:19.646086,2024-01-25 17:02:27.774892,0 days 00:00:08.128806,True,absolute_error,0.032374920121642406,3,0.8742662488318281,87,0.08563129069051789,15,15,RandomForest,163,False,False,COMPLETE,"[0.5952380952380952, 0.5833333333333333, 0.5, 0.4899665551839465, 0.5148026315789473]","[0.         0.         0.         0.         0.25454545 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01818182 0.         0.         0.01176471
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01818182 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.46096257 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03636364
 0.         0.         0.         0.         0.         0.        ]"
161,161,0.5366169395059556,2024-01-25 16:48:23.793245,2024-01-25 16:48:32.438978,0 days 00:00:08.645733,True,absolute_error,0.03145370384185069,6,0.8631428069449029,97,0.09042044203147238,14,14,RandomForest,168,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4648829431438127, 0.6348684210526316]","[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.05 0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.05 0.   0.   0.   0.   0.   0.  ]"
281,281,0.5361020653640791,2024-01-25 17:03:29.955127,2024-01-25 17:03:38.608178,0 days 00:00:08.653051,True,absolute_error,0.03480586210966357,3,0.903925221362861,83,0.08943522217092609,13,15,RandomForest,190,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.5083612040133779, 0.5888157894736843]","[0.         0.         0.         0.         0.02222222 0.
 0.         0.         0.         0.         0.         0.
 0.02       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02222222 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02222222 0.44666667 0.         0.02222222 0.         0.
 0.         0.         0.         0.         0.         0.04444444
 0.         0.         0.         0.         0.         0.        ]"
212,212,0.5359590447691135,2024-01-25 16:54:46.933036,2024-01-25 16:54:55.601852,0 days 00:00:08.668816,True,absolute_error,0.03561859657846829,2,0.8832967356257913,97,0.0900106905187874,14,12,RandomForest,170,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4648829431438127, 0.631578947368421]","[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.04 0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.52 0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.04 0.   0.   0.   0.   0.   0.  ]"
151,151,0.5346432552954292,2024-01-25 16:46:57.194973,2024-01-25 16:47:05.621262,0 days 00:00:08.426289,True,absolute_error,0.030556578757877234,4,0.8835281005836014,35,0.08935504649371877,14,15,RandomForest,162,False,False,COMPLETE,"[0.5, 0.5833333333333333, 0.5, 0.4648829431438127, 0.625]","[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.04 0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.52 0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.04 0.   0.   0.   0.   0.   0.  ]"
