,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
546,,246,0.6402075320512821,2024-01-26 13:32:21.142469,2024-01-26 13:32:24.999872,0 days 00:00:03.857403,True,absolute_error,0.006591393004546298,4,0.0259931318402487,75,0.00965939909779499,17,13,RandomForest,20,False,False,COMPLETE,,
0,246.0,246,0.6402075320512821,2024-01-26 13:32:21.142469,2024-01-26 13:32:24.999872,0 days 00:00:03.857403,True,absolute_error,0.0065913930045462,4,0.0259931318402487,75,0.0096593990977949,17,13,RandomForest,20,False,False,COMPLETE,"[0.5552884615384617, 0.5244444444444445, 0.7690972222222222, 0.712]","[0.         0.09327384 0.00505474 0.         0.         0.
 0.         0.         0.02272727 0.         0.07272727 0.
 0.         0.         0.         0.         0.08522727 0.
 0.05597591 0.         0.10030905 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05397727 0.         0.10397727 0.
 0.20498314 0.03700156 0.         0.         0.         0.
 0.         0.         0.01070343 0.         0.         0.
 0.0813347  0.         0.         0.07272727 0.         0.        ]"
918,,618,0.6332371794871794,2024-01-27 19:44:26.165330,2024-01-27 19:44:29.027132,0 days 00:00:02.861802,True,absolute_error,0.017453325054821337,18,0.28100957732342885,95,0.05040526096193086,19,11,RandomForest,20,False,False,COMPLETE,"[0.7596153846153846, 0.6133333333333333, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
823,,523,0.6332371794871794,2024-01-27 19:39:02.189942,2024-01-27 19:39:05.098162,0 days 00:00:02.908220,True,absolute_error,0.020488724641572083,28,0.348440424400447,80,0.050060649080167025,19,10,RandomForest,21,False,False,COMPLETE,"[0.7596153846153846, 0.6133333333333333, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
898,,598,0.6332371794871794,2024-01-27 19:43:25.845391,2024-01-27 19:43:28.786282,0 days 00:00:02.940891,True,absolute_error,0.02142836853209227,17,0.2931426794046818,85,0.04915609869865958,20,8,RandomForest,21,False,False,COMPLETE,"[0.7596153846153846, 0.6133333333333333, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
809,,509,0.6332371794871794,2024-01-27 19:38:15.563738,2024-01-27 19:38:18.811386,0 days 00:00:03.247648,True,absolute_error,0.018299983325357174,27,0.33421859945829474,81,0.04867824551982136,20,11,RandomForest,21,False,False,COMPLETE,"[0.7596153846153846, 0.6133333333333333, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
924,,624,0.6332371794871794,2024-01-27 19:44:44.751791,2024-01-27 19:44:47.722673,0 days 00:00:02.970882,True,absolute_error,0.015367062214299032,18,0.3137858481033725,94,0.048763243414239967,20,11,RandomForest,16,False,False,COMPLETE,"[0.7596153846153846, 0.6133333333333333, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
712,,412,0.6321260683760683,2024-01-27 19:31:43.181567,2024-01-27 19:31:45.917524,0 days 00:00:02.735957,True,absolute_error,0.01666293740938337,12,0.31761826223338696,81,0.050664392668058444,14,8,RandomForest,16,False,False,COMPLETE,"[0.7596153846153846, 0.6088888888888888, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
775,,475,0.6321260683760683,2024-01-27 19:36:25.299203,2024-01-27 19:36:28.479831,0 days 00:00:03.180628,True,absolute_error,0.009208863141894895,24,0.2797696405843011,85,0.05034198445796169,18,10,RandomForest,20,False,False,COMPLETE,"[0.7596153846153846, 0.6088888888888888, 0.5, 0.6599999999999999]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
772,,472,0.6297222222222222,2024-01-27 19:36:15.652858,2024-01-27 19:36:18.827434,0 days 00:00:03.174576,True,absolute_error,0.008232907361886652,24,0.3135953987288995,79,0.05024600079447275,17,10,RandomForest,17,False,False,COMPLETE,"[0.75, 0.6088888888888888, 0.5, 0.6599999999999999]","[0.    0.    0.    0.    0.    0.    0.25  0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.125
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.375 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.   ]"
