,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
139,139,0.6613222502805837,2024-01-25 11:19:36.523015,2024-01-25 11:19:47.330412,0 days 00:00:10.807397,True,absolute_error,0.01970389887193569,48,0.04758847836940569,90,0.044341016718151424,6,14,RandomForest,200,False,False,COMPLETE,,
109,109,0.6516063411896745,2024-01-25 11:06:06.427808,2024-01-25 11:06:16.218412,0 days 00:00:09.790604,True,absolute_error,0.024120136181538444,44,0.04822822903960016,100,0.045572745527774454,6,15,RandomForest,174,False,False,COMPLETE,,
110,110,0.6516063411896745,2024-01-25 11:06:16.237594,2024-01-25 11:06:26.018032,0 days 00:00:09.780438,True,absolute_error,0.027194012049873338,48,0.050187133048790494,100,0.045436268420447366,6,15,RandomForest,176,False,False,COMPLETE,,
473,473,0.6506264029180695,2024-01-25 18:15:41.014729,2024-01-25 18:15:51.165238,0 days 00:00:10.150509,True,absolute_error,0.06985834271839729,48,0.027883739605717557,96,0.04474869006569761,5,16,RandomForest,189,False,False,COMPLETE,"[0.721875, 0.6000000000000001, 0.6704545454545453, 0.6358024691358024, 0.625]","[0.         0.13333333 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.15       0.
 0.         0.         0.         0.         0.         0.
 0.4        0.         0.         0.         0.         0.
 0.         0.1        0.         0.1        0.         0.
 0.         0.05       0.06666667 0.         0.         0.        ]"
578,578,0.6500017035433702,2024-01-25 18:48:39.888960,2024-01-25 18:49:52.844508,0 days 00:01:12.955548,True,absolute_error,0.004687015802860009,43,0.02726741329376677,100,0.03719751025028973,6,14,RandomForest,200,False,False,COMPLETE,"[0.721875, 0.6428571428571429, 0.5284090909090909, 0.7006172839506173, 0.65625]","[0.         0.09166667 0.         0.         0.         0.
 0.         0.025      0.         0.         0.0432358  0.
 0.         0.         0.         0.025      0.         0.
 0.025      0.04       0.         0.         0.01427993 0.02857143
 0.         0.         0.         0.         0.16571429 0.
 0.         0.         0.         0.         0.         0.
 0.29438325 0.         0.         0.         0.02857143 0.
 0.         0.05714286 0.         0.06857143 0.         0.
 0.         0.02857143 0.025      0.0392915  0.         0.        ]"
335,335,0.6499180295013628,2024-01-25 17:17:09.444020,2024-01-25 17:17:19.636921,0 days 00:00:10.192901,True,absolute_error,0.01962890923313744,45,0.04977535459969514,89,0.03566723385084278,5,14,RandomForest,183,False,False,COMPLETE,"[0.746875, 0.6642857142857143, 0.46022727272727276, 0.7438271604938271, 0.634375]","[0.         0.07123832 0.         0.01176471 0.0053979  0.
 0.00881864 0.02352941 0.01176471 0.         0.02746667 0.
 0.         0.00687812 0.02994652 0.02109411 0.         0.
 0.03313611 0.01818182 0.         0.         0.00393339 0.
 0.00936318 0.         0.04379158 0.         0.10508159 0.
 0.03868059 0.03151515 0.         0.         0.01538462 0.
 0.18284284 0.         0.         0.         0.         0.03636364
 0.         0.04484848 0.01176471 0.08781274 0.01781992 0.
 0.01818182 0.04410256 0.02352941 0.01576675 0.         0.        ]"
498,498,0.6486049983966652,2024-01-25 18:20:44.458168,2024-01-25 18:20:54.443073,0 days 00:00:09.984905,True,absolute_error,0.07543593480958796,43,0.05010238755400951,23,0.036765056656436854,5,16,RandomForest,184,False,False,COMPLETE,"[0.728125, 0.6785714285714285, 0.4090909090909091, 0.8209876543209877, 0.60625]","[0.         0.06188117 0.         0.0125     0.         0.00933066
 0.         0.02583333 0.0125     0.         0.03017007 0.
 0.         0.00732764 0.0325     0.02353237 0.         0.
 0.03387404 0.02       0.         0.         0.         0.01333333
 0.02       0.         0.02649946 0.         0.13369964 0.
 0.04666667 0.03333333 0.         0.         0.01818182 0.
 0.18450045 0.         0.         0.         0.         0.04
 0.         0.02666667 0.0125     0.09983808 0.01964945 0.
 0.         0.01818182 0.025      0.0125     0.         0.        ]"
217,217,0.6481972502805836,2024-01-25 11:41:42.722319,2024-01-25 11:41:53.377512,0 days 00:00:10.655193,True,absolute_error,0.020209211191399772,47,0.04833899562646932,93,0.045771732595354435,6,15,RandomForest,183,False,False,COMPLETE,,
321,321,0.6481972502805836,2024-01-25 17:12:06.239616,2024-01-25 17:12:15.859842,0 days 00:00:09.620226,True,absolute_error,0.025798981546729414,48,0.05464376413049493,92,0.044646081052589506,6,14,RandomForest,174,False,False,COMPLETE,"[0.6343749999999999, 0.6000000000000001, 0.6221590909090909, 0.7438271604938271, 0.640625]","[0.         0.11666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.16666667 0.
 0.         0.05       0.         0.         0.         0.
 0.43333333 0.         0.         0.         0.         0.
 0.         0.05       0.         0.06666667 0.         0.
 0.         0.05       0.06666667 0.         0.         0.        ]"
231,231,0.6481972502805836,2024-01-25 11:44:48.493903,2024-01-25 11:44:59.135041,0 days 00:00:10.641138,True,absolute_error,0.019392398535034275,47,0.041205518661340756,92,0.04624266388344247,6,15,RandomForest,183,False,False,COMPLETE,,
