,features,importances
0,wSMI_1_mean,0.011415930830920164
1,wSMI_1_std,0.042334063982540665
2,wSMI_2_mean,0.009085596737203019
3,wSMI_2_std,0.0
4,wSMI_4_mean,0.018815978840447452
5,wSMI_4_std,0.01681585141878164
6,wSMI_8_mean,0.020289605717258977
7,wSMI_8_std,0.016746350051381885
8,p_e_1_mean,0.01424082716219798
9,p_e_1_std,0.02422639657748648
10,p_e_2_mean,0.006361262194301308
11,p_e_2_std,0.015794094133769327
12,p_e_4_mean,0.016071343523574193
13,p_e_4_std,0.005287811916701447
14,p_e_8_mean,0.0019616181297639258
15,p_e_8_std,0.012274562652430182
16,k_mean,0.010649313799638151
17,k_std,0.03907942144453684
18,se_mean,0.006989853750071373
19,se_std,0.034582971279803656
20,msf_mean,0.0041293885160678225
21,msf_std,0.03293187579149253
22,sef90_mean,0.015612286974056169
23,sef90_std,0.046774208643319784
24,sef95_mean,0.006816998752104578
25,sef95_std,0.02135541186217644
26,b_mean,0.006316321998707329
27,b_std,0.010947661608491591
28,b_n_mean,0.015363110589021567
29,b_n_std,0.01153890134917791
30,g_mean,0.016000431089247917
31,g_std,0.009086137348399921
32,g_n_mean,0.020171356880018646
33,g_n_std,0.02885153861192858
34,t_mean,0.009036529109379762
35,t_std,0.01187255714607345
36,t_n_mean,0.014474252383122221
37,t_n_std,0.008827200181053454
38,d_mean,0.011422269273269798
39,d_std,0.0191252009384352
40,d_n_mean,0.02807811838610636
41,d_n_std,0.009587478611615054
42,a_n_mean,0.03280214145162898
43,a_n_std,0.008364352465694851
44,a_mean,0.025344955572655092
45,a_std,0.01961983259028325
46,CNV_mean,0.028138900299019942
47,CNV_std,0.029668585980419483
48,P1_mean,0.023839143672271208
49,P1_std,0.023658203480343445
50,P3a_mean,0.0412275757839677
51,P3a_std,0.0363935750731479
52,P3b_mean,0.02823886536516041
53,P3b_std,0.02136177807933292
