,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
689,689,0.5989364193194563,2024-01-11 11:33:31.755814,2024-01-11 11:33:33.141394,0 days 00:00:01.385580,True,absolute_error,0.021249053559207032,15,0.1588567143876168,51,0.04192978344331681,20,12,RandomForest,14,False,False,COMPLETE,"[0.596124031007752, 0.6017488076311606]","[0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.4
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0. ]"
842,842,0.5966580807894077,2024-01-11 11:38:07.297609,2024-01-11 11:38:08.565519,0 days 00:00:01.267910,True,friedman_mse,0.03632263151855365,35,0.14198306660712745,91,0.06280295811553988,19,10,RandomForest,15,False,False,COMPLETE,"[0.5669250645994832, 0.6263910969793323]","[0.06666667 0.         0.         0.         0.         0.06666667
 0.06666667 0.         0.         0.06666667 0.02240812 0.
 0.         0.         0.         0.         0.         0.26666667
 0.         0.         0.         0.         0.         0.2
 0.         0.         0.         0.         0.0371375  0.
 0.         0.06666667 0.         0.         0.         0.04425854
 0.         0.06666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.02952917 0.
 0.         0.         0.         0.         0.         0.        ]"
997,997,0.5946401942297975,2024-01-11 11:42:16.281207,2024-01-11 11:42:17.905757,0 days 00:00:01.624550,True,friedman_mse,0.012760535803847315,34,0.13074800577338658,88,0.027214795833311517,19,11,RandomForest,14,False,False,COMPLETE,"[0.5589147286821705, 0.6303656597774245]","[0.07142857 0.         0.         0.         0.         0.
 0.07142857 0.         0.         0.07142857 0.02425711 0.
 0.         0.         0.         0.         0.         0.28571429
 0.         0.         0.         0.         0.         0.21428571
 0.         0.         0.         0.         0.03988754 0.
 0.         0.         0.         0.         0.         0.04717147
 0.         0.07142857 0.         0.         0.07142857 0.
 0.         0.         0.         0.         0.03154103 0.
 0.         0.         0.         0.         0.         0.        ]"
778,778,0.590986266704461,2024-01-11 11:36:24.228987,2024-01-11 11:36:26.315372,0 days 00:00:02.086385,True,absolute_error,0.004220715909270093,28,0.14274749643740464,58,0.06333690421962702,20,12,RandomForest,16,False,False,COMPLETE,"[0.5857881136950904, 0.5961844197138315]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.66666667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.33333333 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
828,828,0.5891271572530122,2024-01-11 11:37:49.296772,2024-01-11 11:37:50.610268,0 days 00:00:01.313496,True,friedman_mse,0.04080659030719678,31,0.15514279532404837,91,0.06179808521861844,19,11,RandomForest,16,False,False,COMPLETE,"[0.5757105943152455, 0.602543720190779]","[0.0625     0.         0.         0.00892837 0.         0.
 0.0625     0.0625     0.         0.0625     0.         0.
 0.         0.         0.02553962 0.         0.         0.25336312
 0.         0.         0.         0.         0.         0.1875
 0.         0.         0.         0.         0.05357163 0.
 0.         0.0625     0.         0.         0.         0.03359726
 0.         0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.         0.        ]"
839,839,0.5891271572530122,2024-01-11 11:38:03.456500,2024-01-11 11:38:04.749469,0 days 00:00:01.292969,True,friedman_mse,0.0347246934468409,33,0.1588676019911465,98,0.06008444497476177,19,11,RandomForest,16,False,False,COMPLETE,"[0.5757105943152455, 0.602543720190779]","[0.0625     0.         0.         0.00892837 0.         0.
 0.0625     0.0625     0.         0.0625     0.         0.
 0.         0.         0.02553962 0.         0.         0.25336312
 0.         0.         0.         0.         0.         0.1875
 0.         0.         0.         0.         0.05357163 0.
 0.         0.0625     0.         0.         0.         0.03359726
 0.         0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.         0.        ]"
837,837,0.5883870874978946,2024-01-11 11:38:00.939860,2024-01-11 11:38:02.242627,0 days 00:00:01.302767,True,friedman_mse,0.035001510680608874,32,0.1306455012907125,94,0.06369412079920743,19,11,RandomForest,16,False,False,COMPLETE,"[0.5609819121447028, 0.6157922628510863]","[0.0625     0.         0.         0.         0.         0.0625
 0.0625     0.0625     0.         0.0625     0.02117252 0.
 0.         0.         0.         0.         0.         0.25
 0.         0.         0.         0.         0.         0.1875
 0.         0.         0.         0.         0.03508736 0.
 0.         0.0625     0.         0.         0.         0.04132748
 0.         0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.02741264 0.
 0.         0.         0.         0.         0.         0.        ]"
787,787,0.5883870874978946,2024-01-11 11:36:40.586588,2024-01-11 11:36:41.875795,0 days 00:00:01.289207,True,friedman_mse,0.03646611952674823,32,0.13645159280672053,89,0.047904623259794846,19,11,RandomForest,16,False,False,COMPLETE,"[0.5609819121447028, 0.6157922628510863]","[0.0625     0.         0.         0.         0.         0.0625
 0.0625     0.0625     0.         0.0625     0.02117252 0.
 0.         0.         0.         0.         0.         0.25
 0.         0.         0.         0.         0.         0.1875
 0.         0.         0.         0.         0.03508736 0.
 0.         0.0625     0.         0.         0.         0.04132748
 0.         0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.02741264 0.
 0.         0.         0.         0.         0.         0.        ]"
832,832,0.5866033612271643,2024-01-11 11:37:54.490079,2024-01-11 11:37:55.741417,0 days 00:00:01.251338,True,friedman_mse,0.03393670215601275,33,0.17143121912534467,95,0.0632357349678571,19,11,RandomForest,14,False,False,COMPLETE,"[0.5762273901808785, 0.59697933227345]","[0.07142857 0.         0.         0.         0.         0.
 0.07142857 0.         0.         0.07142857 0.         0.
 0.         0.         0.         0.         0.         0.14285714
 0.03456819 0.         0.         0.         0.         0.21428571
 0.         0.         0.         0.         0.04029417 0.
 0.         0.         0.         0.         0.         0.03686038
 0.         0.14285714 0.         0.         0.         0.
 0.         0.0311344  0.         0.         0.         0.07142857
 0.07142857 0.         0.         0.         0.         0.        ]"
869,869,0.585336636225829,2024-01-11 11:38:47.207203,2024-01-11 11:38:48.680418,0 days 00:00:01.473215,True,friedman_mse,0.026747730176529722,39,0.1437741293630767,93,0.057991207317442756,16,10,RandomForest,17,False,False,COMPLETE,"[0.5612403100775193, 0.6094329623741388]","[0.08725564 0.         0.         0.         0.         0.03039142
 0.04194024 0.         0.01688329 0.02682272 0.         0.04298784
 0.         0.         0.         0.         0.         0.22468977
 0.         0.02610676 0.         0.         0.03478355 0.09362439
 0.         0.         0.         0.         0.02567793 0.04260515
 0.         0.02465227 0.         0.         0.03417126 0.02403998
 0.         0.05882353 0.         0.         0.02979418 0.03271677
 0.         0.02902935 0.         0.         0.0331456  0.
 0.         0.         0.02402267 0.         0.         0.01583569]"
873,873,0.5848066945194168,2024-01-11 11:38:53.012340,2024-01-11 11:38:54.353251,0 days 00:00:01.340911,True,friedman_mse,0.035415837477297415,39,0.12974553728895796,95,0.062067771663050414,16,9,RandomForest,17,False,False,COMPLETE,"[0.5612403100775193, 0.6083730789613142]","[0.08725564 0.         0.         0.         0.         0.03039142
 0.04194024 0.         0.01688329 0.02682272 0.         0.04298784
 0.         0.         0.         0.         0.         0.22468977
 0.         0.02610676 0.         0.         0.03478355 0.09362439
 0.         0.         0.         0.         0.02567793 0.04260515
 0.         0.02465227 0.         0.         0.03417126 0.02403998
 0.         0.05882353 0.         0.         0.02979418 0.03271677
 0.         0.02902935 0.         0.         0.0331456  0.
 0.         0.         0.02402267 0.         0.         0.01583569]"
850,850,0.583083356954766,2024-01-11 11:38:17.907144,2024-01-11 11:38:19.245239,0 days 00:00:01.338095,True,friedman_mse,0.030378751122443735,39,0.13350285823328473,96,0.06273612592123227,17,10,RandomForest,17,False,False,COMPLETE,"[0.5509043927648579, 0.615262321144674]","[0.05882353 0.         0.         0.         0.         0.
 0.05882353 0.         0.         0.02675069 0.         0.04311668
 0.         0.         0.         0.         0.         0.25096038
 0.         0.02599927 0.         0.05882353 0.01864403 0.09343796
 0.         0.         0.         0.         0.0290079  0.01640657
 0.         0.0241868  0.         0.         0.03463673 0.0401795
 0.         0.05882353 0.         0.         0.05882353 0.03282426
 0.         0.         0.         0.         0.02981563 0.
 0.         0.         0.0242091  0.         0.         0.01570685]"
919,919,0.5816533359625015,2024-01-11 11:40:06.649618,2024-01-11 11:40:07.928171,0 days 00:00:01.278553,True,friedman_mse,0.04583807402174136,34,0.1440811963378003,90,0.06119227428652636,18,9,RandomForest,14,False,False,COMPLETE,"[0.5591731266149871, 0.6041335453100158]","[0.07142857 0.         0.         0.         0.         0.07142857
 0.07142857 0.         0.         0.03618501 0.02503834 0.
 0.         0.         0.         0.         0.         0.30438948
 0.         0.         0.         0.         0.         0.19207065
 0.         0.         0.         0.         0.03682184 0.01656837
 0.         0.         0.         0.         0.         0.04639023
 0.         0.07142857 0.         0.         0.         0.
 0.         0.         0.         0.         0.03460673 0.
 0.         0.         0.02221506 0.         0.         0.        ]"
849,849,0.5816249902433213,2024-01-11 11:38:16.582844,2024-01-11 11:38:17.889441,0 days 00:00:01.306597,True,friedman_mse,0.03544920520328374,37,0.13502282245981906,98,0.06232660379312086,17,10,RandomForest,16,False,False,COMPLETE,"[0.5405684754521963, 0.6226815050344462]","[0.0625     0.         0.         0.         0.         0.
 0.0625     0.         0.         0.02884743 0.02034554 0.04622429
 0.         0.         0.         0.         0.         0.266282
 0.         0.02731776 0.         0.         0.         0.09930271
 0.         0.         0.         0.         0.03127872 0.01737057
 0.         0.02576867 0.         0.         0.03673133 0.04215446
 0.         0.0625     0.         0.         0.0625     0.03518224
 0.         0.         0.         0.         0.03122128 0.
 0.         0.         0.02569729 0.         0.         0.01627571]"
843,843,0.5816249902433213,2024-01-11 11:38:08.583306,2024-01-11 11:38:09.916427,0 days 00:00:01.333121,True,friedman_mse,0.03467986288150423,36,0.1298644404848791,98,0.06283546088703262,17,10,RandomForest,16,False,False,COMPLETE,"[0.5405684754521963, 0.6226815050344462]","[0.0625     0.         0.         0.         0.         0.
 0.0625     0.         0.         0.02884743 0.02034554 0.04622429
 0.         0.         0.         0.         0.         0.266282
 0.         0.02731776 0.         0.         0.         0.09930271
 0.         0.         0.         0.         0.03127872 0.01737057
 0.         0.02576867 0.         0.         0.03673133 0.04215446
 0.         0.0625     0.         0.         0.0625     0.03518224
 0.         0.         0.         0.         0.03122128 0.
 0.         0.         0.02569729 0.         0.         0.01627571]"
432,432,0.5812897713034513,2024-01-11 11:18:27.840137,2024-01-11 11:18:29.378109,0 days 00:00:01.537972,True,absolute_error,0.004359526956393531,13,0.17639799225230662,53,0.08685293123563431,20,10,RandomForest,15,False,False,COMPLETE,"[0.5669250645994832, 0.5956544780074192]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
