,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
617,617,0.653862655201941,2024-02-18 22:04:02.704875,2024-02-18 22:04:18.059238,0 days 00:00:15.354363,False,absolute_error,0.007440040644256676,12,0.5379691710012597,29,0.0021188965617633462,13,5,RandomForest,195,False,False,COMPLETE,"[0.6632653061224489, 0.7454545454545455, 0.7980769230769231, 0.40865384615384615]","[1.76680520e-03 0.00000000e+00 1.05360716e-03 5.57309854e-03
 1.46351107e-03 0.00000000e+00 4.75224697e-02 5.76422220e-03
 1.37227568e-02 5.38114120e-04 2.75516001e-03 1.05218559e-02
 8.99498077e-03 1.56205834e-02 1.88398946e-02 6.43485784e-04
 1.40610448e-01 5.84650782e-02 3.20654402e-02 4.43578547e-04
 7.41888280e-03 5.64216840e-02 6.48337062e-03 2.52546883e-03
 5.20365344e-02 1.70628556e-04 3.56344258e-03 7.09114914e-04
 1.12545899e-03 0.00000000e+00 3.05426768e-03 1.21226482e-03
 1.77090824e-02 2.79495202e-04 3.35987487e-03 5.60005896e-04
 1.88593125e-02 3.10350789e-03 8.74316644e-03 1.54788741e-03
 1.67094209e-03 1.11472077e-04 3.20940513e-01 1.38084500e-02
 3.62361555e-02 3.65895839e-03 4.77369113e-03 4.36825992e-02
 1.11111123e-03 0.00000000e+00 7.00118532e-04 1.63046225e-02
 0.00000000e+00 1.75282520e-03]"
605,605,0.6532900135578708,2024-02-18 22:01:08.749701,2024-02-18 22:01:21.941897,0 days 00:00:13.192196,False,absolute_error,0.008222708595566931,12,0.5651540442446329,30,0.0033107670276152023,13,5,RandomForest,191,False,False,COMPLETE,"[0.6326530612244898, 0.7545454545454546, 0.8076923076923077, 0.4182692307692307]","[7.16731592e-04 0.00000000e+00 6.62247288e-04 2.12599997e-02
 0.00000000e+00 0.00000000e+00 4.70706091e-02 3.12229619e-03
 1.38147978e-02 0.00000000e+00 2.34060014e-03 1.81544007e-03
 7.48396550e-03 1.37873851e-02 2.85699627e-02 3.00488399e-04
 1.30358695e-01 4.50095177e-02 3.08801635e-02 1.79719135e-04
 3.87776724e-03 5.57768806e-02 5.03266899e-03 0.00000000e+00
 4.03462763e-02 2.21492515e-04 5.02950391e-03 1.65060069e-03
 8.89089220e-04 0.00000000e+00 6.50799591e-03 8.86257444e-04
 2.41429838e-02 0.00000000e+00 2.57966945e-03 0.00000000e+00
 2.82077998e-02 3.34916176e-03 1.52587178e-02 1.87730326e-03
 3.61130602e-03 0.00000000e+00 3.20250763e-01 8.48423657e-03
 3.79670016e-02 1.17183281e-03 3.94498844e-03 5.56530368e-02
 9.87341556e-04 6.55837390e-05 5.87751705e-04 2.36608779e-02
 0.00000000e+00 6.08492472e-04]"
72,72,0.6522160874839447,2024-02-18 17:37:07.021586,2024-02-18 17:37:16.911236,0 days 00:00:09.889650,False,absolute_error,0.014202483042895684,23,0.9649950699214969,28,0.01805445285862024,11,14,RandomForest,125,False,False,COMPLETE,,
669,669,0.6519163871842443,2024-02-18 22:15:38.856658,2024-02-18 22:15:54.640766,0 days 00:00:15.784108,False,absolute_error,0.008352147239511066,9,0.5667719763680393,33,0.005013622706035137,13,4,RandomForest,186,False,False,COMPLETE,"[0.7040816326530612, 0.7545454545454546, 0.7884615384615384, 0.3605769230769231]","[7.62524020e-04 0.00000000e+00 9.03457861e-04 1.44450856e-02
 0.00000000e+00 0.00000000e+00 4.84666952e-02 4.47793864e-03
 1.41743012e-02 0.00000000e+00 1.98304073e-03 1.79556823e-03
 7.46018810e-03 1.42556726e-02 2.79379704e-02 0.00000000e+00
 1.35720128e-01 5.25251370e-02 1.51572896e-02 1.84889135e-04
 4.36376370e-03 5.39372510e-02 5.04107228e-03 0.00000000e+00
 3.91284195e-02 0.00000000e+00 4.61091477e-03 9.89181002e-04
 1.11814751e-03 0.00000000e+00 3.90375868e-03 6.21926610e-04
 4.10477889e-02 0.00000000e+00 1.79566846e-03 0.00000000e+00
 2.78718993e-02 4.66793548e-03 7.31507200e-03 1.97639651e-03
 3.76834321e-03 0.00000000e+00 3.36352127e-01 6.98580707e-03
 3.48378784e-02 1.33290069e-03 4.51380525e-03 4.79448335e-02
 5.73363540e-04 6.71807836e-05 2.84763255e-04 2.41024875e-02
 0.00000000e+00 5.97427850e-04]"
582,582,0.6514427536748965,2024-02-18 21:55:53.828518,2024-02-18 21:56:06.615273,0 days 00:00:12.786755,False,absolute_error,0.0077714453791652175,13,0.5696663794842954,32,0.002050498925172723,13,5,RandomForest,176,False,False,COMPLETE,"[0.6530612244897959, 0.7363636363636363, 0.7884615384615384, 0.4278846153846154]","[6.12097073e-04 0.00000000e+00 3.59332027e-04 1.78997120e-02
 0.00000000e+00 0.00000000e+00 4.96966741e-02 5.06280418e-03
 1.37837633e-02 5.89889945e-04 3.62840258e-03 1.18235801e-02
 7.85695925e-03 1.50073314e-02 1.78639384e-02 3.28039146e-04
 1.31626966e-01 5.03633212e-02 3.01276683e-02 1.80109564e-04
 3.13232843e-03 5.42918646e-02 4.91532788e-03 0.00000000e+00
 3.83521416e-02 0.00000000e+00 4.72208712e-03 1.78186875e-03
 8.23555879e-04 0.00000000e+00 6.29830676e-03 9.39932729e-04
 2.14006038e-02 0.00000000e+00 1.88588046e-03 0.00000000e+00
 2.65850259e-02 3.18868673e-03 1.13855585e-02 2.89340203e-03
 4.15610371e-03 1.40011140e-04 3.26674261e-01 9.19333731e-03
 3.77776421e-02 7.96869196e-04 3.87937761e-03 5.36247289e-02
 6.04125891e-04 1.27074994e-04 0.00000000e+00 2.29597341e-02
 0.00000000e+00 6.59574376e-04]"
597,597,0.6512955794205794,2024-02-18 21:59:16.549611,2024-02-18 21:59:29.724304,0 days 00:00:13.174693,False,absolute_error,0.007570404759734345,11,0.5536840029379995,29,0.0021420926759962724,13,5,RandomForest,176,False,False,COMPLETE,"[0.6428571428571428, 0.7363636363636363, 0.7980769230769231, 0.4278846153846154]","[8.54594606e-04 0.00000000e+00 1.05771961e-03 1.63659957e-02
 8.80801473e-04 0.00000000e+00 4.95305997e-02 4.90133532e-03
 1.31700408e-02 6.17364582e-04 2.24679048e-03 3.13206414e-03
 9.35214298e-03 1.45662375e-02 2.43062632e-02 3.58160258e-04
 1.36508289e-01 5.73700109e-02 3.10147904e-02 2.90352719e-04
 4.31407341e-03 5.25606241e-02 5.78007739e-03 0.00000000e+00
 5.15300781e-02 0.00000000e+00 3.66337696e-03 1.26651519e-03
 8.67113031e-04 0.00000000e+00 5.40214520e-03 9.77209270e-04
 1.54462482e-02 5.36549337e-05 3.66812147e-03 4.66015133e-04
 2.62269809e-02 2.67109049e-03 1.06757387e-02 5.75410875e-03
 1.58778437e-03 0.00000000e+00 3.17305149e-01 6.86918979e-03
 4.34858836e-02 1.81814909e-03 4.79346563e-03 4.54323752e-02
 1.20148286e-03 0.00000000e+00 0.00000000e+00 1.77875427e-02
 1.64796417e-04 1.70745656e-03]"
576,576,0.6494964856571999,2024-02-18 21:54:29.965133,2024-02-18 21:54:41.752892,0 days 00:00:11.787759,False,absolute_error,0.008467053158466567,13,0.5670029507590246,29,0.0065852954875620555,13,5,RandomForest,175,False,False,COMPLETE,"[0.6938775510204082, 0.7454545454545455, 0.7884615384615384, 0.3701923076923077]","[5.93250865e-04 0.00000000e+00 2.20783852e-04 1.27962616e-02
 0.00000000e+00 0.00000000e+00 4.92317630e-02 4.64587860e-03
 1.80271814e-02 0.00000000e+00 1.18031873e-03 1.95705440e-03
 8.75282536e-03 1.41798238e-02 2.78735066e-02 3.20919625e-04
 1.32176727e-01 5.38261174e-02 2.76391778e-02 0.00000000e+00
 5.30328939e-03 5.48835156e-02 4.72099558e-03 0.00000000e+00
 3.74353634e-02 1.74537076e-04 6.16648899e-03 4.91716183e-04
 8.32162335e-04 0.00000000e+00 3.35652911e-03 1.38044266e-03
 2.11852358e-02 0.00000000e+00 2.13749049e-03 0.00000000e+00
 2.68045959e-02 4.23580563e-03 3.00686127e-03 2.94781439e-03
 3.53236898e-03 0.00000000e+00 3.38361809e-01 9.30188053e-03
 3.55430588e-02 1.17387854e-03 3.48206801e-03 5.48188624e-02
 1.19632498e-03 0.00000000e+00 4.31906210e-04 2.29161128e-02
 0.00000000e+00 7.57295942e-04]"
578,578,0.6489077886399315,2024-02-18 21:54:59.298351,2024-02-18 21:55:12.623538,0 days 00:00:13.325187,False,absolute_error,0.007940241671424623,13,0.5612695695152154,30,0.0021925548360700042,13,5,RandomForest,176,False,False,COMPLETE,"[0.6530612244897959, 0.7454545454545455, 0.7884615384615384, 0.40865384615384615]","[5.91311705e-04 0.00000000e+00 5.11773110e-04 1.58403702e-02
 0.00000000e+00 0.00000000e+00 4.99476851e-02 4.41467784e-03
 1.36832331e-02 5.43610977e-04 1.29679306e-03 1.93330723e-03
 8.04163972e-03 1.50378400e-02 2.61387881e-02 3.23201308e-04
 1.30896687e-01 5.17655043e-02 2.99874566e-02 1.80595911e-04
 5.78836832e-03 5.55511613e-02 4.89269325e-03 0.00000000e+00
 3.82003529e-02 1.47627292e-04 4.39571717e-03 8.02323463e-04
 8.32851889e-04 0.00000000e+00 4.87147700e-03 1.46676643e-03
 2.10747759e-02 0.00000000e+00 1.88667574e-03 9.16134292e-05
 2.66329368e-02 3.25201197e-03 1.08155089e-02 2.86196492e-03
 4.10875610e-03 1.13386396e-04 3.28519558e-01 9.17969510e-03
 3.75342847e-02 1.65877477e-03 3.92732247e-03 5.52458535e-02
 6.42034466e-04 1.36878699e-04 0.00000000e+00 2.26029572e-02
 0.00000000e+00 1.63119611e-03]"
695,695,0.6474859961467105,2024-02-18 22:21:30.757606,2024-02-18 22:21:42.266028,0 days 00:00:11.508422,False,absolute_error,0.009066035658284333,9,0.5593676358814619,32,0.00986007450084921,13,2,RandomForest,189,False,False,COMPLETE,"[0.6938775510204082, 0.7181818181818181, 0.7980769230769231, 0.3798076923076923]","[2.71882706e-04 0.00000000e+00 4.93035013e-04 5.83936078e-03
 0.00000000e+00 0.00000000e+00 4.82544523e-02 4.99382904e-03
 1.13464833e-02 0.00000000e+00 1.09859862e-03 8.81521874e-04
 2.81830805e-04 1.39807340e-02 2.80519721e-02 1.13811885e-03
 1.21919172e-01 5.76072725e-02 2.85566195e-02 0.00000000e+00
 4.67572253e-03 5.53193379e-02 4.30018106e-03 0.00000000e+00
 3.58768068e-02 1.91732462e-04 1.35327243e-02 1.37278175e-03
 9.12313829e-04 0.00000000e+00 3.84605018e-03 2.99175037e-03
 2.13504375e-02 0.00000000e+00 2.03348005e-03 1.50813388e-03
 2.65339280e-02 4.85485670e-03 4.21698680e-03 4.33645925e-03
 4.22859615e-03 0.00000000e+00 3.45677553e-01 8.67465760e-03
 3.61399955e-02 1.23390307e-03 6.87208783e-03 5.92232011e-02
 1.10003801e-03 0.00000000e+00 0.00000000e+00 2.31270768e-02
 0.00000000e+00 1.15432431e-03]"
683,683,0.6473548772655915,2024-02-18 22:18:50.640194,2024-02-18 22:19:02.298527,0 days 00:00:11.658333,False,absolute_error,0.011052815339465474,8,0.5622255436920801,37,0.009188113640391649,13,2,RandomForest,182,False,False,COMPLETE,"[0.6938775510204082, 0.7272727272727273, 0.7884615384615384, 0.3798076923076923]","[7.28111500e-04 0.00000000e+00 5.11320595e-04 5.42540793e-03
 0.00000000e+00 0.00000000e+00 4.90629183e-02 5.00824806e-03
 1.24699529e-02 0.00000000e+00 2.04290797e-03 9.34708769e-04
 2.93708080e-04 1.40533437e-02 2.76540399e-02 1.18150164e-03
 1.27968636e-01 5.56720685e-02 2.70440596e-02 0.00000000e+00
 4.12857696e-03 5.15643335e-02 4.72621679e-03 0.00000000e+00
 3.66879996e-02 2.00530550e-04 1.41776500e-02 1.20086016e-03
 9.43661897e-04 0.00000000e+00 3.45698787e-03 3.10821115e-03
 2.10819071e-02 0.00000000e+00 2.10099702e-03 1.17898603e-03
 2.49271817e-02 4.57842127e-03 3.96538602e-03 2.73356653e-03
 3.39296151e-03 0.00000000e+00 3.53084794e-01 8.94533553e-03
 3.50759453e-02 1.20642482e-03 3.31647290e-03 5.84838667e-02
 1.15178222e-03 0.00000000e+00 0.00000000e+00 2.34203883e-02
 0.00000000e+00 1.10962113e-03]"
