,features,importances
0,wSMI_1_mean,0.00625
1,wSMI_1_std,0.00625
2,wSMI_2_mean,0.011904761904761904
3,wSMI_2_std,0.03858279828493176
4,wSMI_4_mean,0.01796031898883708
5,wSMI_4_std,0.0
6,wSMI_8_mean,0.0
7,wSMI_8_std,0.0
8,p_e_1_mean,0.009738593748529992
9,p_e_1_std,0.07767857142857143
10,p_e_2_mean,0.00625
11,p_e_2_std,0.12498616021479249
12,p_e_4_mean,0.00625
13,p_e_4_std,0.0
14,p_e_8_mean,0.06195684953851789
15,p_e_8_std,0.0
16,k_mean,0.02838148742935396
17,k_std,0.00625
18,se_mean,0.005737650404926699
19,se_std,0.021566509750866512
20,msf_mean,0.020397753635000744
21,msf_std,0.0
22,sef90_mean,0.00625
23,sef90_std,0.0
24,sef95_mean,0.015093204864572603
25,sef95_std,0.0
26,b_mean,0.0
27,b_std,0.0
28,b_n_mean,0.03402777777777778
29,b_n_std,0.0
30,g_mean,0.0
31,g_std,0.0
32,g_n_mean,0.06805555555555556
33,g_n_std,0.0
34,t_mean,0.01234870601703767
35,t_std,0.03053918402924779
36,t_n_mean,0.016279586530877913
37,t_n_std,0.00625
38,d_mean,0.0
39,d_std,0.03571428571428572
40,d_n_mean,0.08014898489769352
41,d_n_std,0.0
42,a_n_mean,0.08333333333333334
43,a_n_std,0.011904761904761904
44,a_mean,0.0
45,a_std,0.0963898394554827
46,CNV_mean,0.0030436797405265516
47,CNV_std,0.006361554415760031
48,P1_mean,0.011904761904761904
49,P1_std,0.015111082164235352
50,P3a_mean,0.0
51,P3a_std,0.0
52,P3b_mean,0.014634554418469814
53,P3b_std,0.0024676919465294427
