,features,importances
0,wSMI_1_mean,0.0
1,wSMI_1_std,0.027777777777777776
2,wSMI_2_mean,0.017726974577794742
3,wSMI_2_std,0.0
4,wSMI_4_mean,0.0947420634920635
5,wSMI_4_std,0.01747208935408342
6,wSMI_8_mean,0.018737120603136422
7,wSMI_8_std,0.0
8,p_e_1_mean,0.0
9,p_e_1_std,0.0
10,p_e_2_mean,0.0
11,p_e_2_std,0.0
12,p_e_4_mean,0.0
13,p_e_4_std,0.0
14,p_e_8_mean,0.013775127436680768
15,p_e_8_std,0.07897213713317187
16,k_mean,0.03571428571428572
17,k_std,0.0
18,se_mean,0.0
19,se_std,0.027777777777777776
20,msf_mean,0.0
21,msf_std,0.042877446608501193
22,sef90_mean,0.0
23,sef90_std,0.0
24,sef95_mean,0.0
25,sef95_std,0.010910828781837918
26,b_mean,0.013777910645916581
27,b_std,0.0
28,b_n_mean,0.027525675763302268
29,b_n_std,0.0
30,g_mean,0.016420073409248444
31,g_std,0.0
32,g_n_mean,0.0
33,g_n_std,0.0
34,t_mean,0.03571428571428572
35,t_std,0.0
36,t_n_mean,0.1765362757971008
37,t_n_std,0.027777777777777776
38,d_mean,0.0
39,d_std,0.0
40,d_n_mean,0.0
41,d_n_std,0.0
42,a_n_mean,0.012512879396863581
43,a_n_std,0.0
44,a_mean,0.0
45,a_std,0.0
46,CNV_mean,0.017957394395789448
47,CNV_std,0.04740033116927658
48,P1_mean,0.13967948095904203
49,P1_std,0.0
50,P3a_mean,0.06696428571428573
51,P3a_std,0.0
52,P3b_mean,0.03125
53,P3b_std,0.0
