,features,0,1,2,3,4,mean_importance
0,$wSMI\gamma_{mean}$,0.018088674263606865,0.018097105590777627,0.018056038182799047,0.017903948005582298,0.017964937207833934,0.018022140650119957
1,$wSMI\gamma_{std}$,0.01863575532132863,0.018285323430582267,0.018434593423453407,0.018388300108964147,0.0181428116961756,0.018377356796100808
2,$wSMI\beta_{mean}$,0.018199174755855203,0.018429501091631696,0.01779795102122948,0.0183012713605061,0.018029188666557092,0.018151417379155915
3,$wSMI\beta_{std}$,0.018534108372209965,0.01776479300518649,0.017851324293798307,0.01772646693572238,0.01794908324109339,0.017965155169602107
4,$wSMI\alpha_{mean}$,0.018433746262782127,0.017932999165353278,0.017880553075516465,0.01824491216147422,0.01810246596307435,0.01811893532564009
5,$wSMI\alpha_{std}$,0.01864290147355439,0.01824374053390584,0.01775792110161797,0.01854484919391496,0.017998559409586515,0.018237594342515935
6,$wSMI\theta_{mean}$,0.018610277687285386,0.01862510064476405,0.018415653791500692,0.018675077170457525,0.018263312476378895,0.01851788435407731
7,$wSMI\theta_{std}$,0.017711742669684314,0.01837326012165396,0.017906507818700672,0.017805983964784364,0.017804916395489083,0.017920482194062483
8,$PE\gamma_{mean}$,0.01939611197978471,0.01895763065339404,0.020130923707205848,0.01940257964159257,0.01946175901106315,0.019469800998608063
9,$PE\gamma_{std}$,0.01792906201369628,0.017742759156683184,0.01773588578530513,0.017880996596940087,0.017925921614337547,0.017842925033392448
10,$PE\beta_{mean}$,0.01953462653485824,0.020127328682584582,0.02007287600983897,0.019979972143765425,0.019399273640153897,0.019822815402240224
11,$PE\beta_{std}$,0.01870729084934834,0.018347047239176836,0.017960015214172235,0.018757397447485072,0.01859370587303076,0.01847309132464265
12,$PE\alpha_{mean}$,0.019139211015557614,0.019238889278739926,0.01947577043543198,0.018992543637742124,0.01912287124589153,0.019193857122672634
13,$PE\alpha_{std}$,0.018283236691427833,0.017934246712633783,0.017701594260242978,0.017888109347056418,0.017720711793982463,0.017905579761068696
14,$PE\theta_{mean}$,0.020440072049708626,0.022563676867655952,0.021950680505233973,0.02124625366676011,0.020794649655145894,0.021399066548900912
15,$PE\theta_{std}$,0.01752979509387617,0.018530555552268027,0.018049275211606902,0.018203822319519017,0.017770283220334596,0.01801674627952094
16,$K_{mean}$,0.018713591201256218,0.01870108640124743,0.018633533090226865,0.01860431890879709,0.018890685490935585,0.01870864301849264
17,$K_{std}$,0.018087064145076735,0.01810010889149386,0.0178332645627077,0.018335630966776085,0.01811238955801949,0.01809369162481477
18,$SE_{mean}$,0.018869967558741506,0.018511237247189928,0.01819677531987471,0.018543919971258028,0.01831433758814782,0.0184872475370424
19,$SE_{std}$,0.018088018219657147,0.017985412260093814,0.01752064432270407,0.018243551988413792,0.017745873146844348,0.017916699987542636
20,$MSF_{mean}$,0.019197617610779896,0.01898271608366106,0.018801260710682912,0.018710928887424275,0.018964938837169598,0.01893149242594355
21,$MSF_{std}$,0.01802579701128721,0.018282815033729107,0.01822555741382178,0.018092510415319674,0.01819291825342887,0.018163919625517326
22,$SEF90_{mean}$,0.018895388380238957,0.01844297720268298,0.018960469631340994,0.018145040746221225,0.01853269353486307,0.018595313899069446
23,$SEF90_{std}$,0.017950663932149342,0.018084234702360247,0.017722848808710008,0.017846651824674684,0.017719538998699907,0.01786478765331884
24,$SEF95_{mean}$,0.019473428216933535,0.01899186498026374,0.019161720546367382,0.018891046883021474,0.019400656727664375,0.0191837434708501
25,$SEF95_{std}$,0.01755243143270166,0.018272058425848402,0.01777596330601099,0.01844658166496054,0.01814293132055106,0.01803799323001453
26,$\beta_{mean}$,0.0203439081796536,0.020656520842532812,0.02043037303596026,0.02025331501483696,0.020650020876614234,0.02046682758991957
27,$\beta_{std}$,0.017709492571856607,0.01815795042768395,0.017779930919139375,0.018676872539912293,0.018143346489108574,0.018093518589540163
28,$|\beta|_{mean}$,0.01865903481335248,0.0187146695921183,0.018753854528580378,0.018568393103771754,0.018448147192073876,0.018628819845979354
29,$|\beta|_{std}$,0.018110772662129935,0.017819823293141804,0.0176445313697155,0.01756581203883405,0.0178012985193092,0.0177884475766261
30,$\gamma_{mean}$,0.018543732128154574,0.018833878855599798,0.01876664259358225,0.018978334097827385,0.01930524385935237,0.018885566306903277
31,$\gamma_{std}$,0.018265251449613742,0.018418272778100184,0.018162121494734052,0.01823045574981125,0.01809320631542624,0.018233861557537093
32,$|\gamma|_{mean}$,0.01851180068305686,0.01833310401283879,0.018408350853703813,0.018692089070789262,0.018973956438999837,0.01858386021187771
33,$|\gamma|_{std}$,0.01815911860008267,0.017969478988990904,0.01801480380295959,0.018143556305505317,0.01791332526175625,0.018040056591858946
34,$\theta_{mean}$,0.019737733171801695,0.018995502015881918,0.01998124824186045,0.018840791254412306,0.019745969641500393,0.019460248865091352
35,$\theta_{std}$,0.018083243496768816,0.01804549927113902,0.018089239679520343,0.01800874082223179,0.018123752674439903,0.018070095188819975
36,$|\theta|_{mean}$,0.01839682976302705,0.018024838557288352,0.01842056990479807,0.01836045865588478,0.01839440578338465,0.018319420532876583
37,$|\theta|_{std}$,0.018203541486349648,0.01799610781938537,0.017639627910313323,0.018027149821119474,0.01830771388257015,0.018034828183947593
38,$\delta_{mean}$,0.018102123764406026,0.018171040182224606,0.018033982241220894,0.018236409318057742,0.018313107043684957,0.018171332509918845
39,$\delta_{std}$,0.018406894697040016,0.018070477761053604,0.01794701623845559,0.017866720621861572,0.018151338596144304,0.018088489582911017
40,$|\delta|_{mean}$,0.019328880828803775,0.019339828304932975,0.019722117746648612,0.01911849128502293,0.01971049738651587,0.01944396311038483
41,$|\delta|_{std}$,0.017794064757141473,0.017521363995491923,0.01775006040514863,0.017627429726263185,0.017812537258629375,0.01770109122853492
42,$|\alpha|_{mean}$,0.01946796811212931,0.019808790303645976,0.02098541652853298,0.020194007483960278,0.020551524385056374,0.020201541362664985
43,$|\alpha|_{std}$,0.018474566267594614,0.018360954057870173,0.019161012382570664,0.019146935810711647,0.01900869242736422,0.018830432189222264
44,$\alpha_{mean}$,0.019571966943351355,0.01972942699458855,0.022063057835787953,0.02004716452887451,0.02134683813135873,0.020551690886792217
45,$\alpha_{std}$,0.018565727259482457,0.017953831617694944,0.018131295478831768,0.018465056891152184,0.018032672280941128,0.018229716705620496
46,$CNV_{mean}$,0.017759650604205132,0.017871336168029134,0.01747061248818548,0.01768158968095722,0.017582407759226114,0.01767311934012062
47,$CNV_{std}$,0.017952302928320406,0.01790012904137164,0.017458495115366127,0.017821183989728828,0.017838731236502644,0.017794168462257932
48,$P1_{mean}$,0.017516242892811264,0.01799920493105498,0.017717503814963197,0.01857527030623166,0.01806593734766643,0.017974831858545506
49,$P1_{std}$,0.018187373617429295,0.01811742339438585,0.01913036634444753,0.01848735918821837,0.01843077019451975,0.01847065854780016
50,$P3a_{mean}$,0.017659540591968153,0.018158765186816132,0.018125746174696433,0.017893849132868518,0.017427960866055702,0.01785317239048099
51,$P3a_{std}$,0.018580028193125375,0.01893401349838211,0.018224599098522292,0.01852379131526532,0.018279906972496467,0.018508467815558313
52,$P3b_{mean}$,0.018821823382357505,0.01843271302587527,0.0179036954134411,0.017851534314887223,0.01828389081567134,0.018258731390446488
53,$P3b_{std}$,0.018416631410599196,0.01811658612631893,0.018074126808211986,0.018314571971868435,0.018201385797178157,0.01822466042283534
