,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_aucs,feature_importances
505,505,0.5935286935286935,2024-01-09 10:06:17.802396,2024-01-09 10:06:20.386220,0 days 00:00:02.583824,True,squared_error,0.053605562676724665,30,0.3280227783291878,51,0.035046571843086446,7,11,43,COMPLETE,"[0.6801282051282052, 0.5147435897435897, 0.5857142857142857]","[0.33333333 0.         0.         0.         0.         0.
 0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.        ]"
669,669,0.593222116048203,2024-01-09 10:15:17.692070,2024-01-09 10:15:20.385029,0 days 00:00:02.692959,True,squared_error,0.04708649354413173,24,0.3407516597136961,48,0.0346998097093685,11,10,47,COMPLETE,"[0.666025641025641, 0.5192307692307692, 0.5944099378881987]","[0.11851193 0.         0.         0.         0.         0.
 0.25       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.25       0.         0.         0.
 0.         0.         0.         0.         0.         0.25
 0.13148807 0.         0.         0.         0.         0.        ]"
413,413,0.5884004884004884,2024-01-09 10:02:01.217679,2024-01-09 10:02:04.089639,0 days 00:00:02.871960,True,squared_error,0.024285657636407647,28,0.32134553641537883,59,0.03471868245085971,7,11,42,COMPLETE,"[0.6801282051282052, 0.49935897435897436, 0.5857142857142857]","[0.33333333 0.         0.         0.         0.         0.
 0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.        ]"
522,522,0.5851953601953602,2024-01-09 10:07:12.553816,2024-01-09 10:07:15.253119,0 days 00:00:02.699303,True,squared_error,0.043941951147803256,30,0.3450969431682346,55,0.03520860727505879,7,12,47,COMPLETE,"[0.666025641025641, 0.5038461538461538, 0.5857142857142857]","[0.11854008 0.         0.         0.         0.         0.
 0.25       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.25       0.         0.         0.
 0.         0.         0.         0.         0.         0.25
 0.13145992 0.         0.         0.         0.         0.        ]"
442,442,0.5851953601953602,2024-01-09 10:03:22.618555,2024-01-09 10:03:25.303801,0 days 00:00:02.685246,True,squared_error,0.038977091063590756,28,0.3415371129729395,55,0.03506849704754203,10,11,47,COMPLETE,"[0.666025641025641, 0.5038461538461538, 0.5857142857142857]","[0.11850851 0.         0.         0.         0.         0.
 0.25       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.25       0.         0.         0.
 0.         0.         0.         0.         0.         0.25
 0.13149149 0.         0.         0.         0.         0.        ]"
444,444,0.5834594149811541,2024-01-09 10:03:28.191933,2024-01-09 10:03:31.020709,0 days 00:00:02.828776,True,squared_error,0.05416593381002791,28,0.3375527039175056,51,0.0341977625454677,11,11,54,COMPLETE,"[0.6583333333333333, 0.5038461538461538, 0.5881987577639751]","[0.09491205 0.         0.         0.         0.         0.
 0.2        0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.         0.         0.         0.         0.         0.
 0.         0.         0.2        0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.10508795 0.         0.         0.         0.         0.        ]"
614,614,0.5796265328874024,2024-01-09 10:12:17.470999,2024-01-09 10:12:20.348582,0 days 00:00:02.877583,True,squared_error,0.0526816666089701,26,0.3508568703031972,55,0.03385843265039629,10,11,53,COMPLETE,"[0.6583333333333333, 0.4935897435897435, 0.5869565217391305]","[0.09492775 0.         0.         0.         0.         0.
 0.2        0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.         0.         0.         0.         0.         0.
 0.         0.         0.2        0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.10507225 0.         0.         0.         0.         0.        ]"
443,443,0.5796265328874024,2024-01-09 10:03:25.319723,2024-01-09 10:03:28.175798,0 days 00:00:02.856075,True,squared_error,0.047738647973246125,28,0.3497865983956322,50,0.03397450909141507,10,11,54,COMPLETE,"[0.6583333333333333, 0.4935897435897435, 0.5869565217391305]","[0.0949482 0.        0.        0.        0.        0.        0.2
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.2       0.        0.        0.        0.        0.
 0.        0.        0.        0.2       0.        0.        0.
 0.        0.        0.        0.        0.        0.2       0.1050518
 0.        0.        0.        0.        0.       ]"
449,449,0.5785714285714286,2024-01-09 10:03:42.657923,2024-01-09 10:03:45.402851,0 days 00:00:02.744928,True,squared_error,0.05925173474787733,27,0.32107080393071574,51,0.035169130940533797,9,12,50,COMPLETE,"[0.6544871794871795, 0.49551282051282053, 0.5857142857142857]","[0.2 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.
 0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0. ]"
441,441,0.5762210012210013,2024-01-09 10:03:19.828043,2024-01-09 10:03:22.602620,0 days 00:00:02.774577,True,squared_error,0.05519714116096171,29,0.3411797872927886,54,0.03476342980602765,10,11,51,COMPLETE,"[0.6583333333333333, 0.4846153846153846, 0.5857142857142857]","[0.09486419 0.         0.         0.         0.         0.
 0.2        0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.         0.         0.         0.         0.         0.
 0.         0.         0.2        0.         0.         0.
 0.         0.         0.         0.         0.         0.2
 0.10513581 0.         0.         0.         0.         0.        ]"
