,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
770,,470,0.5970663491098274,2024-02-18 18:41:34.367096,2024-02-18 18:42:18.430834,0 days 00:00:44.063738,True,absolute_error,0.02611244286685016,8,0.08225721507887791,78,0.03407252178357153,16,17,RandomForest,154,False,False,COMPLETE,"[0.594, 0.485042735042735, 0.6333333333333333, 0.6758893280632411]","[0.01923077 0.05769231 0.         0.         0.         0.01041667
 0.07291667 0.08333333 0.         0.         0.         0.08173077
 0.         0.         0.0400641  0.         0.         0.00888102
 0.         0.         0.         0.         0.         0.
 0.         0.         0.11458333 0.01041667 0.03846154 0.
 0.         0.08173077 0.         0.0625     0.01041667 0.
 0.0625     0.01034975 0.         0.         0.0400641  0.01041667
 0.         0.         0.02083333 0.01041667 0.04887821 0.
 0.10416667 0.         0.         0.         0.         0.        ]"
654,,354,0.5938731841829668,2024-02-18 18:15:45.340270,2024-02-18 18:15:52.577808,0 days 00:00:07.237538,True,absolute_error,0.039720957473621164,12,0.0894459202917833,82,0.03013188711951189,18,17,RandomForest,156,False,False,COMPLETE,"[0.598, 0.4636752136752137, 0.6458333333333334, 0.6679841897233201]","[0.01923077 0.03846154 0.         0.         0.00675676 0.01351351
 0.04247104 0.0492278  0.         0.01351351 0.         0.07417582
 0.         0.         0.07441095 0.         0.         0.
 0.         0.         0.         0.03571429 0.         0.00675676
 0.         0.         0.03378378 0.08413771 0.06765419 0.
 0.00675676 0.01923077 0.00675676 0.03571429 0.01351351 0.
 0.04166667 0.01923077 0.         0.         0.06845857 0.00675676
 0.05518018 0.         0.00675676 0.00675676 0.0452183  0.01923077
 0.08220721 0.         0.         0.         0.00675676 0.        ]"
1009,,709,0.5908731841829669,2024-02-18 19:54:32.153356,2024-02-18 19:54:39.337940,0 days 00:00:07.184584,True,absolute_error,0.03241637842870667,4,0.08595562315931002,76,0.030104861378682218,18,18,RandomForest,154,False,False,COMPLETE,"[0.586, 0.4636752136752137, 0.6458333333333334, 0.6679841897233201]","[0.01923077 0.03846154 0.         0.         0.00675676 0.01351351
 0.03800676 0.04476351 0.         0.01351351 0.         0.06971154
 0.         0.         0.07441095 0.         0.         0.
 0.         0.         0.         0.03125    0.         0.00675676
 0.         0.         0.03378378 0.07967342 0.06765419 0.
 0.00675676 0.01923077 0.00675676 0.03125    0.01351351 0.
 0.04166667 0.01923077 0.         0.         0.06399428 0.00675676
 0.05518018 0.         0.00675676 0.00675676 0.0452183  0.01923077
 0.11345721 0.         0.         0.         0.00675676 0.        ]"
513,,213,0.5892235988649032,2024-02-18 16:42:07.352952,2024-02-18 16:42:14.386330,0 days 00:00:07.033378,True,absolute_error,0.03365675256757837,7,0.0907894542538749,77,0.031245613218326702,18,18,RandomForest,151,False,False,COMPLETE,,
0,214.0,214,0.5892235988649032,2024-02-18 16:42:14.405619,2024-02-18 16:42:21.594718,0 days 00:00:07.189099,True,absolute_error,0.0333777924798326,8,0.0916195201190854,78,0.031259927983841,18,17,RandomForest,152,False,False,COMPLETE,"[0.6060000000000001, 0.4807692307692307, 0.6416666666666666, 0.6284584980237153]","[0.02272727 0.04545455 0.         0.         0.00757576 0.01515152
 0.05757576 0.06515152 0.         0.00757576 0.         0.09545455
 0.         0.         0.08787879 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03787879 0.05757576 0.02272727 0.
 0.00757576 0.02272727 0.00757576 0.05       0.01515152 0.
 0.05       0.02272727 0.         0.         0.08787879 0.00757576
 0.05757576 0.         0.00757576 0.00757576 0.03030303 0.
 0.09545455 0.         0.         0.         0.00757576 0.        ]"
1,213.0,213,0.5892235988649032,2024-02-18 16:42:07.352952,2024-02-18 16:42:14.386330,0 days 00:00:07.033378,True,absolute_error,0.0336567525675783,7,0.0907894542538749,77,0.0312456132183267,18,18,RandomForest,151,False,False,COMPLETE,"[0.6060000000000001, 0.4807692307692307, 0.6416666666666666, 0.6284584980237153]","[0.02272727 0.04545455 0.         0.         0.00757576 0.01515152
 0.05757576 0.06515152 0.         0.00757576 0.         0.09545455
 0.         0.         0.08787879 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03787879 0.05757576 0.02272727 0.
 0.00757576 0.02272727 0.00757576 0.05       0.01515152 0.
 0.05       0.02272727 0.         0.         0.08787879 0.00757576
 0.05757576 0.         0.00757576 0.00757576 0.03030303 0.
 0.09545455 0.         0.         0.         0.00757576 0.        ]"
514,,214,0.5892235988649032,2024-02-18 16:42:14.405619,2024-02-18 16:42:21.594718,0 days 00:00:07.189099,True,absolute_error,0.03337779247983261,8,0.09161952011908546,78,0.03125992798384105,18,17,RandomForest,152,False,False,COMPLETE,,
809,,509,0.5890897351440829,2024-02-18 18:55:27.977670,2024-02-18 18:55:35.142394,0 days 00:00:07.164724,True,absolute_error,0.05286545703927708,6,0.09826893726274855,66,0.028907826736489495,18,17,RandomForest,156,False,False,COMPLETE,"[0.606, 0.485042735042735, 0.625, 0.6403162055335968]","[0.04073887 0.0460427  0.00223245 0.         0.01229475 0.03461538
 0.05253497 0.03926169 0.02272727 0.00480769 0.00480769 0.04326459
 0.         0.         0.04777328 0.00212833 0.         0.
 0.025      0.00480769 0.02272727 0.04545455 0.         0.00480769
 0.01315789 0.         0.02884615 0.02980769 0.04296559 0.
 0.02980769 0.01796559 0.00480769 0.07298951 0.00961538 0.00480769
 0.025      0.02631579 0.         0.00658888 0.04296559 0.00480769
 0.01699832 0.         0.01442308 0.00961538 0.05005984 0.01585425
 0.07176573 0.         0.         0.         0.00480769 0.        ]"
650,,350,0.5886125004222831,2024-02-18 18:15:16.890640,2024-02-18 18:15:23.948464,0 days 00:00:07.057824,True,absolute_error,0.035401287817031585,8,0.09228713281472063,84,0.029805924561080218,18,19,RandomForest,152,False,False,COMPLETE,"[0.5619999999999999, 0.4786324786324786, 0.6458333333333334, 0.6679841897233201]","[0.01923077 0.03846154 0.         0.         0.00657895 0.04440789
 0.03435673 0.04751462 0.         0.01315789 0.         0.06623932
 0.         0.         0.06363866 0.00657895 0.         0.
 0.         0.02777778 0.02777778 0.02777778 0.         0.00657895
 0.         0.         0.03289474 0.03782895 0.05705972 0.
 0.03782895 0.01923077 0.00657895 0.02777778 0.01315789 0.
 0.03125    0.01923077 0.         0.         0.06016644 0.00657895
 0.03782895 0.         0.00657895 0.00657895 0.04504049 0.01923077
 0.09850146 0.         0.         0.         0.00657895 0.        ]"
769,,469,0.5874878044660654,2024-02-18 18:40:50.623728,2024-02-18 18:41:34.348608,0 days 00:00:43.724880,True,absolute_error,0.022294689599849198,8,0.08521283712127115,77,0.0335852742909074,17,17,RandomForest,154,False,False,COMPLETE,"[0.6060000000000001, 0.5106837606837606, 0.6166666666666667, 0.6166007905138341]","[0.01923077 0.05769231 0.         0.         0.         0.01190476
 0.06190476 0.07380952 0.         0.         0.         0.06923077
 0.         0.         0.03113553 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04761905 0.07440476 0.03846154 0.
 0.         0.01923077 0.         0.05       0.01190476 0.
 0.0625     0.01923077 0.         0.         0.08113553 0.01190476
 0.07440476 0.         0.01190476 0.01190476 0.0503663  0.
 0.09821429 0.         0.         0.         0.01190476 0.        ]"
