,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
0,0.0,0.0,267.0,267,0.6326225490196078,2024-02-15 22:41:45.990444,2024-02-15 22:41:51.319012,0 days 00:00:05.328568,True,absolute_error,0.0259078557607745,13,0.9986030342621346,51,0.0834762232747199,15,3,RandomForest,118,False,False,COMPLETE,"[0.5972222222222222, 0.537142857142857, 0.6481092436974789, 0.748015873015873]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18333333 0.08333333 0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.6        0.05       0.         0.         0.         0.        ]"
1,1.0,1.0,248.0,248,0.6326225490196078,2024-02-15 22:40:07.498382,2024-02-15 22:40:12.942666,0 days 00:00:05.444284,True,absolute_error,0.0262955417179867,14,0.9821080975342086,49,0.0831118307938503,15,3,RandomForest,118,False,False,COMPLETE,"[0.5972222222222222, 0.537142857142857, 0.6481092436974789, 0.748015873015873]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18333333 0.08333333 0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.6        0.05       0.         0.         0.         0.        ]"
2,778.0,,,178,0.6239419934640522,2024-02-16 16:45:28.345867,2024-02-16 16:45:33.808298,0 days 00:00:05.462431,True,absolute_error,0.0223992520794657,25,0.94614741659807,60,0.0797789932916896,17,18,RandomForest,121,False,False,COMPLETE,,
3,2.0,478.0,,178,0.6239419934640522,2024-02-16 16:45:28.345867,2024-02-16 16:45:33.808298,0 days 00:00:05.462431,True,absolute_error,0.0223992520794657,25,0.94614741659807,60,0.0797789932916896,17,18,RandomForest,121,False,False,COMPLETE,"[0.5823412698412699, 0.537142857142857, 0.5945378151260503, 0.7817460317460319]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.04166667 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.21969697 0.06818182 0.         0.         0.         0.
 0.         0.         0.         0.         0.02272727 0.
 0.41666667 0.04166667 0.         0.         0.125      0.        ]"
4,3.0,2.0,208.0,208,0.6190692110177404,2024-02-15 22:36:19.759456,2024-02-15 22:36:25.346540,0 days 00:00:05.587084,True,absolute_error,0.0314619396561233,18,0.9284768919467096,94,0.0824657267467843,17,5,RandomForest,121,False,False,COMPLETE,"[0.5972222222222222, 0.537142857142857, 0.6365546218487395, 0.7053571428571428]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0625     0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.14583333 0.125      0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.5625     0.0625     0.         0.         0.         0.        ]"
6,4.0,445.0,,145,0.6172455648926237,2024-02-16 16:42:41.543687,2024-02-16 16:42:46.638148,0 days 00:00:05.094461,True,absolute_error,0.0279743714050111,31,0.9986792490005508,61,0.0825958603070618,15,16,RandomForest,108,False,False,COMPLETE,"[0.5972222222222222, 0.537142857142857, 0.6123949579831932, 0.7222222222222222]","[0.         0.         0.03125    0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03125    0.         0.         0.         0.03125    0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.14583333 0.0625     0.03125    0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.58333333 0.04166667 0.         0.         0.         0.        ]"
5,745.0,,,145,0.6172455648926237,2024-02-16 16:42:41.543687,2024-02-16 16:42:46.638148,0 days 00:00:05.094461,True,absolute_error,0.0279743714050111,31,0.9986792490005508,61,0.0825958603070618,15,16,RandomForest,108,False,False,COMPLETE,,
7,5.0,477.0,,177,0.6167746265172735,2024-02-16 16:45:22.958225,2024-02-16 16:45:28.326495,0 days 00:00:05.368270,True,absolute_error,0.0234574132404497,25,0.9470685063606874,60,0.0795682687484909,17,18,RandomForest,118,False,False,COMPLETE,"[0.5823412698412699, 0.5095238095238095, 0.5934873949579832, 0.7817460317460319]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01923077 0.04166667 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.21794872 0.05769231 0.01923077 0.         0.         0.
 0.         0.         0.         0.         0.01923077 0.
 0.41666667 0.04166667 0.         0.         0.125      0.        ]"
8,777.0,,,177,0.6167746265172735,2024-02-16 16:45:22.958225,2024-02-16 16:45:28.326495,0 days 00:00:05.368270,True,absolute_error,0.0234574132404497,25,0.9470685063606874,60,0.0795682687484909,17,18,RandomForest,118,False,False,COMPLETE,,
9,6.0,3.0,262.0,262,0.6166258169934641,2024-02-15 22:41:19.515404,2024-02-15 22:41:24.514912,0 days 00:00:04.999508,True,absolute_error,0.0236068604034756,12,0.996930339692784,47,0.0842193487863422,15,3,RandomForest,109,False,False,COMPLETE,"[0.5972222222222222, 0.5, 0.6470588235294118, 0.7222222222222222]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18333333 0.1        0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.33333333 0.04166667 0.         0.         0.         0.        ]"
10,7.0,4.0,210.0,210,0.6161805555555555,2024-02-15 22:36:31.745346,2024-02-15 22:36:37.254328,0 days 00:00:05.508982,True,absolute_error,0.0315949306887529,17,0.9262427941943888,100,0.0830806258341534,17,4,RandomForest,122,False,False,COMPLETE,"[0.5972222222222222, 0.537142857142857, 0.625, 0.7053571428571428]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0625     0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.14583333 0.125      0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.5625     0.0625     0.         0.         0.         0.        ]"
11,8.0,475.0,,175,0.6159868113912231,2024-02-16 16:45:11.152231,2024-02-16 16:45:16.779262,0 days 00:00:05.627031,True,absolute_error,0.0251145253006895,24,0.949234416467928,60,0.0795039041536297,17,18,RandomForest,120,False,False,COMPLETE,"[0.5823412698412699, 0.5095238095238095, 0.5903361344537814, 0.7817460317460319]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02083333 0.04166667 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.22916667 0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.02083333 0.
 0.41666667 0.04166667 0.         0.         0.125      0.        ]"
12,775.0,,,175,0.6159868113912231,2024-02-16 16:45:11.152231,2024-02-16 16:45:16.779262,0 days 00:00:05.627031,True,absolute_error,0.0251145253006895,24,0.949234416467928,60,0.0795039041536297,17,18,RandomForest,120,False,False,COMPLETE,,
13,1013.0,,,413,0.6157358776844071,2024-02-16 20:55:52.390914,2024-02-16 20:55:57.764100,0 days 00:00:05.373186,True,absolute_error,0.0255057124217437,19,0.7919052227139599,18,0.0817193623905013,15,15,RandomForest,112,False,False,COMPLETE,"[0.5972222222222222, 0.5, 0.6008403361344539, 0.7648809523809523]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03571429 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05       0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.24285714 0.07142857 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.3        0.05       0.         0.         0.         0.        ]"
14,10.0,6.0,287.0,287,0.6153565592903828,2024-02-15 22:43:41.588789,2024-02-15 22:43:49.259183,0 days 00:00:07.670394,True,absolute_error,0.0190999247525815,12,0.9676479868296392,51,0.0848961082700902,15,4,RandomForest,196,False,False,COMPLETE,"[0.5922619047619048, 0.5, 0.6449579831932774, 0.7242063492063492]","[0.         0.         0.         0.         0.         0.
 0.02777778 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02777778 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08333333 0.27777778 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18055556 0.02777778 0.         0.         0.125      0.        ]"
15,9.0,5.0,284.0,284,0.6153565592903828,2024-02-15 22:43:20.266740,2024-02-15 22:43:27.837859,0 days 00:00:07.571119,True,absolute_error,0.023671118312363,12,0.9759060143124272,49,0.0856576698740189,15,4,RandomForest,196,False,False,COMPLETE,"[0.5922619047619048, 0.5, 0.6449579831932774, 0.7242063492063492]","[0.         0.         0.         0.         0.         0.
 0.02777778 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02777778 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08333333 0.27777778 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.18055556 0.02777778 0.         0.         0.125      0.        ]"
