,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
187,187,0.704126781353289,2024-02-18 22:48:51.758884,2024-02-18 22:48:57.157512,0 days 00:00:05.398628,True,absolute_error,0.027290099094914904,47,0.28714247175206875,42,0.04344614512021253,8,3,RandomForest,80,False,False,COMPLETE,"[0.8306451612903226, 0.6956521739130435, 0.5594405594405594, 0.7307692307692308]","[0.02272727 0.         0.         0.0148934  0.         0.02777778
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.13888889 0.         0.
 0.02272727 0.02272727 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.11300505 0.         0.         0.02272727 0.
 0.29950054 0.         0.02777778 0.         0.         0.08333333
 0.         0.04545455 0.02272727 0.0625     0.02272727 0.
 0.         0.02777778 0.         0.         0.         0.02272727]"
384,384,0.6913091291597602,2024-02-18 23:07:17.568674,2024-02-18 23:07:22.655564,0 days 00:00:05.086890,True,absolute_error,0.03209895150386955,44,0.4176027799662169,22,0.0461161884896923,20,4,RandomForest,73,False,False,COMPLETE,"[0.7876344086021505, 0.6594202898550724, 0.6171328671328671, 0.7010489510489509]","[0.05 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.9  0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.05 0.  ]"
221,221,0.6899603435367812,2024-02-18 22:52:06.142706,2024-02-18 22:52:11.972922,0 days 00:00:05.830216,True,absolute_error,0.019608089824335886,48,0.3937978544451429,21,0.04319686037566286,20,3,RandomForest,87,False,False,COMPLETE,"[0.8172043010752688, 0.6594202898550724, 0.5821678321678323, 0.7010489510489509]","[0.02083333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.02083333 0.
 0.79166667 0.02083333 0.0625     0.         0.         0.
 0.02083333 0.         0.         0.02083333 0.         0.
 0.         0.         0.         0.         0.04166667 0.        ]"
172,172,0.6896266718321415,2024-02-18 22:47:31.876304,2024-02-18 22:47:37.020081,0 days 00:00:05.143777,True,absolute_error,0.028903843328678434,47,0.377682926155518,36,0.044364242848010965,20,2,RandomForest,80,False,False,COMPLETE,"[0.7983870967741935, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.79166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.08333333 0.        ]"
421,421,0.688954628821389,2024-02-18 23:10:25.933726,2024-02-18 23:10:31.231161,0 days 00:00:05.297435,True,absolute_error,0.03531668000383062,47,0.3011261206985947,35,0.04531257083618234,19,2,RandomForest,84,False,False,COMPLETE,"[0.7956989247311828, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.83333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.         0.        ]"
173,173,0.6876105427998835,2024-02-18 22:47:37.038298,2024-02-18 22:47:42.035321,0 days 00:00:04.997023,True,absolute_error,0.03314725980899146,47,0.3708727326417875,35,0.044345601844408354,19,2,RandomForest,80,False,False,COMPLETE,"[0.7903225806451613, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.79166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.08333333 0.        ]"
154,154,0.6869384997891309,2024-02-18 22:46:07.888827,2024-02-18 22:46:12.917688,0 days 00:00:05.028861,True,absolute_error,0.029591749359976036,50,0.35955174885247765,49,0.04417067672945942,20,3,RandomForest,71,False,False,COMPLETE,"[0.7876344086021506, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05       0.
 0.76666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.05       0.        ]"
165,165,0.6869384997891308,2024-02-18 22:46:59.786522,2024-02-18 22:47:04.596601,0 days 00:00:04.810079,True,absolute_error,0.03127191016839714,46,0.38012015906375274,38,0.044161721994371905,20,2,RandomForest,75,False,False,COMPLETE,"[0.7876344086021505, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.81666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.05       0.        ]"
162,162,0.6869384997891308,2024-02-18 22:46:45.471124,2024-02-18 22:46:50.276838,0 days 00:00:04.805714,True,absolute_error,0.029916009362322006,48,0.36621138002487746,40,0.043840250381209214,20,2,RandomForest,74,False,False,COMPLETE,"[0.7876344086021505, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.81666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.05       0.        ]"
251,251,0.6869384997891308,2024-02-18 22:54:43.122576,2024-02-18 22:54:48.176676,0 days 00:00:05.054100,True,absolute_error,0.028780144425572314,21,0.3689486453557558,24,0.04399912492553368,20,4,RandomForest,82,False,False,COMPLETE,"[0.7876344086021505, 0.6594202898550724, 0.5996503496503498, 0.7010489510489509]","[0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.81666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.05       0.        ]"
