,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-100.47757753948395,206.9551550789679,1.557665444671157,,,,,,,,,0.6849628217589225,0.705,0.47089003589003586,0.10950025691342707,0.3584,0.45344827586206904,0.22001988684103116,0.3924,0.01828328273533525,0.09427595927685242,0.5000596221556222,[0.42926869 0.55551967 0.55128686 ... 0.47591649 0.52408351 0.49906464],0.4231850120041776,[0.33389118 0.63090086 0.37049664 ... 0.46329441 0.44746772 0.36253008],0.005642281883942007,"[-0.01026954  0.0916821   0.08347629 ... -0.01862313  0.00048309
 -0.01053084]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
1,wSMI_1_std,-98.83949873255207,203.67899746510415,0.552783812483923,,,,,,,,,0.12288244449936163,0.0928,0.598941428941429,0.10993899950007566,0.052,0.5165266496788236,0.10906985509060191,0.2096,0.057667328285885,0.1314063879401615,0.49914959174159174,[0.51693159 0.55523773 0.58116365 ... 0.5730155  0.55523773 0.55523773],0.40575642246217775,[0.42332309 0.51507576 0.38496482 ... 0.47671415 0.28276498 0.48123268],-0.010011465952089514,[0.00923644 0.06269386 0.06642083 ... 0.0873437  0.03267641 0.05548056],0.99076660453162,p > 0.05,0.8351999999999999,p > 0.05,0.936,p > 0.05,0.9784,p > 0.05
2,wSMI_2_mean,-100.56005680752938,207.12011361505876,0.38837261556085706,,,,,,,,,0.9189348827720026,1.0,0.36220658970658964,0.05021872306793979,0.8928,0.3108622456448543,0.22138691781045092,0.7178,-0.039369178430910846,0.0997213730168203,0.5004814184704184,[0.59233886 0.47446008 0.57646585 ... 0.55803151 0.47752405 0.48742304],0.38024793685260466,[0.54472114 0.32986559 0.43804171 ... 0.48144441 0.46314178 0.4455058 ],-0.001968533619503977,"[ 0.08798708 -0.08941273  0.08598202 ... -0.00441354  0.05798319
  0.01604721]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
3,wSMI_2_std,-100.51878545286128,207.03757090572256,-0.11575022406600033,,,,,,,,,0.7636059493359664,0.7342,0.4771022496022496,0.10034037105294952,0.8974,0.3365227585091762,0.25894862906755434,0.7352,-0.04032258064516129,0.09016403135079798,0.5012459153809153,[0.49710225 0.47710225 0.51136151 ... 0.49800357 0.50199643 0.47488003],0.40908519443306085,[0.45625083 0.320003   0.44715188 ... 0.39043216 0.45020791 0.35330384],-0.005266534663808541,"[-0.03858597 -0.07570548 -0.01472413 ... -0.00218431 -0.00124076
 -0.04970382]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
4,wSMI_4_mean,-100.47018420526965,206.9403684105393,1.3778990781423999,,,,,,,,,0.6689129048075,0.8628,0.4308538221038221,0.11215966804993208,0.8064,0.3699695366362033,0.22618932191707553,0.6524,0.005423567509863818,0.03707898293400744,0.5003765794575795,[0.53677845 0.47155488 0.4288697  ... 0.48303507 0.51312766 0.54933266],0.4223058510028791,[0.37529401 0.40217102 0.48996958 ... 0.36792739 0.3759549  0.42436737],0.036680614200067865,"[ 0.04671665  0.00097795 -0.03816151 ... -0.01674099 -0.05434693
  0.1182249 ]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
5,wSMI_4_std,-100.35141658933266,206.70283317866532,0.12275733113634055,,,,,,,,,0.6882405664956082,0.0154,0.5733165908165908,0.034662978854680615,0.8572,0.3454415954415955,0.2551127745512225,0.0514,0.0542657489769268,0.09869542236354018,0.5005086327746328,[0.57331659 0.51109437 0.4603342  ... 0.5396658  0.53702029 0.44520193],0.4021852373454383,[0.5790028  0.31544054 0.38516746 ... 0.35690927 0.43998682 0.35861985],-0.010974028161395423,"[ 0.10421103 -0.05182268 -0.07859824 ... -0.01996186  0.02297279
 -0.08271656]",0.99076660453162,p > 0.05,0.8316000000000001,p < 0.05 uncorrected,0.9986,p > 0.05,0.9784,p > 0.05
6,wSMI_8_mean,-100.46664243546788,206.93328487093575,1.5122771150950824,,,,,,,,,0.6652947719193745,0.7354,0.4614877714877714,0.14317268570628178,0.6138,0.3754441697990085,0.22285732523059817,0.6146,-0.026605479681819883,0.07385041582057386,0.4998536811706812,[0.48730788 0.55341899 0.5867662  ... 0.37315444 0.46880323 0.57406778],0.3897171348567719,[0.31765807 0.32066943 0.40762143 ... 0.42251923 0.46583573 0.445767  ],-0.0112267846305297,"[-0.02380822 -0.04344463  0.01974569 ... -0.04884424 -0.02596805
  0.0213025 ]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
7,wSMI_8_std,-100.56504472092928,207.13008944185856,-0.02238067702349167,,,,,,,,,0.9438380443770157,0.9522,0.42693995818995817,0.07871105340424984,0.7284,0.3568340391207905,0.2579865763741116,0.6106,-0.033659989675628554,0.05112340871629037,0.5000232449032448,[0.51988544 0.50471774 0.56351403 ... 0.51194893 0.50795848 0.51426375],0.39482344364924765,[0.44640669 0.35654521 0.41202513 ... 0.35905289 0.4055324  0.41778528],-0.01987910996893702,"[ 0.05222471 -0.07726966 -0.00237511 ...  0.01324456 -0.02954468
  0.05567726]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
8,p_e_1_mean,-100.4040034403681,206.8080068807362,3.3285867756238297,,,,,,,,,0.5675932472319274,0.2582,0.5293453768453769,0.09925505721018232,0.6564,0.3805589764641489,0.2743131984717703,0.5988,-0.03233230994670011,0.04545012016366048,0.5006186456876456,[0.5465676  0.59045649 0.5265676  ... 0.46045649 0.54378982 0.51232129],0.4167751497177356,[0.37014849 0.40845638 0.40734283 ... 0.38325379 0.3821662  0.41379953],-0.009710705584614203,"[ 0.02248132  0.11546162  0.10593049 ...  0.05129281  0.03564037
 -0.04546114]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
9,p_e_1_std,-100.11247351410869,206.22494702821737,0.20948446690831654,,,,,,,,,0.5190490010981454,0.2156,0.5461285473785473,0.12303068264438037,0.347,0.4237967914438503,0.19492245840617903,0.6484,-0.033166440567221935,0.08571421902909628,0.4990360921115921,[0.45426828 0.49406506 0.52112855 ... 0.51390633 0.45492484 0.52073172],0.3995365230523876,[0.44158816 0.37521797 0.47768528 ... 0.32115883 0.36796817 0.45626479],-0.019371811813488522,"[-0.01588752 -0.10340654  0.00364644 ... -0.11141234 -0.09094156
  0.00942278]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
10,p_e_2_mean,-99.98628059933606,205.9725611986721,6.612648281754712,,,,,,,,,0.27236921156575117,0.3048,0.524493931993932,0.10165807448116168,0.145,0.5074404761904762,0.1299452409884662,0.1704,0.07394380382714015,0.11010810179529033,0.4991081910681911,[0.50020822 0.47550607 0.53261563 ... 0.5411606  0.44865422 0.44534734],0.41978006360301895,[0.31383368 0.28652276 0.40656244 ... 0.42398195 0.38657086 0.2537331 ],0.00859215218535968,"[-0.00928793  0.          0.08409962 ...  0.10170701 -0.00188248
  0.019702  ]",0.99076660453162,p > 0.05,0.8613000000000001,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
11,p_e_2_std,-100.56399639569811,207.12799279139622,-0.010797086685137201,,,,,,,,,0.9735050426990896,0.8252,0.47952168202168205,0.051773903447281076,0.9838,0.27827903091060985,0.2824196176243161,0.2992,-0.014792899408284025,0.03307792866123949,0.4997498632848633,[0.49499787 0.50992276 0.53573861 ... 0.52047832 0.5182561  0.48584869],0.38784508900511244,[0.37940386 0.34908367 0.40951355 ... 0.39409392 0.41343254 0.46472529],-0.03164332693588297,"[-0.01619084 -0.06338319 -0.00354755 ... -0.06638164 -0.04511629
 -0.07123342]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
12,p_e_4_mean,-100.56405474892415,207.1281094978483,0.48001775433065874,,,,,,,,,0.9660903767273546,1.0,0.3784800847300847,0.0511208535540657,0.9192,0.29772022332506204,0.2257011282988764,0.8736,-0.09978213507625273,0.15559716249675348,0.49913474488474485,[0.4344986  0.51794849 0.57140337 ... 0.54096436 0.52649596 0.53216806],0.4024065303194666,[0.44077961 0.29902066 0.55514084 ... 0.50180463 0.36379928 0.29570437],-0.006001052088636857,"[-0.01102288 -0.02720462  0.05226303 ...  0.08547313  0.00176525
  0.05756065]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
13,p_e_4_std,-100.56416889231241,207.12833778462482,-0.006890474588012799,,,,,,,,,0.9869803460739734,1.0,0.39201548451548457,0.05016288354116799,0.8086,0.3516551796157059,0.20411293420718526,0.9346,-0.07259671438752759,0.11277187978519523,0.5000027560217559,[0.44201548 0.52854007 0.39598374 ... 0.57020674 0.53020674 0.53457182],0.412539373771898,[0.30966305 0.43389118 0.28317297 ... 0.46453136 0.44357914 0.5023336 ],0.014156913990798136,"[-0.06332185  0.10153624 -0.13249295 ...  0.03850824  0.03143282
  0.11365292]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
14,p_e_8_mean,-99.9536931151729,205.9073862303458,-9.391189064237889,,,,,,,,,0.2736031279289961,0.0912,0.5485452047952049,0.06534172311316948,0.3772,0.43075920495275327,0.22254545195981992,0.1004,0.07234088745005833,0.10996461850207985,0.4999185320235319,[0.51660076 0.49312146 0.51660076 ... 0.48617702 0.44728813 0.48339924],0.4010500132945962,[0.30503565 0.52040538 0.30559451 ... 0.45419201 0.38328711 0.47332317],0.021697381025270267,"[ 0.04223027  0.0043777   0.05094779 ... -0.02555521 -0.02024293
 -0.00833651]",0.99076660453162,p > 0.05,0.8351999999999999,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
15,p_e_8_std,-100.46980694289395,206.9396138857879,0.10936299847237477,,,,,,,,,0.7653807458430558,0.7064,0.4556600344100344,0.13885368852781962,0.8134,0.3479717249218528,0.14737316669103356,0.7472,-0.07719429224259589,0.06002540370571667,0.5010936894771895,[0.58681083 0.60704892 0.46322885 ... 0.40128441 0.46180028 0.55843781],0.4134926009721063,[0.42439386 0.47678084 0.36820037 ... 0.38925112 0.36216943 0.45959041],-0.021376459073272416,"[ 0.05673992  0.09518409 -0.05612112 ... -0.09705007 -0.03961938
  0.06241531]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
16,k_mean,-100.47463257649783,206.94926515299565,6.872889946287122,,,,,,,,,0.668027137026479,0.8918,0.43572136197136196,0.10709735247759271,0.6716,0.39222505889172554,0.19532445302914492,0.8484,-0.07504613183763997,0.1277071540903271,0.5000888861693862,[0.55139597 0.46917374 0.49721515 ... 0.42016581 0.48433247 0.42056263],0.41664406212074273,[0.33446075 0.35911878 0.41525947 ... 0.45424704 0.40360267 0.43440207],0.003187935065355159,"[-0.01831807 -0.06272434  0.02492319 ... -0.01960119 -0.14021617
 -0.08532978]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
17,k_std,-99.91544658598771,205.83089317197542,0.32075355398313776,,,,,,,,,0.37775975316222093,0.1098,0.5690415602915603,0.10485445052104207,0.32,0.46168788750024453,0.11878987874490227,0.4062,0.016445693846423377,0.13848503674586302,0.5007080817515818,[0.45905479 0.39413415 0.53697696 ... 0.53437114 0.57531029 0.54984733],0.43053602330648627,[0.45914687 0.40105509 0.48624681 ... 0.47351838 0.46756253 0.497331  ],-0.0008550663414280843,"[-0.00027082 -0.11219642  0.05113103 ... -0.02086099 -0.02331263
  0.12528444]",0.99076660453162,p > 0.05,0.8470285714285715,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
18,se_mean,-100.50668187846618,207.01336375693236,-2.803657298881939,,,,,,,,,0.7337358172277632,0.8084,0.4439026714026714,0.1308821149903987,0.893,0.35006498877466624,0.20234616076420095,0.8672,-0.07743983696913308,0.12286444497862281,0.5002333750323751,[0.46863812 0.53252701 0.4998286  ... 0.56406029 0.48871749 0.55882331],0.4280868204568529,[0.31857143 0.48665174 0.3992674  ... 0.41198642 0.45272143 0.47646631],0.006381212239895277,"[-0.0239667   0.03666453 -0.11280187 ...  0.04193722 -0.04330722
  0.01382596]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
19,se_std,-100.07893589100985,206.1578717820197,0.2974362216356299,,,,,,,,,0.44088992945476374,0.2382,0.5410527435527436,0.13810448036026457,0.352,0.4504911406007898,0.16578199876425392,0.2656,0.04144104874630685,0.11351785253570297,0.49998616587116596,[0.49197867 0.59548165 0.39803687 ... 0.63437054 0.4986298  0.56228059],0.4260263628928167,[0.37429627 0.49728272 0.34234413 ... 0.56934727 0.35269841 0.39830315],-0.0032995586857371677,"[-0.04585351  0.0937735  -0.03512674 ...  0.17091547  0.03508998
 -0.03088278]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
20,msf_mean,-100.56404832032311,207.12809664064622,0.008270995555015384,,,,,,,,,0.99076660453162,0.8938,0.424292883042883,0.12853666025157245,0.7318,0.3531894251758428,0.25927949417803087,0.859,-0.041666666666666664,0.09316949906249124,0.4995547639027639,[0.55357749 0.56413304 0.54054839 ... 0.42429288 0.57570712 0.54008542],0.39495279957642904,[0.32589342 0.36388889 0.51275442 ... 0.44731431 0.23314794 0.43497153],0.010304448799400357,"[ 0.0979098   0.09646591  0.03174157 ... -0.03466421 -0.00889991
  0.0548106 ]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
