,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-45.3732023371294,96.7464046742588,3.365094755511067,,,,,,,,,0.47019436851746466,0.5128,0.5023015873015874,0.19584312305663548,0.8032,0.4849439775910364,0.22089869664610176,0.9478,-0.09062499999999996,0.12203515118604141,0.5015541587301587,[0.58007937 0.50785714 0.34119048 ... 0.52214286 0.57547619 0.51674603],0.5454254290984786,[0.61148223 0.44166667 0.50891813 ... 0.52596358 0.47557998 0.53137255],0.01763633355338054,"[-0.01845862 -0.00917544 -0.03982082 ...  0.03668191  0.04109213
  0.03426072]",0.9006235746614957,p > 0.05,0.8112342857142858,p > 0.05,0.8504470588235294,p > 0.05,0.9496,p > 0.05
1,wSMI_1_std,-44.10526522821487,94.21053045642974,0.8472172436225421,,,,,,,,,0.04731687965732018,0.0776,0.6381349206349206,0.17554581853217702,0.3266,0.5906746031746032,0.16215610839417663,0.1256,0.10057066275058357,0.1860035892196547,0.498416873015873,[0.34480159 0.53297619 0.49242063 ... 0.54480159 0.40480159 0.40353175],0.5530522852322542,[0.63332289 0.5943378  0.60281385 ... 0.54398567 0.59278565 0.55618687],-0.002180989521920676,"[-0.04226687  0.07497597  0.01171335 ...  0.06331146 -0.06524217
  0.01003205]",0.9006235746614957,p < 0.05 uncorrected,0.35562857142857146,p > 0.05,0.7429263157894738,p > 0.05,0.45215999999999995,p > 0.05
2,wSMI_2_mean,-45.61444646154611,97.22889292309222,-0.9946488674528126,,,,,,,,,0.8857499047425073,0.9822,0.4086904761904762,0.08658330959910109,0.0416,0.6422514619883041,0.06137043107948631,0.4512,-0.03705853894533143,0.0674126875893717,0.500815507936508,[0.41980159 0.47535714 0.48297619 ... 0.4309127  0.53575397 0.54964286],0.5733169398406317,[0.55561497 0.61447368 0.57114413 ... 0.59109477 0.50862193 0.57373737],-0.048378713772286065,"[-0.15685021 -0.07039187 -0.04527566 ... -0.10262409 -0.1221802
 -0.01735544]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7429263157894738,p < 0.05 uncorrected,0.7959272727272727,p > 0.05
3,wSMI_2_std,-44.866224969227964,95.73244993845593,0.6873097887376748,,,,,,,,,0.1801083175525385,0.1882,0.5750396825396827,0.1377589238526238,0.0986,0.6342338217338218,0.1248325639181269,0.1006,0.0786899486781562,0.26947921098155597,0.5007323015873016,[0.58615079 0.4877381  0.59448413 ... 0.49884921 0.48496032 0.58615079],0.5601370459548478,[0.65277778 0.51405678 0.57852934 ... 0.59722222 0.55445527 0.58926001],-0.029281520604056276,"[ 0.04137283 -0.03176638  0.07539005 ... -0.04006907 -0.04565388
 -0.00512821]",0.9006235746614957,p > 0.05,0.4662782608695652,p > 0.05,0.7429263157894738,p > 0.05,0.45215999999999995,p > 0.05
4,wSMI_4_mean,-45.09735152890196,96.19470305780392,-4.282944042817673,,,,,,,,,0.338765449869583,0.2268,0.5273015873015873,0.06507549349691845,0.7366,0.5438492063492063,0.04361334974106186,0.9124,-0.1402780910446005,0.16471054699238474,0.5001996825396825,[0.48603175 0.45269841 0.53936508 ... 0.52507937 0.47492063 0.49396825],0.5669127582585399,[0.54294872 0.60931373 0.63911171 ... 0.54695767 0.49722222 0.59785354],-0.04351832556535026,"[-0.21135115  0.00513763  0.07715358 ...  0.00207795 -0.07668998
  0.04560039]",0.9006235746614957,p > 0.05,0.5103000000000001,p > 0.05,0.8504470588235294,p > 0.05,0.9496,p > 0.05
5,wSMI_4_std,-45.584786562899836,97.16957312579967,0.04604608527876491,,,,,,,,,0.8980008127087076,0.828,0.4159126984126984,0.21551939480336144,0.887,0.512037037037037,0.1562210192602473,0.9006,-0.11676025368442099,0.22491909012110353,0.49852420634920636,[0.48924603 0.58924603 0.32257937 ... 0.49646825 0.54924603 0.43686508],0.5814119366738639,[0.58118687 0.58813131 0.50572067 ... 0.63293651 0.51838624 0.57364164],0.0009981568124858007,"[-0.05694333 -0.0313023  -0.13960444 ... -0.00988667 -0.09119936
  0.01128637]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.887,p > 0.05,0.9496,p > 0.05
6,wSMI_8_mean,-45.59940375329276,97.19880750658552,-0.8299370347290588,,,,,,,,,0.839549223171162,1.0,0.4381349206349207,0.04889180379374541,0.7544,0.5188492063492064,0.23367465385093814,0.5944,-0.004761904761904782,0.010647942749999044,0.5002960634920635,[0.46313492 0.47146825 0.5190873  ... 0.50480159 0.45869048 0.46980159],0.5707204085869411,[0.63458995 0.55588624 0.53311966 ... 0.48946886 0.64252646 0.63458995],0.005584230742103543,"[-0.01618936  0.04061962  0.08445874 ... -0.01551459  0.0594193
 -0.01618936]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.8504470588235294,p > 0.05,0.8675027027027027,p > 0.05
7,wSMI_8_std,-45.5366768041465,97.073353608293,0.2859079449258567,,,,,,,,,0.5335352104833755,0.5622,0.4918253968253969,0.19390376723999314,0.5224,0.5347222222222222,0.23985994498847976,0.2924,0.019607843137254905,0.04384447014705472,0.49951419047619045,[0.54071429 0.41404762 0.40928571 ... 0.38626984 0.47484127 0.44261905],0.542385452272186,[0.49909812 0.48829365 0.44801587 ... 0.55325312 0.60145503 0.4702381 ],-0.03641650784460847,"[ 0.00922533  0.00421245 -0.13553114 ... -0.17061963 -0.05115239
 -0.08560049]",0.9006235746614957,p > 0.05,0.8205081081081081,p > 0.05,0.7429263157894738,p > 0.05,0.7475478260869566,p > 0.05
8,p_e_1_mean,-45.47124914408504,96.94249828817009,-3.9507436649822667,,,,,,,,,0.5902068586110127,0.1968,0.568015873015873,0.17487289772944306,0.219,0.6070241892610314,0.11591443640583213,0.4458,-0.0091324200913242,0.02042071212328575,0.49891879365079367,[0.56801587 0.46134921 0.5497619  ... 0.50531746 0.44468254 0.47753968],0.5445745924193912,[0.5145202  0.40145503 0.64665033 ... 0.56331699 0.48484848 0.48891223],-0.01953523576667852,"[ 0.00295921 -0.02083333  0.05450114 ... -0.07193564 -0.01769006
 -0.11458333]",0.9066189480895138,p > 0.05,0.4662782608695652,p > 0.05,0.7429263157894738,p > 0.05,0.7959272727272727,p > 0.05
9,p_e_1_std,-44.64764450890747,95.29528901781494,-0.3370463483350808,,,,,,,,,0.4243211967921152,0.0888,0.5686904761904762,0.07685520419065128,0.451,0.5626984126984127,0.0932497466116358,0.082,0.054787166856132295,0.14931181322273482,0.5005327777777778,[0.56869048 0.53535714 0.58297619 ... 0.48964286 0.52464286 0.53535714],0.5545162666911119,[0.575      0.57617244 0.62221178 ... 0.63768797 0.51923077 0.54026734],-0.025098640816235297,"[-0.04506641 -0.02261876 -0.00931329 ...  0.03823529 -0.04728003
 -0.03124312]",0.9006235746614957,p > 0.05,0.35562857142857146,p > 0.05,0.7429263157894738,p > 0.05,0.45215999999999995,p > 0.05
