,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range
0,wSMI_1_mean,0.4883064293414643,0.10062976201901248,0.045002997686827674,0.2793609082428959
1,wSMI_1_std,0.4529609120035422,0.06507926905849798,0.029104333908160043,0.17764276763336923
2,wSMI_2_mean,0.5157431799579919,0.06877288065200869,0.0307561672292743,0.20709067940901837
3,wSMI_2_std,0.4420626208175061,0.07244407842135042,0.032397976783493036,0.20368333039957753
4,wSMI_4_mean,0.4971176404334786,0.09123575971957142,0.040801872142359766,0.2437327872325401
5,wSMI_4_std,0.5152096078688817,0.1132117990748227,0.05062985571727027,0.3235351028956474
6,wSMI_8_mean,0.5826610008586445,0.026163241411919537,0.011700557261757932,0.06742197173970899
7,wSMI_8_std,0.48109249754310807,0.13216193967970485,0.05910461623240936,0.33898083227098874
8,p_e_1_mean,0.4853488445245044,0.07785244427569761,0.03481667152299484,0.2297971323095439
9,p_e_1_std,0.5146414090122555,0.04810282959069272,0.02151223937497546,0.1377272477618498
10,p_e_2_mean,0.4774920437921243,0.10211834854448464,0.045668713819096866,0.2848200140820278
11,p_e_2_std,0.43827440591880223,0.08258591172478201,0.036933542520081894,0.2581562036579337
12,p_e_4_mean,0.4876502006986462,0.049711411178382736,0.022231618930461345,0.11157404138125832
13,p_e_4_std,0.5258782116016244,0.08584282151612999,0.038390076858089636,0.2344663742690059
14,p_e_8_mean,0.5004852730168832,0.0970273773944391,0.04339196230649845,0.26609105180533754
15,p_e_8_std,0.4505155012517724,0.10189923036643089,0.04557072119085005,0.3057755997135697
16,k_mean,0.4749515540984161,0.06298868404823428,0.028169395869021698,0.17354999119873266
17,k_std,0.4752475908131804,0.06759437014839535,0.030229121309618908,0.17063492063492064
18,se_mean,0.44863221351509364,0.08289433945324944,0.037071475593481694,0.2237289652703187
19,se_std,0.5404730262524468,0.067766552120255,0.030306123428334532,0.18061224489795918
20,msf_mean,0.5573351650078078,0.04947407487634075,0.022125478909482483,0.1448517126148705
21,msf_std,0.5088923088468746,0.08563617926748927,0.03829766363509283,0.2394580200501253
22,sef90_mean,0.5021712815440157,0.11721750533062888,0.052421262014446024,0.31439014202172094
23,sef90_std,0.47148637263631477,0.0743990542720186,0.03327226856278594,0.18271124239169362
24,sef95_mean,0.5068085616573684,0.06666726374015013,0.02981450671937651,0.17312242622801627
25,sef95_std,0.5408406565165663,0.12137431282496437,0.054280242839788974,0.3377876640852419
26,b_mean,0.5864486319134962,0.06020543429831281,0.026924688741184956,0.15335545983099114
27,b_std,0.46929569088025025,0.14898750531387253,0.06662923793598602,0.406661188968997
28,b_n_mean,0.5301191531487635,0.13279683061028255,0.05938854808822333,0.3681525241675617
29,b_n_std,0.4772637473384348,0.11618656954002347,0.05196021351279979,0.3291074053071947
30,g_mean,0.5037912193086159,0.09434827099810181,0.042193829502265516,0.22818854081077644
31,g_std,0.4158836741913114,0.05329699455247854,0.0238351405631556,0.14672096908939014
32,g_n_mean,0.4722195947004527,0.07212250096543013,0.0322541629731992,0.2110208631947763
33,g_n_std,0.4021647119540666,0.12312346228703291,0.05506248625978746,0.3562358276643991
34,t_mean,0.5391550521050927,0.03796457878823271,0.016978275781526983,0.11942345303260005
35,t_std,0.5705647223097419,0.04744753834093353,0.021219184219070993,0.11802944862155396
36,t_n_mean,0.5612675360309829,0.09515008614461293,0.042552412136863074,0.26106934001670834
37,t_n_std,0.5181024357187229,0.10279179568902161,0.04596988853798443,0.26734223101005106
38,d_mean,0.5217804927677053,0.1342679372874949,0.060046446994703455,0.3756213450292399
39,d_std,0.506566701864278,0.06860386529803313,0.030680581265128185,0.16206140350877185
40,d_n_mean,0.44907383566512526,0.06680240742181075,0.02987494481116106,0.1934765249794586
41,d_n_std,0.500937548898088,0.04839782725210255,0.02164416633979863,0.13840352194389455
42,a_n_mean,0.49926554379789545,0.06158443074186746,0.027541394698888687,0.1694235588972431
43,a_n_std,0.4307514201583039,0.10079987396144068,0.04507907406023847,0.2966374269005848
44,a_mean,0.49940543571974905,0.08224757471875145,0.036782233611124274,0.24277475696160822
45,a_std,0.5300586277806456,0.11504611105965747,0.05145018497527689,0.30963718820861674
46,CNV_mean,0.548610822888923,0.040981889028318355,0.01832765794273453,0.1075963718820862
47,CNV_std,0.48869265715750254,0.07267082815736053,0.032499382348212785,0.20643073282824842
48,P1_mean,0.5593006953049573,0.096859645682372,0.04331695040446556,0.2903263069882063
49,P1_std,0.4457187200962164,0.16231059729304662,0.07258750580316911,0.5102440356947733
50,P3a_mean,0.45720880240951906,0.12862918397969725,0.057524719853785995,0.35794053997754915
51,P3a_std,0.4811086881090591,0.06465454396350281,0.028914391071328194,0.190657454673473
52,P3b_mean,0.5288198346856544,0.13056491113702506,0.05839040335572148,0.3028441639813821
53,P3b_std,0.4964806561700237,0.10776852551254165,0.0481955497761927,0.3325212437916344
