,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,Common_lanaguage,Impact,p_corrected,significant
0,wSMI_1_mean,0.67724609375,0.41666666666666663,0.1538461538461538,0.16666666666666674,0.17177255684254666,-0.1358732440973515,0.5833333333333334,-0.8238407779205312,0.8919826600609756,p > 0.05
1,wSMI_1_std,0.05224609375,0.625,-0.641025641025641,-0.6666666666666667,-0.4101547309378588,-0.5661385170722979,0.375,0.738167832674626,0.5374849759615384,p > 0.05
2,wSMI_2_mean,0.791015625,0.5416666666666667,-0.10256410256410259,0.16666666666666674,-0.33014148170313573,-0.09058216273156768,0.4583333333333333,0.8285870940653832,0.91810546875,p > 0.05
3,wSMI_2_std,0.20361328125,0.6666666666666667,-0.4358974358974359,-0.33333333333333337,-0.6513671492503659,-0.3849741916091626,0.3333333333333333,0.8989002237049614,0.68719482421875,p > 0.05
4,wSMI_4_mean,0.791015625,0.4513888888888889,0.10256410256410259,0.0,0.30093681590646626,-0.09058216273156768,0.5486111111111112,-0.6724419262831626,0.91810546875,p > 0.05
5,wSMI_4_std,0.85009765625,0.5486111111111112,0.07692307692307687,0.33333333333333326,0.0412046950120521,-0.06793662204867575,0.4513888888888889,-0.46810303965677835,0.91810546875,p > 0.05
6,wSMI_8_mean,0.67724609375,0.5208333333333334,0.1538461538461538,0.16666666666666674,0.06413160043610146,-0.1358732440973515,0.4791666666666667,-0.8168554959894714,0.8919826600609756,p > 0.05
7,wSMI_8_std,0.26611328125,0.611111111111111,-0.3846153846153846,-0.16666666666666663,-0.4011626105630761,-0.33968311024337877,0.3888888888888889,0.7480373693331376,0.718505859375,p > 0.05
8,p_e_1_mean,0.0771484375,0.42361111111111116,0.5897435897435896,0.5,0.2913894775902955,-0.520847435706514,0.5763888888888888,-0.7429871564490403,0.5374849759615384,p > 0.05
9,p_e_1_std,0.2333984375,0.3472222222222222,0.4102564102564103,0.33333333333333326,0.6234890683037914,-0.3623286509262707,0.6527777777777778,-0.7342987647387533,0.718505859375,p > 0.05
10,p_e_2_mean,0.6220703125,0.4375,0.17948717948717952,0.33333333333333326,0.17126865303174327,-0.15851878478024342,0.5625,-1.0655427774678803,0.8839946546052632,p > 0.05
11,p_e_2_std,0.6220703125,0.42361111111111105,0.17948717948717952,0.0,0.5797630998514056,-0.15851878478024342,0.5763888888888888,-0.6478574735476138,0.8839946546052632,p > 0.05
