,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,p_corrected,significant
0,wSMI_1_mean,0.9031982421875,0.41836734693877553,-0.4897959183673469,0.1428571428571428,0.0869271891504243,-0.04194430139390739,0.9754541015625,p > 0.05
1,wSMI_1_std,0.463134765625,0.46938775510204084,-0.5918367346938775,0.1428571428571428,0.17719692334710077,-0.20972150696953695,0.9754541015625,p > 0.05
2,wSMI_2_mean,0.8077392578125,0.4846938775510204,-0.5102040816326531,-0.1428571428571429,0.2717293630066927,-0.0754997425090333,0.9754541015625,p > 0.05
3,wSMI_2_std,0.625732421875,0.4948979591836734,-0.5510204081632653,0.1428571428571428,-0.32522711190695114,-0.14261062473928512,0.9754541015625,p > 0.05
4,wSMI_4_mean,0.3575439453125,0.41326530612244894,-0.6224489795918368,0.1428571428571428,0.18440163723630085,-0.2600546686422259,0.9754541015625,p > 0.05
5,wSMI_4_std,0.71484375,0.4693877551020408,-0.5306122448979591,0.0,0.14252432857677505,-0.10905518362415922,0.9754541015625,p > 0.05
6,wSMI_8_mean,0.10400390625,0.403061224489796,-0.7346938775510203,0.5714285714285714,0.30520670671831845,-0.4446095947754184,0.9754541015625,p > 0.05
7,wSMI_8_std,0.42626953125,0.5408163265306123,-0.6020408163265306,-0.4285714285714286,-0.07683595967013021,-0.22649922752709992,0.9754541015625,p > 0.05
8,p_e_1_mean,0.9031982421875,0.5051020408163265,-0.4897959183673469,0.0,-0.06031899652119395,-0.04194430139390739,0.9754541015625,p > 0.05
9,p_e_1_std,0.0579833984375,0.3163265306122449,-0.7755102040816326,0.2857142857142858,0.7986260869111135,-0.5117204770056702,0.9754541015625,p > 0.05
10,p_e_2_mean,0.625732421875,0.49489795918367346,-0.5510204081632653,0.1428571428571428,-0.09055266380401042,-0.14261062473928512,0.9754541015625,p > 0.05
11,p_e_2_std,0.267578125,0.4030612244897959,-0.653061224489796,0.0,0.3837973609883514,-0.31038783031491474,0.9754541015625,p > 0.05
12,p_e_4_mean,0.625732421875,0.4591836734693877,-0.5510204081632653,0.1428571428571428,0.022673278349212657,-0.14261062473928512,0.9754541015625,p > 0.05
13,p_e_4_std,0.9515380859375,0.5,-0.47959183673469385,0.1428571428571428,0.03269812264781314,-0.025166580836344436,1.0,p > 0.05
14,p_e_8_mean,0.6697998046875,0.47959183673469385,-0.5408163265306123,0.1428571428571428,-0.03700706515718559,-0.1258329041817222,0.9754541015625,p > 0.05
15,p_e_8_std,0.9031982421875,0.5,-0.4897959183673469,-0.1428571428571429,0.165370186651431,-0.04194430139390739,0.9754541015625,p > 0.05
16,k_mean,1.0,0.45918367346938777,-0.4693877551020408,0.1428571428571428,-0.07644884705134193,-0.00838886027878148,1.0,p > 0.05
17,k_std,0.1937255859375,0.33163265306122447,-0.6836734693877551,0.4285714285714286,0.1995670432837472,-0.3607209919876036,0.9754541015625,p > 0.05
18,se_mean,0.6697998046875,0.5051020408163265,-0.5408163265306123,-0.1428571428571429,-0.15801299078602687,-0.1258329041817222,0.9754541015625,p > 0.05
19,se_std,0.855224609375,0.5306122448979592,-0.5,0.0,-0.11264801919392205,-0.05872202195147035,0.9754541015625,p > 0.05
20,msf_mean,0.9031982421875,0.5306122448979591,-0.4897959183673469,-0.1428571428571429,-0.17651863723229463,-0.04194430139390739,0.9754541015625,p > 0.05
21,msf_std,0.10400390625,0.5918367346938775,-0.7346938775510203,-0.2857142857142857,-0.32909399978049936,-0.4446095947754184,0.9754541015625,p > 0.05
22,sef90_mean,0.6697998046875,0.4897959183673469,-0.5408163265306123,0.1428571428571428,-0.13723002145822785,-0.1258329041817222,0.9754541015625,p > 0.05
23,sef90_std,0.3575439453125,0.423469387755102,-0.6224489795918368,0.2857142857142858,-0.08166390900638056,-0.2600546686422259,0.9754541015625,p > 0.05
