,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,Common_lanaguage,Impact,p_corrected,significant
0,wSMI_1_mean,0.7353515625,0.5325443786982249,-0.1208791208791209,-0.23076923076923073,-0.027294201510872976,-0.10660536418208974,0.46745562130177515,0.7926547549001838,0.983657525510204,p > 0.05
1,wSMI_1_std,0.039794921875,0.3313609467455621,0.6483516483516483,0.5384615384615385,0.5186508989749913,-0.5717924078857539,0.6686390532544378,-0.6452354428725665,0.6967022235576924,p < 0.05 uncorrected
2,wSMI_2_mean,0.7353515625,0.4260355029585799,0.1208791208791209,0.3846153846153846,0.06121274890370913,-0.10660536418208974,0.5739644970414202,-1.178898896496334,0.983657525510204,p > 0.05
3,wSMI_2_std,0.339599609375,0.40236686390532544,0.31868131868131866,0.23076923076923084,0.05982448745807374,-0.28105050557096384,0.5976331360946746,-0.8124933736613846,0.8335626775568182,p > 0.05
4,wSMI_4_mean,1.0,0.5207100591715976,-0.01098901098901095,0.07692307692307687,-0.016331106964139884,-0.00969139674382634,0.47928994082840237,0.6404809176433004,1.0,p > 0.05
5,wSMI_4_std,0.146484375,0.3668639053254438,0.47252747252747257,0.23076923076923084,0.22327203437726714,-0.4167300599845326,0.6331360946745562,-0.9995489485886196,0.6967022235576924,p > 0.05
6,wSMI_8_mean,0.305419921875,0.38461538461538464,0.3406593406593406,0.23076923076923084,0.30147319009442003,-0.3004332990586165,0.6153846153846154,-0.9781091356420832,0.8335626775568182,p > 0.05
7,wSMI_8_std,0.454833984375,0.4319526627218935,0.25274725274725274,0.07692307692307687,0.27485271481468276,-0.2229021251080058,0.5680473372781065,-0.8637957277820248,0.8771798270089286,p > 0.05
8,p_e_1_mean,0.146484375,0.5443786982248521,-0.47252747252747257,-0.23076923076923073,-0.1593483717134748,-0.4167300599845326,0.4556213017751479,0.7160860900387988,0.6967022235576924,p > 0.05
9,p_e_1_std,0.7353515625,0.4497041420118343,0.1208791208791209,-0.07692307692307687,0.15959495529299633,-0.10660536418208974,0.5502958579881657,-0.7101948951406221,0.983657525510204,p > 0.05
10,p_e_2_mean,0.786865234375,0.5266272189349113,-0.09890109890109894,-0.07692307692307687,-0.018482400637115027,-0.08722257069443706,0.47337278106508873,0.7504562032090506,0.983657525510204,p > 0.05
11,p_e_2_std,0.786865234375,0.5266272189349113,-0.09890109890109894,-0.07692307692307687,-0.20461580283634467,-0.08722257069443706,0.47337278106508873,0.6973483568538823,0.983657525510204,p > 0.05
12,p_e_4_mean,0.167724609375,0.5621301775147929,-0.4505494505494505,-0.3846153846153846,-0.1776197609784958,-0.39734726649687996,0.4378698224852071,0.7028773164016648,0.6967022235576924,p > 0.05
13,p_e_4_std,0.892578125,0.5029585798816567,-0.05494505494505497,-0.23076923076923073,0.07196946854043716,-0.0484569837191317,0.4970414201183432,-0.604429546885358,0.983657525510204,p > 0.05
