,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
794,794,0.6035339082214082,2024-01-04 14:24:05.022457,2024-01-04 14:24:07.251263,0 days 00:00:02.228806,10,0.3748616019181805,8,23,COMPLETE
383,383,0.6035339082214082,2024-01-04 14:08:52.071485,2024-01-04 14:08:54.190170,0 days 00:00:02.118685,9,0.383656522964662,8,23,COMPLETE
219,219,0.5998581857956857,2024-01-04 14:02:44.059257,2024-01-04 14:02:46.338748,0 days 00:00:02.279491,8,0.4993189399391147,8,31,COMPLETE
459,459,0.5989901302401303,2024-01-04 14:11:42.511895,2024-01-04 14:11:44.815607,0 days 00:00:02.303712,11,0.4934815746212772,8,31,COMPLETE
188,188,0.5989901302401303,2024-01-04 14:01:36.338231,2024-01-04 14:01:38.644778,0 days 00:00:02.306547,7,0.4862961598821215,8,31,COMPLETE
187,187,0.5989901302401303,2024-01-04 14:01:34.003685,2024-01-04 14:01:36.336859,0 days 00:00:02.333174,7,0.49059500728874467,8,31,COMPLETE
132,132,0.5989901302401303,2024-01-04 13:59:19.131311,2024-01-04 13:59:21.435288,0 days 00:00:02.303977,8,0.4929272426958008,8,31,COMPLETE
491,491,0.5989901302401303,2024-01-04 14:12:54.728829,2024-01-04 14:12:57.117103,0 days 00:00:02.388274,9,0.48224989267301543,8,31,COMPLETE
524,524,0.5961379477004477,2024-01-04 14:14:11.416545,2024-01-04 14:14:13.601983,0 days 00:00:02.185438,9,0.4979030829857171,8,26,COMPLETE
574,574,0.5961379477004477,2024-01-04 14:16:00.111765,2024-01-04 14:16:02.265845,0 days 00:00:02.154080,19,0.49840097646475434,8,26,COMPLETE
198,198,0.5961379477004477,2024-01-04 14:01:58.358615,2024-01-04 14:02:00.498468,0 days 00:00:02.139853,9,0.4832098019838613,8,26,COMPLETE
709,709,0.5950695716320716,2024-01-04 14:20:58.499344,2024-01-04 14:21:00.643523,0 days 00:00:02.144179,8,0.49244191496641837,8,26,COMPLETE
970,970,0.5950695716320716,2024-01-04 14:30:41.634501,2024-01-04 14:30:43.823559,0 days 00:00:02.189058,15,0.4995798147036016,8,26,COMPLETE
953,953,0.592999592999593,2024-01-04 14:30:03.117706,2024-01-04 14:30:05.309576,0 days 00:00:02.191870,7,0.48611639205822854,8,27,COMPLETE
426,426,0.592999592999593,2024-01-04 14:10:26.051660,2024-01-04 14:10:28.335810,0 days 00:00:02.284150,12,0.4955447704784107,8,27,COMPLETE
196,196,0.5926943426943427,2024-01-04 14:01:54.147474,2024-01-04 14:01:56.252858,0 days 00:00:02.105384,9,0.44806938820120396,8,24,COMPLETE
