,Feature,Importance
32,g_n_mean,0.1165498106333473
18,se_mean,0.07845433955429326
24,sef95_mean,0.07475711745853561
19,se_std,0.05272096074706349
22,sef90_mean,0.05027208412692149
45,a_std,0.04426864006808767
52,P3b_mean,0.041836103509531895
14,p_e_8_mean,0.03934349815439209
20,msf_mean,0.032682170158205646
11,p_e_2_std,0.02917955985134203
3,wSMI_2_std,0.026453580526723055
47,CNV_std,0.02540124328768201
7,wSMI_8_std,0.02010028081353365
13,p_e_4_std,0.017852558157457017
34,t_mean,0.01752793731970055
39,d_std,0.017399159381231
40,d_n_mean,0.017243592426183844
41,d_n_std,0.01701485429136782
44,a_mean,0.01612452638072966
25,sef95_std,0.015458048055149094
1,wSMI_1_std,0.01466228671376404
29,b_n_std,0.014022737452969216
23,sef90_std,0.013989059375332777
31,g_std,0.013288939832358643
26,b_mean,0.013008381006987453
48,P1_mean,0.012669022266413296
49,P1_std,0.01264763128630317
17,k_std,0.01118975916482637
27,b_std,0.011151208572591359
16,k_mean,0.010217527573901526
12,p_e_4_mean,0.010181895090581983
4,wSMI_4_mean,0.009180721408809454
9,p_e_1_std,0.008701820923202465
36,t_n_mean,0.008500593978532919
46,CNV_mean,0.007890811659414161
35,t_std,0.0073242936674369616
50,P3a_mean,0.007240841998000908
53,P3b_std,0.007006852339213664
0,wSMI_1_mean,0.006360638107448721
5,wSMI_4_std,0.006200186981114526
2,wSMI_2_mean,0.005795739812305924
51,P3a_std,0.005029621729012007
15,p_e_8_std,0.004812811632211898
30,g_mean,0.004368956224952442
6,wSMI_8_mean,0.004068107021166699
38,d_mean,0.00365057214539758
8,p_e_1_mean,0.0031992534921702997
37,t_n_std,0.003151954531377921
21,msf_std,0.0031484309886700593
42,a_n_mean,0.002791176984632197
43,a_n_std,0.002330008047807939
10,p_e_2_mean,0.0006698658492004744
28,b_n_mean,0.00047200407314480666
33,g_n_std,0.00043622316726790104
