,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_colsample_bytree,params_criterion,params_gamma,params_gll_early_stop_threshold,params_learning_rate,params_max_depth,params_max_features,params_max_iterations,params_min_child_weight,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_components,params_n_estimators,params_subsample,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
12,12,0.5755073737786599,2024-01-09 09:47:13.212548,2024-01-09 09:47:22.511623,0 days 00:00:09.299075,True,,absolute_error,,0.004684634329735223,,49,0.06570465917485857,47,,0.0019781632027672386,13.0,20.0,ExtraTrees,50.0,10,,True,False,COMPLETE,,
8,8,0.5529536757840046,2024-01-09 09:46:09.535165,2024-01-09 09:46:21.899686,0 days 00:00:12.364521,,0.6897478014803478,,1.866588387448682e-07,0.04520924408599421,0.0937287717139072,5,,53,6.0,,,,XGBoost,12.0,158,0.9762597426848254,True,False,COMPLETE,,
14,14,0.5445612358655838,2024-01-09 17:11:09.039906,2024-01-09 17:11:19.781378,0 days 00:00:10.741472,,0.7168414246842011,,3.724494890318624e-08,0.012088565652479774,0.25982013681764016,4,,36,6.0,,,,XGBoost,54.0,232,0.5115282632041914,True,False,COMPLETE,"[0.5423076923076924, 0.5423076923076923, 0.5490683229813665]","[0.04003783 0.00996517 0.01759447 0.01447604 0.02359276 0.01891759
 0.10363185 0.01634167 0.04482866 0.00389568 0.00732109 0.01884541
 0.00308517 0.03847631 0.00545712 0.01715836 0.00332801 0.04595884
 0.02711485 0.02395167 0.00800579 0.01854367 0.00068465 0.03737761
 0.00840384 0.03674442 0.02762722 0.0102636  0.00261804 0.01767088
 0.0029548  0.00596253 0.00436541 0.02049925 0.03621949 0.00349745
 0.00985744 0.00381268 0.02371527 0.01440814 0.00770466 0.00631858
 0.01265979 0.01400603 0.002836   0.01214954 0.00639581 0.01728104
 0.01505422 0.01080375 0.01124322 0.04968316 0.0534538  0.0031997 ]"
6,6,0.539800105220754,2024-01-09 09:45:09.368985,2024-01-09 09:45:23.366185,0 days 00:00:13.997200,True,,squared_error,,0.001601738396381983,,41,0.015254155577618516,54,,0.013692028786477607,20.0,6.0,ExtraTrees,50.0,88,,True,False,COMPLETE,,
5,5,0.5225180246398169,2024-01-09 09:44:11.710882,2024-01-09 09:45:09.350846,0 days 00:00:57.639964,,0.7833656444720261,,0.002607454489826984,0.0012053531703484675,0.05926335749511847,7,,23,1.0,,,,XGBoost,38.0,364,0.7660329748904675,True,True,COMPLETE,,
4,4,0.505624957981301,2024-01-09 09:43:46.774048,2024-01-09 09:44:11.689255,0 days 00:00:24.915207,False,,friedman_mse,,0.0011944169420166585,,34,0.8511245706839036,22,,0.09506931246986468,6.0,11.0,RandomForest,38.0,86,,True,False,COMPLETE,,
1,1,0.5039801087227536,2024-01-09 09:39:15.064493,2024-01-09 09:39:21.614281,0 days 00:00:06.549788,True,,squared_error,,0.02720935929506208,,31,0.03866676294439314,36,,0.013330349469395587,16.0,13.0,RandomForest,,79,,False,True,COMPLETE,,
0,0,0.5,2024-01-09 09:39:02.713120,2024-01-09 09:39:15.045614,0 days 00:00:12.332494,False,,squared_error,,0.002764046390840828,,15,0.8031930469079015,61,,0.09699698515858715,20.0,7.0,ExtraTrees,8.0,143,,True,False,COMPLETE,,
9,9,0.5,2024-01-09 09:46:21.917373,2024-01-09 09:46:42.819957,0 days 00:00:20.902584,True,,squared_error,,0.0017206797024203087,,24,0.536159490257541,79,,0.040939634243038016,6.0,2.0,ExtraTrees,29.0,145,,True,False,COMPLETE,,
11,11,0.46598819452262585,2024-01-09 09:47:05.265406,2024-01-09 09:47:13.195543,0 days 00:00:07.930137,,0.5004790117035971,,2.2902703505452708e-08,0.006924889553630604,0.012427002837789629,3,,39,6.0,,,,XGBoost,4.0,220,0.9859085113371522,True,False,COMPLETE,,
