,Marker,Log-Likelihood,AIC,Random Effects Var,Estimate,P_val,Z_stat,AUC_mean,AUC_std,AUC_sem,AUC_range,p_corrected,significant
0,wSMI_1_mean,-116.1147728838654,238.2295457677308,"participant    1.053976
Name: Var, dtype: float64",-0.26010337613627665,0.9468191517885066,-0.06670173659710776,0.613015995872033,0.0588041820426871,0.026298029681744158,0.1513157894736843,0.9474463428633227,p > 0.05
1,wSMI_1_std,-114.52095780001912,235.04191560003824,"participant    1.165815
Name: Var, dtype: float64",0.2899856313549505,0.5043578479419861,0.6676487241355256,0.6296439628482972,0.08570500574448231,0.03832844377133448,0.23626160990712075,0.8494641669803569,p > 0.05
2,wSMI_2_mean,-116.11332599260331,238.22665198520662,"participant    1.058119
Name: Var, dtype: float64",-0.529593870926927,0.9187672378373696,-0.10198669251613379,0.6117303061575508,0.07246915919865031,0.032409193248087255,0.17763157894736836,0.9474463428633227,p > 0.05
3,wSMI_2_std,-115.61905101950151,237.23810203900302,"participant    1.05656
Name: Var, dtype: float64",-0.5911424773225014,0.15414711580280072,-1.4250348902619598,0.6148004815961473,0.0579223108630841,0.025903644900746113,0.14899380804953566,0.7215589921885206,p > 0.05
4,wSMI_4_mean,-116.10316248954518,238.20632497909037,"participant    1.052249
Name: Var, dtype: float64",0.21531517797472538,0.9474463428633227,0.06591393917221124,0.6093696250429997,0.07356945215050176,0.032901259215188,0.19910990712074306,0.9474463428633227,p > 0.05
5,wSMI_4_std,-115.97902526055823,237.95805052111646,"participant    1.062025
Name: Var, dtype: float64",-0.18322072698761752,0.6107499414015729,-0.5090032566444634,0.6354403164774682,0.06834899485785763,0.030566599739190646,0.17356811145510842,0.8494641669803569,p > 0.05
6,wSMI_8_mean,-115.03487528402168,236.06975056804336,"participant    1.114551
Name: Var, dtype: float64",5.026823027586461,0.1737086462676068,1.3603833446262215,0.6149767801857585,0.07689058775937305,0.03438651621197427,0.19369195046439636,0.7215589921885206,p > 0.05
7,wSMI_8_std,-115.89849219885934,237.7969843977187,"participant    1.068592
Name: Var, dtype: float64",-0.13016373091289768,0.7312644071600811,-0.3434440742116529,0.5916365669074647,0.09731414059982517,0.04352020671063624,0.23684210526315785,0.8494641669803569,p > 0.05
8,p_e_1_mean,-115.93080891911531,237.86161783823061,"participant    1.107684
Name: Var, dtype: float64",-4.397235259936325,0.5207382951015,-0.6422077601108542,0.6135190918472653,0.08466310473152051,0.03786249147317279,0.22116873065015474,0.8494641669803569,p > 0.05
9,p_e_1_std,-114.77796860952128,235.55593721904256,"participant    1.110691
Name: Var, dtype: float64",0.11048926967917402,0.7717937731717577,0.2900293642750676,0.633513931888545,0.0928540987598808,0.04152561536331447,0.2755417956656347,0.8538198237428706,p > 0.05
10,p_e_2_mean,-115.98918374408788,237.97836748817576,"participant    1.088066
Name: Var, dtype: float64",-3.7805192008498816,0.5891938842536635,-0.5400045649902264,0.6142199862401101,0.09160027251784897,0.04096488722148322,0.23065015479876155,0.8494641669803569,p > 0.05
11,p_e_2_std,-115.82734444228008,237.65468888456016,"participant    1.043844
Name: Var, dtype: float64",-0.09849321883570697,0.7970074423735819,-0.25722194730305986,0.6378525971792225,0.08715260444215368,0.03897582958976115,0.23722910216718257,0.8607680377634684,p > 0.05
12,p_e_4_mean,-115.0311769408995,236.062353881799,"participant    0.9414
Name: Var, dtype: float64",-17.158324899281936,0.13664933678584723,-1.488385202303419,0.6191477468180254,0.07281036332375085,0.03256178437167288,0.19078947368421062,0.7215589921885206,p > 0.05
13,p_e_4_std,-116.11479286042162,238.22958572084323,"participant    1.053845
Name: Var, dtype: float64",-0.2927675490600077,0.5369832221958681,-0.6173813473077463,0.5950034399724802,0.0919573470194746,0.04112457579321657,0.24787151702786375,0.8494641669803569,p > 0.05
14,p_e_8_mean,-115.77424640504603,237.54849281009206,"participant    1.07572
Name: Var, dtype: float64",-9.140250066616556,0.39739888665824036,-0.8462758324530361,0.6184941520467836,0.06462282897097849,0.028900207695490135,0.17647058823529405,0.8446489921782883,p > 0.05
15,p_e_8_std,-116.06047591625624,238.12095183251247,"participant    1.079672
Name: Var, dtype: float64",-0.1958656086373955,0.6358772745240957,-0.4734708759120318,0.6034012727898177,0.07451479804711675,0.033324030752604324,0.2058823529411764,0.8494641669803569,p > 0.05
16,k_mean,-115.29707152342739,236.59414304685478,"participant    1.125501
Name: Var, dtype: float64",-23.626767824335147,0.20958554289455578,-1.2547059007238524,0.6254127966976264,0.07778976412558583,0.03478864010769688,0.18440402476780182,0.7446068032417578,p > 0.05
17,k_std,-114.82503765019776,235.6500753003955,"participant    1.026141
Name: Var, dtype: float64",0.20014136088648407,0.6355022434263141,0.4739967238965315,0.6378783969728243,0.0712625114344591,0.03186956396296132,0.1861025111799106,0.8494641669803569,p > 0.05
18,se_mean,-114.1704691424469,234.3409382848938,"participant    1.157802
Name: Var, dtype: float64",-16.840113588827563,0.055100103222326585,-1.9180860325352345,0.6316606467148264,0.058894323715245764,0.026338342263233498,0.1530572755417956,0.5950811148011271,p > 0.05
19,se_std,-115.13300604782233,236.26601209564467,"participant    1.026691
Name: Var, dtype: float64",0.16194621234234485,0.7066048395808046,0.37641978486905253,0.6380976952184383,0.07365849783646085,0.032941081656569525,0.21962074303405577,0.8494641669803569,p > 0.05
20,msf_mean,-115.12579290198326,236.25158580396652,"participant    1.195232
Name: Var, dtype: float64",-1.3902466909972673,0.10641240557947267,-1.6145305051486931,0.630968352253182,0.07839547777475238,0.03505952348658405,0.20065789473684204,0.7215589921885206,p > 0.05
