,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-100.47757753948395,206.9551550789679,1.557665444671157,,,,,,,,,0.6849628217589225,0.5614,0.4872075702075702,0.1242388433859046,0.5176,0.3792791783380019,0.22529355452777047,0.2198,0.007183820629823678,0.04760285066352686,0.4997058428978429,[0.42531095 0.52443264 0.42361783 ... 0.47387424 0.41197761 0.48987424],0.37950817194623715,[0.39206349 0.36299289 0.39052646 ... 0.31746032 0.4373519  0.36253968],-0.04009713975443494,"[-0.09114279  0.05118253 -0.11374322 ... -0.00192308 -0.14879422
  0.01051109]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
1,wSMI_1_std,-98.83949873255207,203.67899746510415,0.552783812483923,,,,,,,,,0.12288244449936163,0.1262,0.5853137973137973,0.10684552547276834,0.0176,0.5165785938199731,0.11771628657827132,0.1502,0.0432597032597033,0.11943671130686807,0.5002504048840049,[0.53894343 0.6093138  0.37904599 ... 0.53598046 0.52274969 0.46401954],0.39329198470256127,[0.42202185 0.45770978 0.38624421 ... 0.32731787 0.43612903 0.46254263],-0.015628733564677564,"[ 0.06697098  0.0834889  -0.10279001 ...  0.01118141 -0.0032445
 -0.06521079]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.8820000000000001,p < 0.05 uncorrected,0.9012,p > 0.05
2,wSMI_2_mean,-100.56005680752938,207.12011361505876,0.38837261556085706,,,,,,,,,0.9189348827720026,0.9728,0.38357142857142856,0.11090780089075745,0.9742,0.2940966386554622,0.18392518677687633,0.947,-0.09670042717376329,0.14797984338367445,0.4999345291005291,[0.4502381  0.4560582  0.53865079 ... 0.39468254 0.4960582  0.61060847],0.402189146292192,[0.35808574 0.45222521 0.40980719 ... 0.3563689  0.33984921 0.47460542],0.01625540989455511,"[-0.08242308 -0.04833719  0.07056326 ... -0.07390747  0.03997402
  0.13650453]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
3,wSMI_2_std,-100.51878545286128,207.03757090572256,-0.11575022406600033,,,,,,,,,0.7636059493359664,0.9024,0.4392934472934473,0.07990630018921217,0.9268,0.32086872586872583,0.17499865726846467,0.9556,-0.11598081129070352,0.11907078465441594,0.5001810324786325,[0.45929345 0.5125584  0.57010826 ... 0.46299715 0.45929345 0.43707123],0.4140414824383328,[0.43478927 0.44736352 0.52761537 ... 0.41478993 0.36825679 0.38780714],0.004100561191222418,"[-0.10173614  0.1076296   0.05815108 ... -0.02311024 -0.09486804
 -0.09945813]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
4,wSMI_4_mean,-100.47018420526965,206.9403684105393,1.3778990781423999,,,,,,,,,0.6689129048075,0.622,0.48574114774114785,0.0807215851827421,0.3238,0.4306599832915623,0.21672138415920295,0.6614,-0.011164436240578324,0.09390047253966588,0.500091776963777,[0.55418559 0.4341742  0.46603744 ... 0.53367766 0.47767766 0.46603744],0.3997475796644699,[0.53200775 0.33751987 0.46522615 ... 0.46441309 0.42256887 0.5410014 ],0.012929248905589984,"[ 0.15968883 -0.03270597  0.01063844 ...  0.01208848  0.03964095
  0.08565402]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
5,wSMI_4_std,-100.35141658933266,206.70283317866532,0.12275733113634055,,,,,,,,,0.6882405664956082,0.1328,0.5488575498575499,0.06971510576937603,0.1782,0.42455972101133393,0.21657899719578425,0.422,-0.01517509649202362,0.11849802528147113,0.5001350404558405,[0.48817949 0.51484615 0.48515385 ... 0.51484615 0.56854986 0.48715385],0.3789654321889392,[0.51691335 0.4352795  0.36928105 ... 0.35954887 0.31532977 0.35458684],-0.02448076030384006,"[ 0.01664731 -0.00221422  0.04184211 ...  0.00878049 -0.04758231
 -0.08935954]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
6,wSMI_8_mean,-100.46664243546788,206.93328487093575,1.5122771150950824,,,,,,,,,0.6652947719193745,0.97,0.4393264143264143,0.06690634308705348,0.441,0.3837816764132554,0.20206949241841002,0.9112,-0.046646256695818254,0.09301526294799517,0.5001651314611314,[0.4482153  0.49189052 0.44300163 ... 0.47377086 0.43377086 0.43932641],0.3780972749039168,[0.42186719 0.33774304 0.3740151  ... 0.37701149 0.43599886 0.44790832],-0.00013977278400615254,"[-0.01508888  0.016816   -0.09703475 ...  0.00728987 -0.00616917
 -0.07024328]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
7,wSMI_8_std,-100.56504472092928,207.13008944185856,-0.02238067702349167,,,,,,,,,0.9438380443770157,1.0,0.40776678876678873,0.039418276346979086,0.9892,0.26525096525096525,0.23324937564599837,0.8348,-0.05860215053763438,0.13825046935386426,0.4998563174603176,[0.47467766 0.51318559 0.40776679 ... 0.45007448 0.50348107 0.46221123],0.3846997841396412,[0.41780075 0.41694018 0.39240473 ... 0.26491935 0.47879055 0.34505866],-0.006996277673826768,"[ 0.00314946  0.06817677 -0.09420973 ... -0.09185407  0.02416503
 -0.03803922]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
8,p_e_1_mean,-100.4040034403681,206.8080068807362,3.3285867756238297,,,,,,,,,0.5675932472319274,0.035,0.579050875050875,0.07642262685983396,0.7528,0.3131746031746032,0.25929512763435336,0.4148,-0.006468531468531458,0.008941756540240845,0.499340521937322,[0.50094912 0.4987269  0.56518844 ... 0.5067269  0.43481156 0.56882865],0.3533578333118527,[0.35116666 0.36449609 0.3743811  ... 0.41080035 0.20460795 0.3489692 ],-0.01727957908390773,"[-0.01309522 -0.05786082  0.01144068 ...  0.01930589 -0.07219335
  0.06580131]",0.99076660453162,p > 0.05,0.449621052631579,p < 0.05 uncorrected,0.9986,p > 0.05,0.9693,p > 0.05
9,p_e_1_std,-100.11247351410869,206.22494702821737,0.20948446690831654,,,,,,,,,0.5190490010981454,0.0678,0.5614570614570615,0.05126503196468696,0.4452,0.40853838971486034,0.21566800745658543,0.6758,-0.007378459237097923,0.03793294745652364,0.5001523809523809,[0.53711844 0.48891331 0.4762149  ... 0.5000814  0.44446886 0.53119251],0.39653186398476165,[0.45379137 0.29022001 0.32776693 ... 0.49217115 0.34130719 0.48419048],0.006578360484029065,"[ 0.0515692  -0.03804133  0.02222107 ...  0.0194821   0.01437669
  0.02015521]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
