,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-45.3732023371294,96.7464046742588,3.365094755511067,,,,,,,,,0.47019436851746466,0.781,0.41333333333333333,0.2928926614155963,0.3178,0.6159992784992785,0.15762020813081842,0.9182,-0.08047713156408806,0.24348080740801653,0.5001030000000001,[0.48666667 0.3825     0.67       ... 0.40083333 0.51333333 0.42583333],0.5772702002164503,[0.63237943 0.57936508 0.59537338 ... 0.54612401 0.69213564 0.48079212],0.034947465724373884,"[ 0.01106366 -0.01870576  0.10606061 ... -0.03804348  0.13066202
 -0.18750102]",0.9006235746614957,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
1,wSMI_1_std,-44.10526522821487,94.21053045642974,0.8472172436225421,,,,,,,,,0.04731687965732018,0.0342,0.6136458333333332,0.14034180589773987,0.3584,0.6008658008658008,0.15368148282552682,0.1512,0.06480729415512022,0.2712136390340251,0.5015393333333333,[0.5803125  0.5478125  0.51864583 ... 0.41135417 0.5553125  0.46552083],0.5752237079587079,[0.62495491 0.68181818 0.63687979 ... 0.54278499 0.62446581 0.56148296],-0.012790688412525774,"[ 0.04325006  0.07904595  0.07459137 ... -0.03152207  0.0457845
  0.04347793]",0.9006235746614957,p < 0.05 uncorrected,0.19145454545454546,p < 0.05 uncorrected,0.7491000000000001,p > 0.05,0.5832,p > 0.05
2,wSMI_2_mean,-45.61444646154611,97.22889292309222,-0.9946488674528126,,,,,,,,,0.8857499047425073,0.9812,0.39,0.10654941472283073,0.4346,0.5927239427239428,0.08681448169838041,0.907,-0.13068181818181812,0.18101741275084077,0.4995418333333334,[0.56       0.49416667 0.44       ... 0.5475     0.42666667 0.5025    ],0.5825617925130425,[0.63704212 0.5991342  0.53162879 ... 0.52180944 0.56980728 0.59425019],-0.04181605750926036,"[-0.025       0.03949176 -0.07367815 ... -0.03397791 -0.07246377
 -0.08149837]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
3,wSMI_2_std,-44.866224969227964,95.73244993845593,0.6873097887376748,,,,,,,,,0.1801083175525385,0.0954,0.5902083333333333,0.16164612734646974,0.27,0.6171647796647797,0.10983595987953554,0.2368,0.0331256060341128,0.31180271499046275,0.49962,[0.54729167 0.49645833 0.43895833 ... 0.536875   0.52145833 0.49020833],0.5874830437617937,[0.64155844 0.58108974 0.58398268 ... 0.60744949 0.59561272 0.65002914],-0.029925577830368245,"[ 0.0017618  -0.03580894 -0.1032849  ... -0.03169429 -0.05321243
  0.02308761]",0.9006235746614957,p > 0.05,0.2862,p > 0.05,0.7491000000000001,p > 0.05,0.6089142857142857,p > 0.05
4,wSMI_4_mean,-45.09735152890196,96.19470305780392,-4.282944042817673,,,,,,,,,0.338765449869583,0.217,0.5596875,0.17359752377386226,0.8614,0.5413961038961039,0.14126539054809575,0.7956,-0.12053571428571427,0.2295580686618423,0.49980579166666667,[0.50697917 0.4403125  0.50802083 ... 0.49197917 0.5746875  0.46114583],0.5859904467754468,[0.62960373 0.54518606 0.59500777 ... 0.58825758 0.57813853 0.55807387],-0.0601959639320965,"[ 0.0141547  -0.21847629 -0.0456224  ... -0.04063853 -0.03746867
 -0.04423422]",0.9006235746614957,p > 0.05,0.4511076923076923,p > 0.05,0.9120705882352942,p > 0.05,0.9535153846153847,p > 0.05
5,wSMI_4_std,-45.584786562899836,97.16957312579967,0.04604608527876491,,,,,,,,,0.8980008127087076,0.8728,0.41937500000000005,0.19627421559729472,0.6412,0.5981351981351981,0.10255430129053052,0.8926,-0.11101398601398599,0.21050105386185697,0.4976706666666667,[0.61729167 0.52854167 0.42354167 ... 0.474375   0.57229167 0.344375  ],0.6059891901154401,[0.56751443 0.63282828 0.60263348 ... 0.61404429 0.60722611 0.571115  ],-0.018884083932249676,"[ 0.009267    0.02864708 -0.00546962 ... -0.0396112  -0.06555944
 -0.14200766]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7869272727272728,p > 0.05,0.9535153846153847,p > 0.05
6,wSMI_8_mean,-45.59940375329276,97.19880750658552,-0.8299370347290588,,,,,,,,,0.839549223171162,0.8902,0.4636458333333333,0.08321651968993629,0.4652,0.605061605061605,0.13026826614960899,0.3384,0.028812148949448724,0.03865692559021045,0.49953954166666664,[0.42302083 0.51135417 0.53135417 ... 0.49885417 0.44802083 0.47385417],0.5992242428404928,[0.61256105 0.61263736 0.68741259 ... 0.63680347 0.55554862 0.61355311],0.006555394057737221,"[-0.03314327  0.07881215  0.06510789 ...  0.08561236  0.0105303
  0.02014742]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.7231846153846154,p > 0.05
7,wSMI_8_std,-45.5366768041465,97.073353608293,0.2859079449258567,,,,,,,,,0.5335352104833755,0.845,0.4139583333333333,0.21269425353335503,0.2458,0.6202131202131203,0.13973312580924885,0.2188,0.04982517482517482,0.10190598280526836,0.5012855833333333,[0.32854167 0.455625   0.42020833 ... 0.386875   0.49104167 0.411875  ],0.578058698939949,[0.50946276 0.54176379 0.53220807 ... 0.6076049  0.58857809 0.46158009],-0.018190614962876914,"[-0.06330742 -0.14472021 -0.07544466 ... -0.0166424  -0.00050147
 -0.11483075]",0.9006235746614957,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.5907600000000001,p > 0.05
8,p_e_1_mean,-45.47124914408504,96.94249828817009,-3.9507436649822667,,,,,,,,,0.5902068586110127,0.0188,0.6775,0.1179777521399692,0.3686,0.5844988344988344,0.2287939941732927,0.2842,0.03846153846153845,0.10175966581017654,0.500444,[0.385  0.44   0.485  ... 0.5275 0.6225 0.41  ],0.5552899214674215,[0.54578755 0.66044372 0.63712329 ... 0.50238303 0.54409965 0.55424784],0.0014534990834975045,"[-0.16842105  0.04015278  0.04859496 ... -0.07291667  0.02961712
  0.02481061]",0.9066189480895138,p > 0.05,0.14502857142857145,p < 0.05 uncorrected,0.7491000000000001,p > 0.05,0.65205,p > 0.05
9,p_e_1_std,-44.64764450890747,95.29528901781494,-0.3370463483350808,,,,,,,,,0.4243211967921152,0.2172,0.5605208333333334,0.18700997889113063,0.8434,0.5574945887445888,0.19234803094992256,0.2898,0.0526777157497981,0.34646453549461065,0.4988062916666667,[0.56052083 0.53447917 0.47197917 ... 0.4303125  0.39052083 0.43552083],0.6064376441613942,[0.60578311 0.66576479 0.59423909 ... 0.50378788 0.60343823 0.55528499],0.0017894830674957565,"[ 0.11755093  0.07184663 -0.02525335 ... -0.06622325  0.0161859
 -0.01153149]",0.9006235746614957,p > 0.05,0.4511076923076923,p > 0.05,0.910872,p > 0.05,0.65205,p > 0.05
