,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range,AUCs
0,wSMI_1_mean,0.6231205417389627,0.03762450876933597,0.018812254384667985,0.09209273182957389,"[0.5773809523809523, 0.6494736842105263, 0.6694736842105262, 0.5961538461538461]"
1,wSMI_1_std,0.4836391553922514,0.01948078014207947,0.009740390071039735,0.05263157894736836,"[0.4900793650793651, 0.5042105263157894, 0.4515789473684211, 0.4886877828054299]"
2,wSMI_2_mean,0.5230402079860285,0.07006850961209483,0.03503425480604742,0.18514328808446456,"[0.41666666666666674, 0.5663157894736842, 0.5073684210526316, 0.6018099547511313]"
3,wSMI_2_std,0.38551235035174664,0.05574285074619511,0.027871425373097555,0.14883196868490983,"[0.4712301587301587, 0.3536842105263158, 0.39473684210526316, 0.3223981900452489]"
4,wSMI_4_mean,0.5444932915811398,0.1006300206116814,0.0503150103058407,0.22077161228864017,"[0.6240079365079366, 0.4463157894736842, 0.6642105263157895, 0.4434389140271493]"
5,wSMI_4_std,0.47746460088758846,0.08782618585367839,0.043913092926839196,0.2434770183376994,"[0.4712301587301587, 0.5073684210526316, 0.5873684210526315, 0.3438914027149321]"
6,wSMI_8_mean,0.4587267376586262,0.12504181520893512,0.06252090760446756,0.31112781954887214,"[0.2857142857142857, 0.5968421052631578, 0.3957894736842105, 0.5565610859728507]"
7,wSMI_8_std,0.5345336852689794,0.05783905112630754,0.02891952556315377,0.14678971183615147,"[0.5555555555555556, 0.43578947368421056, 0.5642105263157895, 0.582579185520362]"
8,p_e_1_mean,0.512568173355712,0.060462897839060864,0.030231448919530432,0.15776733500417717,"[0.5882936507936508, 0.5484210526315789, 0.43052631578947365, 0.48303167420814486]"
9,p_e_1_std,0.38853994195518965,0.04372933172425147,0.021864665862125734,0.1217266015718027,"[0.39980158730158727, 0.32736842105263164, 0.3778947368421052, 0.44909502262443435]"
10,p_e_2_mean,0.45034057381387105,0.05171709759807656,0.02585854879903828,0.13106460532931125,"[0.49305555555555564, 0.4768421052631579, 0.4694736842105263, 0.3619909502262444]"
11,p_e_2_std,0.44955098672397437,0.07059168502000934,0.03529584251000467,0.1765392648287385,"[0.5049603174603174, 0.48631578947368426, 0.32842105263157895, 0.47850678733031676]"
12,p_e_4_mean,0.45597909744194565,0.03320013360492004,0.01660006680246002,0.08449630864491542,"[0.44841269841269843, 0.4894736842105263, 0.4810526315789473, 0.40497737556561086]"
13,p_e_4_std,0.5018542113201556,0.09778599626292125,0.04889299813146063,0.22864491545606092,"[0.41666666666666663, 0.3957894736842106, 0.5705263157894737, 0.6244343891402715]"
14,p_e_8_mean,0.4965807642220181,0.05429410441913193,0.027147052209565967,0.14666349130745415,"[0.5228174603174602, 0.4189473684210526, 0.4789473684210526, 0.5656108597285068]"
15,p_e_8_std,0.491873577703686,0.030089862413596295,0.015044931206798147,0.07788011695906433,"[0.5347222222222222, 0.5042105263157894, 0.4568421052631579, 0.47171945701357465]"
16,k_mean,0.5549109080204282,0.06483326597676815,0.03241663298838408,0.16085344394167933,"[0.6597222222222223, 0.503157894736842, 0.5578947368421052, 0.498868778280543]"
17,k_std,0.4369539728847004,0.03550523697234778,0.01775261848617389,0.09853749191984479,"[0.49107142857142855, 0.4252631578947368, 0.4389473684210526, 0.39253393665158376]"
18,se_mean,0.45957337962175426,0.06265902684763158,0.03132951342381579,0.15518588137009193,"[0.35218253968253965, 0.5073684210526316, 0.49684210526315786, 0.4819004524886878]"
19,se_std,0.45293267576936314,0.07843160104983046,0.03921580052491523,0.1907365510306686,"[0.3194444444444445, 0.4736842105263158, 0.508421052631579, 0.5101809954751131]"
20,msf_mean,0.49281920156726666,0.12635301630610554,0.06317650815305277,0.31894736842105254,"[0.5386904761904762, 0.5957894736842104, 0.2768421052631579, 0.5599547511312218]"
21,msf_std,0.47984717166218704,0.14107948045296773,0.07053974022648386,0.34646344367706605,"[0.3869047619047619, 0.6473684210526316, 0.5842105263157894, 0.30090497737556554]"
22,sef90_mean,0.4969457415219799,0.08281088075708881,0.041405440378544406,0.22914995822890555,"[0.6259920634920635, 0.39684210526315794, 0.46947368421052627, 0.49547511312217196]"
