,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range
0,wSMI_1_mean,0.5113240943978297,0.09275951961244368,0.0414833182827298,0.2751632425545468
1,wSMI_1_std,0.4533496942149851,0.048166037175793576,0.021540506666371282,0.13114258861439304
2,wSMI_2_mean,0.5202481663995211,0.07217959942050732,0.032279698178591755,0.20982039874773434
3,wSMI_2_std,0.4568544684579846,0.05737200689070445,0.025657541482640298,0.15192743764172334
4,wSMI_4_mean,0.540229788782607,0.11363657278186318,0.05081982029406969,0.2806869459043372
5,wSMI_4_std,0.523470410041206,0.10630233041461368,0.047539847394743914,0.28378998658286847
6,wSMI_8_mean,0.5833267382578352,0.05156484263190469,0.023060498674803608,0.139623612602936
7,wSMI_8_std,0.48136402066961786,0.13689290986781286,0.06122037042043626,0.3338758878164269
8,p_e_1_mean,0.48202872102518735,0.06005878480619002,0.026859105094534482,0.17732117438752015
9,p_e_1_std,0.525440757388514,0.06203698665483352,0.027743783855891005,0.16787214590734967
10,p_e_2_mean,0.48204179338709335,0.1054624007695465,0.047164219438206416,0.3098211142404506
11,p_e_2_std,0.41228610836978313,0.07173194363679677,0.032079500426012215,0.20088623684768037
12,p_e_4_mean,0.5036549140625701,0.05565340101966365,0.024888957571804805,0.1434202443519214
13,p_e_4_std,0.5289272286688542,0.06825436611967217,0.030524280480949104,0.20792084377610692
14,p_e_8_mean,0.5174053593777371,0.09645216985415457,0.043134721674249116,0.24239528587354675
15,p_e_8_std,0.48392995559151564,0.1043337810085449,0.04665948533693659,0.31815028643036153
16,k_mean,0.47876280165779583,0.04511798056502078,0.020177374310180168,0.09464086637999686
17,k_std,0.49156565953605663,0.06437804926142823,0.02879073888147673,0.16315192743764162
18,se_mean,0.4484241961726999,0.06475704100710333,0.0289602291427249,0.15478428213390627
19,se_std,0.5330197008824825,0.05399483862227447,0.02414722591870736,0.15861678004535157
20,msf_mean,0.577639333846685,0.06427983589622409,0.028746816529297635,0.18444026733500418
21,msf_std,0.5186983244550879,0.07025129127269489,0.0314173325585767,0.1949352548036759
22,sef90_mean,0.5205252688447803,0.10035084422411268,0.04487826185692162,0.2945384294068503
23,sef90_std,0.49076196877583056,0.0894301710767893,0.039994388353427286,0.26071876118868603
24,sef95_mean,0.5152560148022471,0.08606683466292608,0.03849025858290758,0.23884989438479143
25,sef95_std,0.548637824532811,0.11491661511071956,0.05139227262634969,0.32779635823114084
26,b_mean,0.5655317004377848,0.041955317863629514,0.01876298855213737,0.12784094029768772
27,b_std,0.46199807107887214,0.1085583561181416,0.04854877276115896,0.2893471659919028
28,b_n_mean,0.5320087132498748,0.12090716028872686,0.05407132587441127,0.34523809523809523
29,b_n_std,0.4916170981579001,0.14579795707467094,0.06520282859991212,0.3743099836826331
30,g_mean,0.522038414600993,0.09240510983927691,0.04132482141379157,0.23614470379928482
31,g_std,0.4187788428686239,0.06320846859904355,0.028267686508224456,0.17649335275906036
32,g_n_mean,0.4800150307714818,0.07261143015351854,0.032472818753349085,0.20750574477282557
33,g_n_std,0.41911293837663044,0.1352765742294056,0.060497523148049424,0.3625850340136054
34,t_mean,0.5351109755625885,0.08641741773029007,0.038647044096984835,0.2616275705639328
35,t_std,0.5398482131185618,0.037863954240250665,0.016933275115628376,0.10697220064496382
36,t_n_mean,0.5291396792968959,0.10161198318793702,0.04544226034735859,0.27751670843776105
37,t_n_std,0.5123815502606743,0.11997244573078392,0.053653308816187455,0.33622063376434164
38,d_mean,0.511895552497414,0.1318048515522519,0.05894492156702079,0.3597483291562239
39,d_std,0.5096027634471373,0.05371489320276661,0.024022030521105506,0.11579167400105606
40,d_n_mean,0.4566176093881368,0.06607557972030641,0.02954989758146233,0.18644038374743954
41,d_n_std,0.5090726694120843,0.026130457965452655,0.011685896058790597,0.06321940540922255
42,a_n_mean,0.4876793131906355,0.07220197842044196,0.03228970637161622,0.21253132832080207
43,a_n_std,0.38966527882884516,0.10889793309375245,0.04870063620137089,0.2921052631578948
44,a_mean,0.5144704690433077,0.11198127717668217,0.05007954959486141,0.3180589883012028
45,a_std,0.5406280472193157,0.1127948830131543,0.05044340518630986,0.305249731471536
46,CNV_mean,0.5193618272056606,0.044331532849487376,0.019825664199643746,0.1264134416308329
47,CNV_std,0.49004049987273524,0.08034304285511971,0.035930501068645294,0.24339066730371084
48,P1_mean,0.5229883891440338,0.05647257076290325,0.025255301418003764,0.15639796940448014
49,P1_std,0.4369392373921864,0.13742003465086483,0.061456107789942066,0.43202513203423776
50,P3a_mean,0.4431111510410032,0.10197234292080129,0.045603418119166225,0.2880387449097286
51,P3a_std,0.48096463784232507,0.06820702650128303,0.0305031095599997,0.18569862155388472
52,P3b_mean,0.5436602775155089,0.11598998969637762,0.05187230033412011,0.31633771929824567
53,P3b_std,0.4952760878279542,0.09977479792175495,0.04462064611886976,0.28636748817173924
