,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range
0,wSMI_1_mean,0.5954821536600121,0.010352074245834552,0.004629588344362185,0.024736842105263168
1,wSMI_1_std,0.6090459770114942,0.06715067122293739,0.030030693117845383,0.16512099213551112
2,wSMI_2_mean,0.5947949183303086,0.03719163427860715,0.01663260448825539,0.0915789473684211
3,wSMI_2_std,0.5869860859044163,0.06080549630578427,0.027193044629069192,0.18438596491228076
4,wSMI_4_mean,0.599767090139141,0.0484713702658318,0.02167705577539239,0.10771929824561399
5,wSMI_4_std,0.6308741681790683,0.06541233653288187,0.02925328621092335,0.16140350877192977
6,wSMI_8_mean,0.5988850574712644,0.03914335716824112,0.01750544149914816,0.09894736842105278
7,wSMI_8_std,0.6112353297035693,0.08555401260079615,0.03826091758465075,0.24754385964912284
8,p_e_1_mean,0.6467918935269207,0.03361720596251835,0.015034071549160453,0.09421052631578941
9,p_e_1_std,0.6160483968542044,0.059134482033003054,0.026445744328006955,0.16649122807017536
10,p_e_2_mean,0.6129280096793708,0.06004044773228441,0.026850904505782206,0.15421052631578946
11,p_e_2_std,0.6176696914700545,0.06365834257441648,0.02846887626627284,0.1656866303690261
12,p_e_4_mean,0.6093109497882637,0.08330814156287171,0.037256533522751344,0.2546733212341198
13,p_e_4_std,0.620995765275257,0.03598719135811318,0.016093961239206808,0.10660012099213545
14,p_e_8_mean,0.6190193587416818,0.053694167062165246,0.024012761509246333,0.1668421052631579
15,p_e_8_std,0.5823315184513007,0.054821364043861856,0.024516859324267573,0.14360556563823357
16,k_mean,0.5873399879007865,0.026927302070488882,0.012042255576056794,0.07263157894736838
17,k_std,0.6078064125831821,0.06404265177859075,0.028640744567255346,0.1840350877192981
18,se_mean,0.5847525710828796,0.06736184282713163,0.030125131930224588,0.16781609195402303
19,se_std,0.5992813067150635,0.04554072802378951,0.0203664327212046,0.12403508771929828
20,msf_mean,0.6014470659407138,0.03904666726493569,0.017462200459842397,0.11561403508771928
21,msf_std,0.6369243799153055,0.03917820866204957,0.017521027561002784,0.09842105263157896
22,sef90_mean,0.6020090744101634,0.07355089104532256,0.03289295843660436,0.19333333333333325
23,sef90_std,0.5777241379310345,0.061209615992107454,0.0273737724470021,0.16701754385964906
24,sef95_mean,0.6065021173623715,0.05116637724714816,0.02288229953740437,0.12929824561403513
25,sef95_std,0.6287005444646099,0.0431713297263086,0.019306805589416682,0.12350877192982468
26,b_mean,0.6379975801572898,0.04830855556701861,0.0216042428285359,0.12211736237144599
27,b_std,0.6048977616454931,0.06260774704972183,0.02799903566425798,0.17087719298245596
28,b_n_mean,0.5938995765275259,0.04708420489863328,0.021056696563974523,0.14140350877192986
29,b_n_std,0.5938620689655172,0.045626495832424376,0.02040478925128235,0.11263157894736842
30,g_mean,0.6004658197217181,0.048717520398909905,0.02178713746143904,0.13275862068965516
31,g_std,0.5896854204476709,0.056920510905474196,0.02545562633973168,0.16035087719298247
32,g_n_mean,0.5959576527525711,0.04573806719364126,0.02045468548088698,0.13810647307924984
33,g_n_std,0.561632183908046,0.06294142746545124,0.02814826208272425,0.1706110102843315
34,t_mean,0.616875983061101,0.048177957571885824,0.021545837629567483,0.12157894736842101
35,t_std,0.5812764670296431,0.057530918191828234,0.02572860877698144,0.1767755595886269
36,t_n_mean,0.6375390199637023,0.03774061340474586,0.016878115417110304,0.09651542649727762
37,t_n_std,0.5929503932244403,0.03648392235844191,0.016316106095860112,0.09929824561403511
38,d_mean,0.6012238354506957,0.03885040588472681,0.0173744297023414,0.11124924379915302
39,d_std,0.579145795523291,0.052186946142158144,0.0233387118223972,0.15584996975196613
40,d_n_mean,0.6260072595281307,0.06561766765165052,0.029345113078815908,0.1997882637628554
41,d_n_std,0.5935172413793104,0.051130498515463994,0.022866254080805913,0.14421052631578934
42,a_n_mean,0.6249140955837872,0.06183790697169319,0.027654752715002826,0.1914035087719297
43,a_n_std,0.5973055051421657,0.08840269856403887,0.03953488867672279,0.2299637023593466
44,a_mean,0.6015009074410164,0.01652634767843098,0.0073908073657535005,0.04653055051421662
45,a_std,0.6087041742286752,0.07319891829834167,0.03273555143890904,0.1852631578947369
46,CNV_mean,0.5802843315184514,0.057006080933035656,0.02549389441942447,0.15473684210526317
47,CNV_std,0.6156273442226254,0.06004432854781643,0.026852640059249755,0.15256503327283732
48,P1_mean,0.6837598306110102,0.06091032040006366,0.027239923389166903,0.1847368421052633
49,P1_std,0.6813738656987296,0.05545978819282095,0.02480237128337757,0.12014821536600118
50,P3a_mean,0.6693635813672112,0.07514521722977605,0.03360596278195353,0.17633998790078642
51,P3a_std,0.6652226255293405,0.0506994914028493,0.022673501840287442,0.12157894736842101
52,P3b_mean,0.6814500907441016,0.07537392645794068,0.03370824465820506,0.20660919540229894
53,P3b_std,0.6740169388989715,0.05997258336912475,0.026820554639927257,0.18131881427707197
